 	il	y	a	un	morceau	de	bois	sur	la	route	</S>
e	0.185849	0.284396	0.102095	0.0427219	0.0636121	0.139488	0.115021	0.0374826	0.0222513	0.00553788	0.00154598
k	0.0160758	0.0504314	0.143192	0.152037	0.0797638	0.0304084	0.0958945	0.0602853	0.0564053	0.311867	0.00363975
y	0.00810988	0.0179637	0.0150476	0.235113	0.296075	0.0340455	0.137378	0.0371285	0.0291397	0.17704	0.0129589
é	0.00737947	0.0237855	0.0301739	0.187188	0.463588	0.0631365	0.115099	0.0553184	0.0250822	0.0224996	0.00674935
n	0.0463192	0.0575896	0.0635889	0.192056	0.320244	0.111542	0.027328	0.0303814	0.0574172	0.0619872	0.0315471
i	0.166924	0.095484	0.0795809	0.13009	0.21272	0.116326	0.0427344	0.052496	0.0313203	0.00457019	0.0677544
y	0.112514	0.206469	0.0890361	0.0522242	0.135251	0.26181	0.0441164	0.0609954	0.0243326	0.00424759	0.00900459
í	0.243244	0.111221	0.126352	0.100541	0.109722	0.13691	0.034535	0.0621702	0.0319862	0.00311657	0.0402019
b	0.0694731	0.0783252	0.0777299	0.0726471	0.121827	0.282388	0.0844031	0.0760901	0.0454349	0.00763598	0.0840458
v	0.061822	0.0385633	0.050901	0.0729727	0.0712145	0.127261	0.223702	0.192933	0.100159	0.0143986	0.0460734
ú	0.00829331	0.0123579	0.0305029	0.09788	0.144918	0.213505	0.243941	0.150729	0.0687178	0.00625326	0.0229029
a	0.00143629	0.00769334	0.0105025	0.0636448	0.231553	0.159308	0.0611597	0.239976	0.199886	0.0218384	0.00300186
é	0.00490557	0.0170269	0.0446986	0.0239914	0.0529675	0.127013	0.09093	0.340838	0.210956	0.0286208	0.058053
d	0.00906055	0.0417382	0.0849731	0.0269059	0.0310615	0.0310226	0.0550496	0.309315	0.267352	0.0904733	0.0530485
í	0.000616205	0.00191775	0.010967	0.0169437	0.0131936	0.00738107	0.0111801	0.241885	0.241436	0.0110451	0.443434
b	0.00183693	0.00666041	0.0248301	0.0361974	0.0557901	0.0552077	0.0333397	0.148588	0.275136	0.109571	0.252842
ω	0.0082003	0.0186528	0.0140265	0.0281431	0.0326627	0.0699997	0.19438	0.287005	0.155355	0.146897	0.0446783
ó	0.000150562	0.00114827	0.00451305	0.0272631	0.050499	0.0240146	0.131561	0.123196	0.144486	0.24038	0.252789
k	0.00943428	0.00842051	0.0219949	0.0271526	0.0254052	0.0276527	0.0149976	0.240027	0.227692	0.0533049	0.343918
ó	0.00313445	0.00960677	0.00517251	0.0253404	0.0712269	0.0258157	0.185407	0.11961	0.124407	0.309022	0.121257
ó	0.000266184	0.00105983	0.000715887	0.00215762	0.00887893	0.00724672	0.0474425	0.0522768	0.0560243	0.277971	0.545961
</S>	0.00481648	0.0139908	0.0313665	0.0307236	0.0283214	0.018676	0.0158347	0.153813	0.181349	0.0323383	0.48877
