 	j'	ai	oublié	de	l'	argent	à	la	maison	</S>
n	0.970961	0.0170284	0.00105191	0.00433143	0.00326584	0.000543747	0.000422572	0.00235772	2.50093e-05	1.23356e-05
g	0.979613	0.0128731	0.000277828	0.0013575	0.00128076	0.00225575	0.000245195	0.0017053	0.000369095	2.26961e-05
á	0.860062	0.118442	0.00365696	0.00116088	0.00121207	0.00480139	0.000768162	0.00067042	0.00913742	8.82592e-05
í	0.236578	0.489146	0.0475805	0.02108	0.0245062	0.0286355	0.0104544	0.0163118	0.00904348	0.116663
m	0.013114	0.364082	0.591723	0.0104547	0.00318022	0.00467959	0.00544034	0.000680279	0.00060047	0.00604605
i	0.00057471	0.0937541	0.576538	0.15774	0.0961892	0.0296437	0.0192205	0.00210463	0.000117274	0.0241177
t	0.000832616	0.144371	0.708064	0.082246	0.035644	0.0144523	0.00665624	0.000563879	0.000555903	0.00661419
a	3.70617e-05	0.00743766	0.936423	0.040025	0.00595376	0.00414854	0.00375623	9.63349e-05	3.26714e-05	0.00209011
b	4.4578e-05	0.0121378	0.472135	0.39081	0.0778415	0.0201732	0.0159083	0.00152016	0.000170642	0.00925891
h	0.000219511	0.00862556	0.468884	0.372355	0.0833326	0.00893559	0.0386341	0.0052126	0.00141526	0.0123853
á	0.00115135	0.00186033	0.0180064	0.293225	0.370919	0.146203	0.0608194	0.0682221	0.00947785	0.0301162
m	0.00031618	0.00411685	0.0035706	0.192026	0.656568	0.0894925	0.0182931	0.0282706	0.00424394	0.00310238
b	0.000307899	0.00028248	0.000669732	0.00718349	0.207003	0.726693	0.0310456	0.0114624	0.00472577	0.0106273
ώ	0.000109918	8.05712e-05	0.000574854	0.00744166	0.113561	0.829035	0.0253697	0.0156857	0.00436984	0.00377171
n	8.55902e-05	0.000954853	0.00952206	0.0353816	0.135535	0.681259	0.0945031	0.0186195	0.00139268	0.022747
g	0.000320056	0.00144019	0.0163402	0.110092	0.170161	0.455603	0.120568	0.0264152	0.0226285	0.0764335
ω	0.000320153	0.000980946	0.0046745	0.0516232	0.0792843	0.613285	0.0910559	0.0812088	0.0524455	0.0251212
ó	6.01516e-05	0.00228215	0.00342528	0.0391433	0.0729071	0.0231323	0.631612	0.117435	0.021324	0.0886784
n	0.000404718	0.0175875	0.00513674	0.0296654	0.0274568	0.006154	0.50028	0.149008	0.0269321	0.237374
d	0.00647695	0.0210618	0.000993246	0.0180384	0.0394443	0.0345798	0.274913	0.18998	0.12202	0.292493
é	0.00014309	0.000439333	0.000252679	0.00289611	0.0147594	0.0290902	0.134942	0.184218	0.53165	0.10161
e	2.71953e-05	0.000795198	0.00389651	0.0568742	0.0416983	0.0449125	0.339926	0.18944	0.101348	0.221082
</S>	4.15922e-05	0.000895453	0.00161033	0.0166125	0.0286646	0.0161791	0.307735	0.167234	0.0489004	0.412127
