 	je	fais	monter	l'	enfant	dans	le	camion	</S>
n	0.797964	0.107316	0.00899372	0.0303817	0.00950007	0.00782857	0.021038	0.0165544	0.000423365
g	0.991068	0.00705682	3.14153e-05	0.00095377	0.000190512	0.000223998	0.000410557	5.69207e-05	7.39353e-06
á	0.983103	0.0134713	0.00095051	0.000484118	0.000381383	0.000203402	0.000372252	0.00101078	2.37267e-05
l	0.0819099	0.355801	0.0352339	0.0545218	0.0944571	0.0361855	0.119682	0.0165789	0.20563
í	0.281634	0.245653	0.128407	0.035152	0.058406	0.0458269	0.0224042	0.00375228	0.178765
i	0.0140225	0.137866	0.39101	0.117499	0.0558515	0.0466892	0.0141603	0.0296614	0.193241
l	0.000656341	0.098413	0.859252	0.0111799	0.00631655	0.00289024	0.00120379	0.00951372	0.0105743
é	0.00044283	0.0226794	0.96413	0.002834	0.00173437	0.00089124	0.00017329	0.00417822	0.00293603
é	0.00371177	0.166801	0.728295	0.050489	0.0055754	0.014595	0.00338318	0.00986694	0.0172821
s	0.00145274	0.0319767	0.0432815	0.785881	0.0381038	0.0551508	0.0349127	0.000841984	0.00839846
á	0.000467729	0.0508379	0.218709	0.389404	0.0627148	0.181743	0.0225077	0.0125232	0.0610926
m	0.00411092	0.0161856	0.0032906	0.556418	0.286092	0.0594599	0.0695798	0.00124158	0.00362132
w	1.55083e-05	0.000849139	0.0030854	0.0176389	0.943063	0.0066352	0.00373349	0.00937844	0.0156012
á	8.92216e-06	0.000306815	0.00130639	0.00402808	0.975968	0.00322767	0.000522555	0.0103284	0.00430271
n	0.00028868	0.000951917	0.000559015	0.0195067	0.941812	0.00858099	0.0166549	0.00207014	0.00957585
a	0.00670391	0.0338676	0.0141448	0.0762208	0.667297	0.0855853	0.0260149	0.0149518	0.0752138
s	0.00154598	0.012404	0.00678326	0.151562	0.0503717	0.397353	0.346554	0.0175359	0.0158903
ó	0.00331404	0.0162749	0.0108152	0.0884831	0.090682	0.287115	0.0759007	0.169081	0.258334
t	0.00243587	0.0033509	0.00180046	0.0868972	0.0380098	0.195612	0.435483	0.148417	0.0879935
ω	0.000199192	0.00131747	0.00122747	0.00656296	0.00649606	0.117495	0.07317	0.749468	0.0440641
m	3.9397e-05	0.0005642	0.00228221	0.0119282	0.00553113	0.0598929	0.101896	0.785885	0.0319813
b	9.67614e-05	0.000799472	0.000784024	0.00589634	0.0621793	0.0224958	0.0714512	0.744924	0.0913733
í	0.000429493	0.000954872	0.00201679	0.00440293	0.0908878	0.0661966	0.16307	0.508216	0.163826
l	0.00135293	0.00308192	0.00158671	0.00909485	0.0391536	0.0892667	0.260217	0.182236	0.41401
i	0.0120471	0.0149976	0.00986455	0.0315294	0.0354367	0.219497	0.453548	0.0815117	0.141568
</S>	0.00145852	0.00639214	0.00437781	0.016507	0.0134461	0.0982139	0.236202	0.0143379	0.609064
