 	nous	nous	acharnons	à	écrire	des	livres	en	mbochi	</S>
b	0.820618	0.138116	0.0126896	0.0113088	0.0096853	0.0048608	0.00178063	0.000415965	0.000507451	1.69124e-05
í	0.749735	0.222616	0.00436256	0.0081757	0.00363475	0.00595314	0.00077541	0.00105102	0.00358731	0.000108936
s	0.820624	0.171003	0.00177161	0.00112879	0.00102594	0.00231722	0.00066021	0.000236954	0.000494696	0.000738305
í	0.433468	0.481983	0.00645183	0.0093772	0.010556	0.028796	0.0217067	0.00129728	0.00293031	0.00343276
b	0.220483	0.142647	0.0843927	0.0220035	0.0353537	0.0209668	0.0247139	0.0431929	0.00390811	0.402339
ó	0.155985	0.311835	0.0977271	0.0842406	0.0371898	0.0586478	0.0098907	0.122331	0.0475758	0.0745767
l	0.134854	0.539338	0.0746714	0.0696563	0.0354652	0.0390492	0.00996036	0.0285794	0.0036188	0.0648067
é	0.0355823	0.112702	0.0705278	0.212211	0.137499	0.125993	0.0416034	0.0865199	0.0387768	0.138584
e	0.0557792	0.242984	0.438807	0.0742034	0.0866125	0.0255667	0.047785	0.0118176	0.00354072	0.012904
b	0.00739419	0.0801064	0.731698	0.0984293	0.0389307	0.00757507	0.00491659	0.00642154	0.00157693	0.0229515
v	0.002644	0.0213476	0.930343	0.0249317	0.01498	0.00172801	0.000824779	0.000864447	0.000705936	0.00163063
u	0.00254108	0.0566575	0.85697	0.0494434	0.0268222	0.0037804	0.00196414	0.000630657	0.000668785	0.000521881
n	0.0720726	0.100224	0.455537	0.19713	0.112702	0.027707	0.0139488	0.00511578	0.00169268	0.0138696
á	0.00772465	0.0398494	0.336789	0.21013	0.215011	0.0986529	0.0531013	0.0138813	0.00223575	0.0226244
l	0.00325837	0.031034	0.0739597	0.514804	0.194638	0.13873	0.0301377	0.00834389	0.00300783	0.00208587
o	0.00607489	0.00991432	0.0150619	0.253612	0.280422	0.167953	0.0772387	0.0291202	0.0161871	0.144416
k	0.000773138	0.00236789	0.0393951	0.216724	0.559498	0.067833	0.0674544	0.0111873	0.00813506	0.0266325
y	0.000128902	0.000325284	0.0339399	0.0891793	0.739111	0.033958	0.0957349	0.00359346	0.000900945	0.00312789
έ	2.01048e-05	0.000132967	0.0577575	0.0523985	0.657264	0.0535473	0.165354	0.00584572	0.000830934	0.00684871
m	7.74893e-05	0.00059994	0.0220052	0.0850434	0.330794	0.217814	0.276827	0.0242987	0.00353449	0.0390058
b	0.000215562	0.000156802	0.00117547	0.0278645	0.120879	0.365783	0.250461	0.136513	0.0194673	0.0774845
έ	0.000859234	0.0014634	0.0100092	0.0416018	0.238392	0.307944	0.313545	0.0177017	0.017523	0.0509597
k	9.01013e-05	0.000584262	0.00194585	0.0284372	0.074776	0.260696	0.38194	0.136714	0.00767167	0.107145
á	0.00769585	0.00280153	0.00411361	0.0145339	0.052134	0.0911383	0.64922	0.0821005	0.0165175	0.0797447
s	0.107937	0.0246973	0.00478814	0.0329014	0.0542137	0.167441	0.310774	0.0899731	0.0574144	0.14986
i	0.000395441	0.000662125	0.00296038	0.00755685	0.0310347	0.120848	0.534384	0.112764	0.0502429	0.139152
m	4.84091e-05	0.000310129	0.000333925	0.00847735	0.0108606	0.0876217	0.20493	0.462001	0.0463441	0.179072
é	0.00039464	0.000941853	0.000538034	0.0132078	0.00631377	0.046144	0.0243805	0.420957	0.214132	0.272991
m	0.000575664	0.00124034	0.000986222	0.0151219	0.0132964	0.0380309	0.0766888	0.419155	0.362316	0.0725888
b	0.000458666	0.00170241	0.000939439	0.0135573	0.00497864	0.0181175	0.00924253	0.232592	0.621349	0.0970632
ώ	0.000132721	0.000200083	0.000310695	0.00138772	0.00802214	0.0167556	0.030759	0.0399049	0.87963	0.0228969
s	8.34315e-06	4.57896e-05	0.000439294	0.00157065	0.00854964	0.0143241	0.0132818	0.0388612	0.869645	0.0532737
í	2.60912e-05	0.000108465	0.0010398	0.00262827	0.017338	0.0294652	0.20626	0.209984	0.293412	0.239738
</S>	2.79646e-05	0.000165964	0.000298002	0.00359436	0.00516673	0.0182868	0.0374541	0.22235	0.118358	0.594299
