 	il	a	avantage	à	se	taire	</S>
w	0.860035	0.0895449	0.0167105	0.0109886	0.0204556	0.00171619	0.000549186
a	0.845804	0.0356059	0.0104689	0.0270138	0.0754947	0.00537309	0.000239796
l	0.225162	0.574937	0.0738993	0.0400994	0.0243868	0.0101332	0.0513826
á	0.0608339	0.138274	0.0994419	0.0871788	0.0274211	0.0864471	0.500403
a	0.34214	0.17154	0.0910561	0.0688937	0.0431469	0.119796	0.163427
t	0.0273449	0.609017	0.261967	0.0251701	0.00632792	0.0100329	0.0601397
á	0.011086	0.281575	0.590949	0.04005	0.0036703	0.00599253	0.066677
á	0.020017	0.359942	0.409885	0.0678078	0.0211922	0.013609	0.107547
ω	0.127191	0.215816	0.230169	0.249784	0.149847	0.0116879	0.0155055
b	0.00386365	0.0661128	0.353801	0.24916	0.224346	0.0473322	0.055384
v	0.00710794	0.0558397	0.40843	0.163093	0.188851	0.121888	0.0547903
έ	0.00968455	0.058459	0.351204	0.153553	0.273682	0.097378	0.0560392
w	0.0104104	0.0290886	0.0484852	0.143588	0.0675923	0.0591395	0.641696
á	0.0689057	0.198542	0.55196	0.0990474	0.0288738	0.0222333	0.0304382
á	0.0307311	0.0413324	0.114128	0.237023	0.233181	0.172992	0.170611
</S>	0.00867441	0.0271281	0.0296945	0.157168	0.412708	0.157282	0.207346
