 	le	mouon	bêle	</S>
e	0.765972	0.233254	0.000665991	0.000108033
n	0.502858	0.491024	0.00208924	0.00402885
d	0.0456443	0.933537	0.00721816	0.0136002
ω	0.0400756	0.945992	0.00240034	0.011532
m	0.0383086	0.939938	0.0144106	0.00734242
b	0.324959	0.630243	0.00999834	0.0347993
ω	0.26464	0.644721	0.0290009	0.0616386
y	0.595485	0.16717	0.148117	0.0892281
é	0.842248	0.101771	0.0280012	0.027979
e	0.870547	0.0326327	0.0576616	0.0391592
l	0.0492655	0.0395401	0.415507	0.495688
e	0.0146096	0.00637072	0.440785	0.538234
a	0.0111768	0.00438749	0.151669	0.832767
</S>	0.0764565	0.00879986	0.175325	0.739419
