 	mon	petit	frère	m'	a	montré	l'	endroit	où	maman	a	gardé	ma	nourriture	</S>
o	0.330449	0.544096	0.0409027	0.0236716	0.0196061	0.0044754	0.0115089	0.0114555	0.00795815	0.000358121	0.0016212	6.22569e-05	0.00324008	0.000424054	0.000170656
d	0.0749645	0.638677	0.168083	0.0157988	0.0345224	0.0265379	0.00464306	0.00389691	0.00304485	0.00110891	0.00385717	0.00920076	0.011645	0.000239437	0.00378041
i	0.0316423	0.405539	0.32298	0.00374124	0.0327277	0.111708	0.0390439	0.010307	0.00200026	0.00147607	0.0021386	0.00886921	0.00377508	0.000268028	0.0237838
m	0.0367915	0.400786	0.376591	0.00884242	0.0366254	0.0327814	0.0222404	0.0059529	0.00137014	0.00058683	0.00398972	0.0371262	0.00912834	0.000190481	0.0269974
í	0.0475789	0.540595	0.26273	0.0141684	0.0606537	0.0119506	0.0250101	0.0106333	0.00225815	9.30934e-05	0.00764066	0.00875776	0.000604956	0.000455749	0.0068697
á	0.123463	0.237435	0.367574	0.0849626	0.061872	0.017876	0.0167892	0.00983926	0.0034933	0.00143928	0.0144414	0.0178662	0.00164647	0.00113945	0.0401625
l	0.0801358	0.0873494	0.364188	0.193955	0.13909	0.0632495	0.00872151	0.0082131	0.00356137	0.0051229	0.00912678	0.0183977	0.00255994	0.00103403	0.0152961
a	0.147899	0.110912	0.317231	0.199833	0.0867523	0.00728157	0.0138099	0.0115827	0.00863518	0.00922552	0.0155132	0.0123795	0.010658	0.000284796	0.0480017
a	0.0903403	0.0953283	0.216516	0.201646	0.124803	0.0227593	0.019237	0.0154768	0.00608373	0.00488127	0.0226171	0.0671494	0.0127822	0.00135999	0.0990196
s	0.0626192	0.0416549	0.143137	0.413052	0.226428	0.0291679	0.0187393	0.0135663	0.00509732	0.00249688	0.0140608	0.00493886	0.0047136	0.0018881	0.01844
i	0.114617	0.0490493	0.151874	0.39904	0.120864	0.0114998	0.023708	0.0160457	0.025993	0.0095475	0.0143591	0.00397374	0.0265137	0.000608487	0.0323068
