 	nous	savons	parler	la	langue	mbochie	</S>
b	0.455161	0.449125	0.0263733	0.0171355	0.0482089	0.00375351	0.000242642
í	0.838707	0.093686	0.0114734	0.0147323	0.0138518	0.0267748	0.000774631
s	0.992017	0.00641671	9.20489e-05	0.000288776	9.66248e-05	0.000896875	0.00019247
í	0.817584	0.0740379	0.00402882	0.010205	0.00281503	0.0702771	0.021052
l	0.110084	0.449961	0.0846317	0.0885165	0.011385	0.0120284	0.243393
é	0.0156374	0.039873	0.203845	0.314018	0.0157048	0.0159962	0.394926
e	0.0275394	0.580622	0.15194	0.142665	0.0220999	0.0300493	0.0450838
y	0.00765047	0.266055	0.470342	0.160599	0.0375893	0.00578934	0.0519753
é	0.0204661	0.211816	0.451407	0.184624	0.0537178	0.0377898	0.04018
b	0.0111824	0.114952	0.369033	0.227858	0.0647919	0.0195073	0.192676
h	0.011457	0.0878636	0.540394	0.281429	0.0637604	0.00256963	0.0125257
á	0.0167977	0.145201	0.0895057	0.291069	0.145015	0.0185093	0.293903
o	0.0518388	0.066436	0.252253	0.318478	0.265349	0.0274786	0.0181672
t	0.00275145	0.00541586	0.0928926	0.448827	0.292427	0.150792	0.00689548
i	0.000179902	0.00408399	0.209877	0.315379	0.375359	0.0541796	0.0409416
á	9.24529e-05	0.00760253	0.15649	0.376444	0.298223	0.0368117	0.124336
e	0.00823243	0.0257628	0.0471652	0.24666	0.374268	0.18403	0.113882
m	0.00606192	0.00543456	0.0164715	0.0994798	0.452033	0.272628	0.147892
b	0.00187373	0.000445569	0.000269424	0.00410491	0.0101573	0.952159	0.0309899
ó	8.47032e-05	7.60174e-05	0.000249144	0.005229	0.00584735	0.978667	0.00984675
s	0.000128805	0.000147443	0.00107508	0.0200161	0.0122938	0.916056	0.0502826
í	0.000220932	0.0029501	0.00612889	0.0730187	0.16596	0.462221	0.2895
</S>	0.00121349	0.00292573	0.0219935	0.0758301	0.0702953	0.0921497	0.735592
