 	il	faut	éviter	les	problèmes	</S>
k	0.361958	0.62824	0.000857824	0.00838845	0.000364309	0.000192391
á	0.181255	0.793932	0.00710844	0.00456737	0.0109227	0.00221422
a	0.161967	0.541734	0.215596	0.00619573	0.00979021	0.0647171
l	0.429837	0.278664	0.126579	0.099655	0.00808018	0.0571844
o	0.0934431	0.130335	0.421285	0.0574616	0.0117308	0.285744
o	0.229894	0.0854788	0.499797	0.074918	0.00851452	0.101398
d	0.00513068	0.00472513	0.820222	0.0964536	0.0187243	0.0547439
u	0.00257196	0.000408465	0.877222	0.00974989	0.00849399	0.101554
m	0.319187	0.0487781	0.330559	0.234651	0.018292	0.048532
á	0.073257	0.0549733	0.212626	0.419505	0.0443197	0.195319
p	0.0256365	0.00942159	0.0656352	0.442779	0.328654	0.127873
ώ	0.00637322	0.00738497	0.0406614	0.0373177	0.848133	0.0601294
ω	0.00438349	0.0112225	0.0420786	0.0683478	0.742185	0.131783
</S>	0.00329443	0.0013958	0.00781856	0.262223	0.292079	0.433189
