 	cette	femme	est	en	train	d'	éplucher	les	tubercules	de	manioc	</S>
o	0.894711	0.0453528	0.00932381	0.00779559	0.0379044	0.00126855	0.00125421	0.000811741	0.000249527	0.000381718	0.000891774	5.50648e-05
y	0.100564	0.895252	0.00310965	0.000414985	0.000304099	6.20395e-05	0.000157147	3.50922e-05	1.97886e-05	3.87155e-05	2.02883e-05	2.17798e-05
ú	0.784516	0.210936	0.00151159	0.000340739	1.86679e-05	0.000121478	0.00223394	7.17649e-05	0.000167498	2.16608e-05	1.25256e-05	4.84575e-05
r	0.67041	0.322508	0.00261761	0.000179286	2.61193e-06	0.000118876	0.000456748	0.000837286	0.00174311	0.000383172	9.06654e-05	0.000652164
u	0.752696	0.164758	0.0599797	0.00515642	0.000234963	0.00643126	0.00280962	0.00242135	0.00152798	0.00121341	0.000645615	0.00212555
w	0.0935856	0.117861	0.483513	0.204727	0.0188788	0.0301487	0.0219467	0.0070292	0.00181172	0.00454642	0.000580719	0.0153713
ó	0.314429	0.0498906	0.15452	0.0918043	0.159368	0.0740784	0.0512283	0.0262636	0.0165558	0.0265196	0.0133213	0.0220217
b	0.0723621	0.0186082	0.410913	0.264081	0.10171	0.0819315	0.0295928	0.0105254	0.00146333	0.00335203	0.000513216	0.00494783
ó	0.304134	0.0113766	0.133667	0.214684	0.0595223	0.20662	0.00875456	0.0344073	0.0100968	0.00798917	0.00280476	0.00594413
l	0.0517052	0.00915508	0.177617	0.201956	0.184918	0.163815	0.158646	0.0279732	0.0049009	0.00814299	0.00370038	0.00746989
á	0.0272211	0.013471	0.108676	0.0787822	0.00519683	0.235091	0.0705721	0.133556	0.046363	0.0584346	0.0075	0.215137
a	0.140795	0.0316572	0.155587	0.103197	0.0119913	0.248282	0.0831911	0.12834	0.0481042	0.0250717	0.00972542	0.0140584
p	0.0329632	0.0190526	0.0150743	0.00669281	0.00117811	0.116909	0.743511	0.0343876	0.0105216	0.00392971	0.00828124	0.00749891
ó	0.00122531	0.00110499	0.0133777	0.00448626	0.000816449	0.057154	0.868835	0.0164158	0.00660181	0.00273272	0.0154968	0.0117534
s	0.00129433	0.000583492	0.0161487	0.0113783	0.00146615	0.0711204	0.823097	0.038069	0.0122042	0.00394545	0.00976186	0.0109314
á	0.0128754	0.00178808	0.015626	0.00852741	0.000592667	0.201813	0.374427	0.159843	0.0616516	0.0404689	0.0457656	0.0766212
i	0.00650158	0.00132815	0.0172102	0.0180728	0.00185604	0.0535284	0.268097	0.392523	0.0972187	0.0706031	0.0346888	0.038372
k	0.00185955	0.00112892	0.00174663	0.00184346	0.000351574	0.00998713	0.038375	0.174268	0.378744	0.0965856	0.266864	0.028246
ώ	0.00022326	4.67707e-05	0.00029288	0.000331557	0.000271774	0.000830265	0.0143583	0.0118419	0.0213628	0.0123267	0.931716	0.00639791
ώ	3.23354e-05	3.33235e-06	0.000117451	0.000409039	0.00159433	0.000600479	0.0053697	0.0077674	0.0146727	0.035327	0.919614	0.0144922
</S>	0.00133422	0.00030883	0.00138443	0.000858702	2.4529e-05	0.00222589	0.000875562	0.143289	0.199361	0.375597	0.0773642	0.197376
