 	ses	amis	l'	on	tapé	parce	qu'	il	est	faible	</S>
a	0.475205	0.454169	0.0320583	0.00882368	0.0139554	0.00306397	0.00639443	0.00385509	0.00206538	0.000227984	0.000181424
b	0.0599791	0.84705	0.0442061	0.00408657	0.026034	0.00217136	0.00176546	0.00105528	0.00187721	0.0104137	0.00136166
i	0.0199888	0.734943	0.0242523	0.0125197	0.187354	0.00961041	0.00208983	0.0013234	0.000893208	0.00415497	0.00287026
a	0.0577597	0.534973	0.13102	0.0422464	0.136832	0.0109117	0.00332219	0.0052439	0.00350344	0.00859827	0.065589
á	0.180194	0.0477006	0.458975	0.197542	0.0219038	0.00995368	0.00881636	0.0121477	0.0197399	0.000347545	0.0426803
b	0.018965	0.0112025	0.341733	0.311421	0.179889	0.0377022	0.0156219	0.0140349	0.0443441	0.00751822	0.0175688
ε	0.0150401	0.0752447	0.113288	0.163933	0.432545	0.104964	0.0277611	0.0200634	0.0182821	0.0110651	0.0178137
r	0.0742279	0.0606045	0.210971	0.167214	0.119729	0.18521	0.0579263	0.0244219	0.0204588	0.00793542	0.0713008
i	0.072255	0.00926518	0.152613	0.25557	0.0510412	0.182146	0.186704	0.0561893	0.0173316	0.00533109	0.0115525
w	0.0393169	0.0194263	0.0943133	0.281701	0.110909	0.213873	0.140952	0.0731516	0.0129547	0.00166423	0.011738
a	0.0176776	0.00232068	0.0735834	0.196423	0.0426766	0.2609	0.222398	0.113838	0.0154124	0.015991	0.0387794
t	0.00506212	0.00132777	0.0285145	0.0743162	0.0587233	0.365671	0.27688	0.134095	0.0158583	0.0017915	0.0377602
s	0.0100733	0.00315609	0.0253536	0.0198503	0.0429007	0.362761	0.367495	0.125558	0.00510539	0.0185168	0.0192296
i	0.000543853	0.00152996	0.0134346	0.0684563	0.218874	0.243114	0.285218	0.122671	0.00530201	0.0116819	0.0291756
n	0.00228079	0.00375279	0.0129627	0.078174	0.12052	0.201388	0.213817	0.0935445	0.00355078	0.0212733	0.248736
a	0.00544977	0.00102239	0.00576894	0.019654	0.0113002	0.364056	0.2947	0.107724	0.0119914	0.0187748	0.159558
w	0.0038146	0.000314449	0.0158739	0.0512619	0.0107113	0.177556	0.324453	0.28148	0.0854775	0.00520308	0.0438547
a	0.00811129	0.00203263	0.0168659	0.0222497	0.0129608	0.127366	0.373847	0.361466	0.017366	0.00645853	0.051277
a	0.00288156	0.000583363	0.0051534	0.00753812	0.00442255	0.0457662	0.164999	0.547267	0.162722	0.00684972	0.0518172
d	0.00153271	0.0013696	0.0195387	0.0348761	0.0127163	0.0126083	0.0118443	0.0972148	0.716799	0.00492182	0.0865789
í	0.00462901	0.000570555	0.00620696	0.0113955	0.00239966	0.0526265	0.0185204	0.0895262	0.443454	0.0173499	0.353321
p	0.00617606	0.000928588	0.00391447	0.0159858	0.00217737	0.0178346	0.0360651	0.091783	0.513654	0.0434504	0.268031
ω	0.000360493	0.00113218	0.00208499	0.0045623	0.00820424	0.018497	0.0180793	0.0589234	0.0656359	0.750308	0.072212
m	3.07953e-05	0.000105081	0.000115794	0.000242046	0.000821026	0.000881526	0.00665112	0.0113228	0.0310533	0.856824	0.091953
b	0.000174699	4.80545e-05	0.000538898	0.000449891	0.000550171	0.00822641	0.0167267	0.0285083	0.136667	0.520424	0.287686
ω	0.000672951	0.00025991	0.000991896	0.00257543	0.00256379	0.0116696	0.0452158	0.0677208	0.0463745	0.596157	0.225799
</S>	0.00257737	0.000694984	0.00573281	0.00435552	0.00479207	0.0174425	0.0722285	0.132594	0.156551	0.213488	0.389543
