 	la	mère	a	fait	faire	caca	à	l'	enfant	</S>
n	0.888738	0.0719284	0.00836481	0.00544674	0.0191238	0.00121117	0.00139669	0.00341521	0.000328756	4.61193e-05
g	0.670972	0.324372	0.00166392	0.000853687	0.000592915	6.9321e-05	0.000192298	0.00117576	5.27723e-05	5.54202e-05
o	0.0795506	0.919509	0.000142387	0.0001629	8.68038e-05	0.000119464	9.55659e-05	0.000144894	0.000156464	3.15041e-05
o	0.0426027	0.9416	0.00223153	0.00324433	0.00172898	0.00685894	0.000300942	0.000928421	0.000252163	0.000251494
b	0.172153	0.00578493	0.435957	0.271828	0.0795486	0.0163514	0.00325162	0.00879688	0.00159137	0.00473711
o	0.11954	0.0170308	0.160903	0.22577	0.214462	0.0382391	0.0485146	0.0270619	0.00401517	0.144464
l	0.067857	0.00276301	0.329595	0.378887	0.158025	0.0211505	0.0129967	0.00481956	0.000182699	0.023724
á	0.560276	0.00726974	0.0873599	0.115617	0.0835262	0.0290041	0.0315401	0.0195394	0.00451612	0.0613513
a	0.175968	0.000542127	0.344446	0.208701	0.178216	0.0513082	0.0157282	0.00823855	0.00584021	0.011012
s	0.00457759	0.000395097	0.0579783	0.280372	0.189503	0.434646	0.0224191	0.00183283	0.00125109	0.00702525
u	0.000360797	4.19686e-05	0.00195248	0.0425763	0.0288555	0.901203	0.018649	0.000779184	0.000614897	0.00496713
m	0.0164317	0.000799344	0.0336381	0.220278	0.0804246	0.522731	0.104795	0.00447449	0.00162572	0.0148017
b	0.0892768	0.000128374	0.0440893	0.187075	0.151724	0.244276	0.108485	0.149508	0.0074061	0.0180322
u	0.0039972	2.21567e-06	0.0138143	0.105352	0.115293	0.393818	0.231151	0.0429512	0.00891013	0.0847108
s	0.00229946	9.91864e-06	0.0188058	0.0339099	0.045373	0.0173486	0.0844912	0.773927	0.0107748	0.0130607
á	0.00249504	1.91975e-07	0.00144192	0.0224673	0.054042	0.150333	0.295793	0.374472	0.0490746	0.0498805
m	0.00371353	6.13747e-05	0.00157592	0.00282725	0.0108124	0.0254053	0.0948437	0.654953	0.198619	0.00718896
w	0.000212067	9.47965e-06	0.000779789	0.00131112	0.00490674	0.0270579	0.0173042	0.0168404	0.910423	0.0211556
á	4.26687e-05	5.335e-07	3.43096e-05	5.91526e-05	0.000204566	0.00119797	0.000441193	0.000175419	0.997558	0.000286367
n	0.0177636	3.35762e-05	0.00183346	0.00160463	0.00356784	0.001153	0.00211007	0.036309	0.923939	0.0116861
a	0.00303191	3.73397e-05	0.00354785	0.0107478	0.00304686	0.0278323	0.014634	0.050295	0.769766	0.117061
</S>	0.00939131	0.000159703	0.00866618	0.0207664	0.0181219	0.011615	0.0951868	0.234167	0.0210252	0.580901
