 	la	veuve	est	vêtue	d'	un	morceau	de	pagne	</S>
o	0.609325	0.309251	0.0549324	0.0103339	0.0060458	0.00363648	0.00390248	0.00242393	0.000119111	2.9597e-05
y	0.189366	0.709189	0.0419701	0.015654	0.00644757	0.0082107	0.00333541	0.0057197	0.0128637	0.00724391
u	0.290914	0.374388	0.0392654	0.0776166	0.0551326	0.10066	0.0221816	0.00297717	0.0176474	0.0192178
r	0.410992	0.0471879	0.00595939	0.00813434	0.0329354	0.131914	0.0332714	0.00951642	0.00998796	0.310101
u	0.685667	0.186924	0.0362943	0.00913798	0.0305753	0.0223135	0.0104341	0.00360846	0.00368862	0.0113564
y	0.198291	0.165128	0.498753	0.0544921	0.046744	0.00734244	0.00590162	0.00878444	0.00131795	0.0132462
o	0.315152	0.187705	0.175579	0.093553	0.080051	0.0328397	0.0180317	0.0257435	0.00925525	0.0620902
k	0.715238	0.0647319	0.122032	0.057146	0.026417	0.00545809	0.00177124	0.00286354	0.00035126	0.00399036
w	0.291947	0.486431	0.0180025	0.0983305	0.0376342	0.0236476	0.0244047	0.00227356	0.0112346	0.00609434
é	0.116259	0.175629	0.0583422	0.204017	0.190748	0.073193	0.159079	0.00885824	0.0017063	0.0121683
é	0.0127964	0.060362	0.148286	0.564119	0.0836702	0.0169164	0.0400364	0.0093307	0.0104756	0.0540071
l	0.00178224	0.00187371	0.0909822	0.509148	0.287938	0.0559362	0.0189774	0.0111383	0.00065211	0.0215714
é	0.0233316	0.0061845	0.0279088	0.460516	0.227281	0.118866	0.0263831	0.0328893	0.000373925	0.0762659
a	0.0135213	0.0022777	0.032541	0.147327	0.179016	0.299265	0.17453	0.0985611	0.00101014	0.0519504
d	0.00506837	0.00123813	0.00474601	0.0961832	0.280219	0.434131	0.141463	0.0149791	0.0109026	0.0110695
i	0.000772064	0.000459347	0.000335113	0.0425184	0.275426	0.504638	0.116019	0.00491521	0.00582765	0.0490893
m	0.00235387	0.000302843	0.00561947	0.0809868	0.394059	0.361297	0.103876	0.0159361	0.00292394	0.0326445
í	0.00123834	0.000254722	0.00300705	0.0477157	0.225794	0.409372	0.156108	0.0576834	0.00100028	0.0978264
p	0.00132516	0.000499473	0.00351807	0.00823318	0.0340117	0.103151	0.440408	0.25986	0.0665532	0.0824397
é	0.00139765	0.00149704	0.000699903	0.00246493	0.0058144	0.0533363	0.121243	0.0206548	0.765011	0.0278814
b	5.27452e-05	0.000115378	0.000373994	0.000531501	0.00473274	0.0389715	0.165891	0.072185	0.6296	0.087547
h	0.000889206	0.00108562	0.000703157	0.00192708	0.0140518	0.0657833	0.405704	0.0344833	0.0730466	0.402326
é	0.00109944	0.00161654	0.000994542	0.000881901	0.0108993	0.0584208	0.520887	0.0664108	0.0838245	0.254965
</S>	0.00079051	0.000393161	0.00199855	0.000459762	0.0038486	0.0137204	0.106805	0.365946	0.120156	0.385883
