 	je	n'	ai	rien	à	faire	</S>
n	0.759912	0.118941	0.0446224	0.0237113	0.0410511	0.00737505	0.00438767
g	0.991748	0.00172779	0.00104007	0.00471133	0.000592759	0.000122723	5.73481e-05
á	0.969476	0.0147167	0.00401982	0.0112556	0.000177993	0.000328869	2.54392e-05
i	0.217071	0.261339	0.192893	0.0789889	0.0730856	0.0626921	0.113931
d	0.0154995	0.451904	0.298551	0.0846959	0.0146907	0.0257652	0.108894
í	0.0178737	0.533266	0.250382	0.0569777	0.0068833	0.00506884	0.129549
i	0.0116531	0.110932	0.379345	0.310767	0.0778257	0.0175005	0.0919771
y	0.0029242	0.112881	0.299147	0.408585	0.0509579	0.0439532	0.0815518
i	0.000392199	0.0474034	0.175152	0.674843	0.0191506	0.0111446	0.0719149
a	0.000172068	0.0195744	0.0817808	0.750311	0.0289108	0.00891511	0.110336
y	0.000904075	0.019658	0.174244	0.206048	0.452316	0.0618228	0.0850073
á	0.000438193	0.0200022	0.102827	0.170772	0.0652941	0.0825978	0.558069
i	0.0101809	0.00820697	0.0419384	0.0846457	0.237652	0.512242	0.105134
k	0.000156879	0.00154346	0.00757264	0.0330493	0.0635098	0.724627	0.169541
y	1.82993e-05	0.000535881	0.00447441	0.0297866	0.0272947	0.879777	0.0581127
a	0.000111393	0.00221585	0.0155407	0.0952603	0.0640304	0.634382	0.188459
k	0.000175651	0.00285029	0.0226941	0.101205	0.172531	0.402684	0.297861
a	0.000718355	0.00282388	0.0163115	0.048357	0.105361	0.424193	0.402236
á	7.07567e-05	0.000561769	0.00322237	0.010508	0.0449118	0.207453	0.733273
</S>	0.000268274	0.00424827	0.0222304	0.0142667	0.115588	0.209204	0.634195
