 	dans	l'	étang	où	nous	avons	pêché	il	y	avait	une	substance	qui	donne	de	démangeaisons	c'	est	pourquoi	nos	corps	démangent	</S>
e	0.419178	0.396087	0.086528	0.0549344	0.00631121	0.0080821	0.000138229	0.00640497	0.00651566	0.00404911	0.0031732	0.0011459	0.000719245	0.000751293	0.0030263	0.000575742	0.00079218	0.000481136	0.000661747	0.000150171	0.000232999	5.47757e-05	6.32986e-06
t	0.268525	0.523326	0.128543	0.00486252	0.0019667	0.0054614	0.0190144	0.00704763	0.00845865	0.00530438	0.00550846	0.00136148	0.00172138	0.0039982	0.00319103	0.00101791	0.000980892	0.000851026	0.000668326	0.00157052	0.00217104	0.00282632	0.0016228
ó	0.00403887	0.0491105	0.882549	0.0196683	0.00163133	0.00287627	0.00579213	0.00490522	0.00715535	0.00325592	0.00348011	0.000466175	0.00216513	0.00196878	0.00221478	0.00180869	0.0011866	0.00186754	0.00094645	0.000559377	0.000486783	0.000508132	0.0013586
n	0.0055051	0.0578585	0.878959	0.0088531	0.000917192	0.00217388	0.00672729	0.00361607	0.00699328	0.00275452	0.00338178	0.000211155	0.00218391	0.00171088	0.00293308	0.00422654	0.00137194	0.00180989	0.0021217	0.000583861	0.001492	0.000660293	0.00295505
g	0.0366966	0.193532	0.545306	0.00984159	0.00123352	0.00258018	0.00339102	0.0109368	0.0167886	0.0188166	0.0154268	0.00254679	0.00488698	0.0130674	0.0177003	0.0143868	0.00910931	0.008148	0.0113178	0.0126164	0.00734441	0.00314283	0.0411836
o	0.0429375	0.108668	0.789804	0.0187489	0.00229528	0.00169548	0.000927151	0.0010937	0.00240796	0.00321304	0.00176988	0.000497287	0.000680018	0.000400519	0.00308044	0.00521691	0.00138253	0.00117225	0.00701578	0.00166255	0.00103486	0.000221897	0.00407335
y	0.131164	0.219218	0.293557	0.239643	0.0109563	0.0297874	0.00884808	0.0149183	0.00401878	0.00583975	0.00393229	0.00323775	0.00813141	0.00395886	0.0017553	0.000721951	0.00420991	0.00256331	0.0020203	0.00283535	0.00172102	0.000366049	0.00659611
é	0.489039	0.161085	0.141101	0.0887506	0.00688828	0.0283888	0.00458292	0.00614431	0.00530459	0.00662619	0.00494956	0.00122122	0.00315218	0.00116186	0.00344135	0.00568294	0.00659104	0.00408908	0.0145469	0.00413954	0.0043248	0.000152439	0.00863644
é	0.373188	0.0704095	0.139629	0.183846	0.0453053	0.0477112	0.00546609	0.0075055	0.00802311	0.00851013	0.00834466	0.00477933	0.00785987	0.00212367	0.00810406	0.0117807	0.00951733	0.00827847	0.0193186	0.00790067	0.00903099	0.000601497	0.0127657
t	0.0461336	0.0290982	0.0212192	0.0249878	0.0120409	0.0576945	0.739219	0.0179415	0.0110376	0.010473	0.00315386	0.00214664	0.00256343	0.00371088	0.00137315	0.00108237	0.00163436	0.00146229	0.00133793	0.00292403	0.00246854	0.00211452	0.00418281
ó	0.00275749	0.00672885	0.0611432	0.0108218	0.00451759	0.0223016	0.78853	0.0338846	0.0207452	0.00949577	0.00400257	0.0014105	0.00284606	0.00568597	0.001865	0.00179513	0.00212762	0.00292707	0.00177961	0.00351856	0.00247501	0.0026431	0.00599737
