 	les	branches	pendent	au-dessus	du	chemin	</S>
i	0.73968	0.20517	0.0420019	0.00763096	0.00486194	0.000500212	0.000155196
t	0.766034	0.123679	0.010663	0.0212423	0.0423525	0.0249864	0.0110432
á	0.407235	0.300566	0.0545585	0.102483	0.0353143	0.0674908	0.0323526
b	0.278821	0.277287	0.0297137	0.0980532	0.0232152	0.0136016	0.279309
h	0.339214	0.306283	0.139283	0.03988	0.0223769	0.0217564	0.131206
e	0.709948	0.197967	0.0518961	0.0038314	0.00197271	0.00192257	0.0324618
b	0.228082	0.524494	0.125482	0.0596493	0.0203372	0.00245785	0.0394965
á	0.187608	0.190769	0.23878	0.1019	0.0607392	0.0350676	0.185136
b	0.20672	0.3538	0.343642	0.0450476	0.0136339	0.00296999	0.0341869
v	0.298759	0.426223	0.21523	0.0487319	0.00458476	0.0036691	0.0028025
ú	0.134628	0.612325	0.241351	0.00763448	0.00141839	0.000402483	0.00224039
a	0.191685	0.525433	0.0553617	0.129917	0.0703021	0.00914559	0.0181559
b	0.140137	0.295886	0.0967066	0.365869	0.0491736	0.00205616	0.0501719
í	0.130815	0.154545	0.0606427	0.395746	0.146506	0.0248794	0.0868651
i	0.132926	0.335321	0.257336	0.157161	0.0340114	0.00793791	0.0753077
l	0.0090837	0.0121868	0.0121015	0.716022	0.171079	0.0318639	0.0476637
y	0.0120857	0.0126716	0.00671517	0.580497	0.249812	0.0299339	0.108285
έ	0.00408552	0.00499469	0.00127362	0.574559	0.323629	0.0488987	0.0425587
m	0.002786	0.0112242	0.00511497	0.319585	0.420354	0.0971824	0.143753
έ	0.0108942	0.0471679	0.00404164	0.452399	0.383392	0.0408383	0.061267
ó	0.00809585	0.0103453	0.00452059	0.108936	0.449994	0.331088	0.0870211
k	0.0306037	0.0127331	0.00181849	0.0804135	0.374057	0.464815	0.035559
ó	0.00234458	0.00445053	0.00464958	0.0857791	0.061622	0.825596	0.0155582
ó	0.000448444	0.000599886	0.00401723	0.126831	0.0909422	0.693253	0.0839085
</S>	0.0108905	0.012644	0.00472903	0.0273371	0.282584	0.229726	0.432089
