 	l'	enfant	roule	par	terre	parce	que	sa	mère	l'	a	tapé	</S>
m	0.681321	0.303617	0.00459606	0.000789966	0.00257817	0.0022719	0.00214606	0.00190579	4.24716e-05	0.000225217	0.000109786	0.000360812	3.57681e-05
w	0.00983635	0.984554	0.00297927	0.000743427	0.000324455	9.18488e-05	0.000112317	0.000532788	4.63588e-06	0.000354903	0.000171584	2.64037e-05	0.000268344
á	0.00841486	0.990926	0.000258813	5.04691e-05	9.94745e-05	0.000103214	2.69421e-05	9.49585e-05	2.02378e-06	9.96446e-06	6.56012e-06	3.34613e-06	3.35495e-06
n	0.108578	0.888637	0.00119697	0.000228444	9.61984e-05	0.000292419	0.000209278	0.000148973	7.32245e-06	0.000104265	9.90592e-05	8.83177e-06	0.000392735
a	0.100327	0.763534	0.0525963	0.00946044	0.00355512	0.00691983	0.00749685	0.017437	0.00111258	0.00832451	0.00170428	0.000966879	0.0265646
l	0.840069	0.0583391	0.0447958	0.0165671	0.00417091	0.00532182	0.00566365	0.00641062	0.00240841	0.00595275	0.00439216	0.000628167	0.00528049
á	0.156354	0.013751	0.0738633	0.105065	0.0374386	0.0615371	0.101751	0.0401574	0.0161956	0.0675718	0.0233346	0.00587998	0.2971
a	0.144636	0.0267904	0.391772	0.157481	0.0747686	0.0350922	0.0288856	0.00670341	0.0108026	0.0136216	0.00919095	0.00489357	0.095362
b	0.029216	0.00325406	0.645472	0.195739	0.0721345	0.00554668	0.00609088	0.00178532	0.00174091	0.00232645	0.002553	0.00650705	0.0276338
í	0.00360755	0.00100172	0.869656	0.0947791	0.010397	0.00372248	0.00319964	0.00127601	7.67521e-06	0.000822371	0.000893543	0.00422607	0.00641129
n	0.0113004	0.00432054	0.745389	0.117126	0.0526405	0.00898375	0.00504036	0.00170018	6.00353e-05	0.00254104	0.00232087	0.00150678	0.0470699
