 	je	te	remercie	pour	le	bien	que	tu	m'	as	fait	</S>
n	0.59158	0.111108	0.0312655	0.0645622	0.0344999	0.0621433	0.0258403	0.036501	0.0124461	0.0275646	0.00127654	0.00121289
g	0.908577	0.0298431	0.000723119	0.000451027	0.000134781	0.000137129	0.000434379	0.0182897	0.0301077	0.0111866	8.62362e-05	2.90058e-05
á	0.58418	0.275677	0.0194052	0.0018433	0.000711752	0.000303747	0.00110212	0.0277444	0.0363338	0.0463892	0.00550893	0.000800277
l	0.0459207	0.227366	0.132829	0.0646513	0.0276166	0.0137497	0.0267936	0.0613011	0.0326698	0.0685114	0.105766	0.192824
í	0.195602	0.150317	0.0406224	0.0324468	0.0199213	0.0121588	0.0137005	0.0689246	0.0675364	0.172001	0.090541	0.136229
i	0.0444152	0.0635968	0.0552209	0.0510262	0.0429713	0.0293603	0.0661628	0.17307	0.086936	0.142006	0.0835021	0.161732
y	0.00118686	0.0330719	0.867524	0.0224842	0.00779583	0.00287112	0.00101645	0.000906742	0.000379737	0.00151162	0.0196017	0.0416501
w	0.000558396	0.0111641	0.968077	0.00132542	0.000904852	0.000202469	0.000464459	0.000494307	0.000212728	0.000203633	0.00498153	0.0114108
o	0.00435557	0.0220668	0.920868	0.0103579	0.00699476	0.00185492	0.00356123	0.00135257	0.00132356	0.00126824	0.00801883	0.017978
o	0.000869927	0.0212718	0.474293	0.209731	0.150835	0.0589524	0.0138509	0.00282413	0.000434263	0.000482379	0.00595401	0.0605007
s	0.000147608	0.0202661	0.112093	0.484198	0.253726	0.0729963	0.0187617	0.0056676	0.000582969	0.000780852	0.00388582	0.0268938
á	0.00151332	0.0263024	0.327652	0.133563	0.203727	0.0717936	0.100515	0.0166609	0.00448333	0.00193263	0.0320069	0.0798496
n	0.00132662	0.0147176	0.0576273	0.309175	0.347871	0.129703	0.0845644	0.017585	0.00501937	0.00118578	0.0069121	0.0243115
ω	0.00437266	0.0487487	0.0219876	0.125631	0.141115	0.0382815	0.115975	0.307929	0.0645749	0.0214676	0.0160451	0.0938728
m	0.00158943	0.0388297	0.0272496	0.305396	0.248427	0.0708418	0.0666887	0.0797562	0.0193105	0.0267691	0.0135198	0.101622
o	0.000176182	0.00759529	0.0196396	0.204378	0.267702	0.191161	0.2042	0.0106923	0.00178692	0.00107724	0.00711875	0.0844729
b	6.10543e-05	0.00193753	0.00711766	0.109897	0.212577	0.322598	0.264399	0.042889	0.00831975	0.000999075	0.00889465	0.0203106
v	0.000640148	0.00411132	0.0065066	0.0837645	0.191057	0.497939	0.0885644	0.0166501	0.00550218	0.00384308	0.0367426	0.0646789
έ	0.00039139	0.00233436	0.00563104	0.082638	0.206551	0.287014	0.17936	0.101101	0.0201431	0.00357187	0.0460018	0.0652621
b	0.000251349	0.00291262	0.00551678	0.0489602	0.0962147	0.204796	0.280868	0.201956	0.0780672	0.0204452	0.0197215	0.0402904
ó	0.000280082	0.00274141	0.00698316	0.113338	0.223588	0.269997	0.102996	0.0498224	0.0128834	0.0101966	0.0982825	0.108891
ó	0.000878301	0.00334633	0.00546254	0.0986331	0.15428	0.225467	0.180639	0.133036	0.0648696	0.0300455	0.0416473	0.0616954
k	0.00131554	0.013737	0.0102996	0.0377145	0.0404167	0.0665338	0.0578508	0.0867144	0.0374351	0.121644	0.348931	0.177407
y	6.37154e-05	0.000806565	0.00971748	0.0280068	0.0589168	0.16375	0.028086	0.0250042	0.00274992	0.00977204	0.279129	0.393998
e	0.000359497	0.00238386	0.0159394	0.026102	0.0869352	0.192883	0.0674489	0.0386908	0.012698	0.0252182	0.362476	0.168865
n	0.000252742	0.000732925	0.00316603	0.00787199	0.024543	0.0870792	0.108487	0.171194	0.0981462	0.137406	0.14351	0.21761
ω	0.000299828	0.00118715	0.00686583	0.00959291	0.0191357	0.0356297	0.082884	0.308	0.11115	0.114546	0.182946	0.127763
l	0.000337476	0.00261285	0.00203868	0.0152487	0.0213135	0.0383273	0.0775136	0.17808	0.109632	0.148633	0.0856591	0.320604
a	0.00145554	0.00315565	0.00304347	0.0101291	0.019217	0.0279797	0.0604183	0.137708	0.152419	0.123077	0.163054	0.298342
n	0.000582929	0.00355836	0.000649733	0.0116382	0.0176478	0.0205957	0.110642	0.26815	0.218512	0.0815168	0.0870439	0.179463
g	0.00976741	0.00422984	0.000180973	0.00111376	0.00154204	0.00126412	0.0123694	0.38856	0.45095	0.0866346	0.0234085	0.0199799
á	0.0122371	0.0046443	0.000607583	0.00108683	0.00119642	0.00104087	0.00906589	0.443664	0.333751	0.123146	0.0203573	0.0492021
</S>	0.000611196	0.00134335	0.000399206	0.00807486	0.00962779	0.0135168	0.0276997	0.0997131	0.13878	0.162537	0.118051	0.419646
