 	notre	père	a	une	grande	paillotte	</S>
t	0.413512	0.532913	0.0169918	0.0093337	0.0239279	0.00300005	0.000321361
á	0.0416038	0.934464	0.00809382	0.00878409	0.00461488	0.00161786	0.000822161
á	0.0941807	0.534001	0.0948987	0.0839322	0.00933076	0.110948	0.0727079
y	0.644831	0.17024	0.0859694	0.0136731	0.0125259	0.00285623	0.0699037
a	0.550073	0.148554	0.093185	0.0315987	0.0155168	0.0219241	0.139149
b	0.964189	0.00756265	0.0112429	0.00261114	0.00382173	0.00218092	0.00839136
í	0.996209	0.00110819	0.000819689	0.000459537	0.000552889	0.000740061	0.000110851
s	0.997869	0.000694728	0.000412305	0.000111766	0.000142902	0.000621563	0.00014768
í	0.470609	0.0515709	0.113179	0.0447177	0.0258342	0.0702903	0.223798
a	0.00451718	0.0184865	0.691401	0.144081	0.0927586	0.0146974	0.0340588
d	0.00206355	0.00450175	0.566859	0.304868	0.0700324	0.0135955	0.0380802
í	0.00442516	0.000508446	0.199215	0.370636	0.0285568	0.0222351	0.374423
l	0.0103947	0.000136226	0.143319	0.177512	0.23435	0.0689949	0.365293
a	0.0266139	0.00222172	0.0955006	0.155146	0.0815535	0.150496	0.488469
k	0.00531018	0.000189438	0.0452853	0.134816	0.0729266	0.681942	0.0595302
á	0.000727652	6.92696e-05	0.00802225	0.0692415	0.0254533	0.877529	0.0189566
n	0.00826647	0.000355473	0.0316834	0.112699	0.0236611	0.767624	0.0557104
d	0.00295084	7.1997e-05	0.0791288	0.280463	0.118002	0.324759	0.194625
z	0.00501951	0.000180917	0.0614795	0.182376	0.113244	0.459842	0.177858
á	0.000224472	8.47375e-05	0.0287004	0.161367	0.12211	0.519201	0.168312
l	0.00292184	0.000107969	0.0497571	0.0609588	0.16924	0.180649	0.536365
á	0.0223893	0.000359753	0.0149544	0.0529929	0.0517701	0.377909	0.479624
i	0.0171388	0.000671119	0.0726175	0.034192	0.080402	0.495938	0.29904
n	0.00290594	0.000879051	0.0126933	0.0350144	0.0474589	0.675614	0.225434
έ	0.0152152	9.9166e-05	0.00356468	0.0246084	0.0281784	0.83235	0.0959839
</S>	0.00106503	2.63059e-05	0.00984707	0.0228271	0.0399294	0.0787559	0.847549
