 	elle	lui	donne	un	coup	de	bâton	</S>
w	0.906819	0.079541	0.00565561	0.00468582	0.000474092	0.00231329	0.0003686	0.000142357
a	0.838453	0.125707	0.00169592	0.0164388	0.00106397	0.00860387	0.00789953	0.000137562
a	0.168252	0.555395	0.183034	0.0590509	0.00433071	0.0170876	0.000496094	0.0123538
w	0.0475981	0.235978	0.576453	0.0733491	0.0344846	0.0105439	0.00112555	0.0204672
u	0.0334746	0.32301	0.194832	0.186675	0.114812	0.030815	0.00330758	0.113075
s	0.0327335	0.138707	0.561735	0.173857	0.0517809	0.00844521	0.000917792	0.0318239
í	0.00520483	0.0505892	0.707874	0.176375	0.0319705	0.018996	0.00246172	0.00652885
w	0.112982	0.280923	0.221249	0.166015	0.0745726	0.109266	0.0110639	0.0239284
a	0.209685	0.358033	0.263614	0.132319	0.00867278	0.0162772	0.0048524	0.00654677
i	0.0526455	0.112108	0.23598	0.200102	0.135826	0.19141	0.0121879	0.0597403
b	0.00273608	0.00592446	0.0614427	0.159762	0.453788	0.126786	0.0787268	0.110834
v	0.00217352	0.00336681	0.0103741	0.0668586	0.0656066	0.0502765	0.78371	0.0176337
ú	0.000143249	0.00054707	0.00799254	0.022097	0.0293695	0.0266237	0.889755	0.0234722
a	0.000231445	0.00108951	0.0123377	0.0451317	0.0479386	0.198474	0.450301	0.244496
</S>	0.000308982	0.00209319	0.0153695	0.0485966	0.0162809	0.605148	0.0437242	0.268478
