 	tu	parles	trop	bas	je	n'	entends	pas	</S>
n	0.96104	0.0234161	0.0039942	0.00373638	0.0032084	0.000763105	0.00146052	0.00182517	0.000556168
ω	0.987181	0.00284488	0.000322254	0.00105813	0.00676735	0.000753762	0.000461919	0.000283739	0.000327391
l	0.826271	0.116902	0.0027541	0.00613295	0.0139077	0.0103277	0.0119032	0.0044291	0.0073719
ó	0.264352	0.0853949	0.047798	0.0295411	0.0493175	0.0638549	0.0400836	0.0728959	0.346762
o	0.214492	0.185412	0.080379	0.0749964	0.061234	0.0713976	0.0608585	0.0576587	0.193572
t	0.00738829	0.83101	0.104843	0.0103863	0.0010477	0.0113244	0.0175205	0.00345815	0.0130211
i	0.00562893	0.751527	0.159941	0.0218274	0.00165068	0.0127506	0.0154563	0.00396177	0.0272571
a	0.00980728	0.531083	0.335136	0.0320458	0.00353883	0.0157092	0.0142817	0.00698315	0.0514152
o	0.00880468	0.109265	0.386962	0.356959	0.0707323	0.0229143	0.0115817	0.0066103	0.0261709
t	0.000351573	0.0554997	0.316977	0.385047	0.0138638	0.0464554	0.0445278	0.0655746	0.0717034
ó	0.000323973	0.0633515	0.377229	0.331028	0.00990823	0.0120369	0.0199815	0.0912226	0.0949181
o	0.000228424	0.0796079	0.531966	0.306722	0.012388	0.0111802	0.0114161	0.0109113	0.0355799
t	0.00033601	0.0298176	0.118108	0.475613	0.0872493	0.178934	0.0513888	0.0113356	0.0472172
í	0.00475962	0.0337152	0.262821	0.268095	0.149814	0.0305186	0.0181	0.0458845	0.186292
n	0.00446529	0.00456334	0.0218064	0.138602	0.651022	0.0372058	0.0159503	0.0190646	0.10732
g	0.00846408	0.00510865	0.00448514	0.0614459	0.717142	0.0339765	0.0333592	0.0192977	0.116721
á	0.0153139	0.00233683	0.00355245	0.0564503	0.821984	0.0186673	0.0172197	0.0111165	0.0533592
i	0.000909274	0.00451839	0.0107515	0.0428094	0.404346	0.295876	0.139161	0.0562574	0.0453717
d	0.00119144	0.00991133	0.0372875	0.0263905	0.0502399	0.193639	0.30089	0.246699	0.133751
í	0.000189089	0.000696212	0.00403521	0.0150358	0.0121038	0.379271	0.253335	0.0895215	0.245812
n	0.000289542	0.000455026	0.00371187	0.0148521	0.022706	0.281532	0.28532	0.153454	0.237679
ω	0.000891097	0.00120503	0.000673492	0.00856183	0.14875	0.101878	0.274371	0.212252	0.251418
o	8.83886e-05	0.000887642	0.0019159	0.0112076	0.0325729	0.146046	0.159451	0.22085	0.42698
b	6.9792e-05	0.00198714	0.00542055	0.0064604	0.00214604	0.143651	0.355133	0.316548	0.168585
ó	0.000553037	0.00997344	0.0151697	0.0516731	0.00508892	0.0844495	0.314469	0.388151	0.130472
n	8.07993e-05	0.00296308	0.0162155	0.0603346	0.0251595	0.114489	0.21639	0.301206	0.263162
d	0.000122507	0.00388926	0.00995728	0.0200045	0.0216524	0.129563	0.220272	0.301404	0.293136
a	0.000187975	0.00148816	0.00473241	0.0196393	0.0304049	0.0669759	0.0701711	0.282426	0.523974
k	0.000494097	0.00222326	0.00439025	0.00859048	0.0927534	0.139324	0.147575	0.0970957	0.507554
a	0.000715853	0.00213745	0.0119289	0.0121598	0.01974	0.0561851	0.0949051	0.2024	0.599828
á	8.69472e-05	0.000478598	0.00174017	0.00287944	0.00941373	0.0199477	0.03292	0.0900399	0.842494
</S>	0.000516448	0.00427891	0.00917241	0.00764371	0.0226907	0.101734	0.0738358	0.0389815	0.741146
