 	qui	a	étendu	son	filet	dans	ce	champ	de	chasse	</S>
o	0.748826	0.198723	0.00307236	0.0133719	0.00430802	0.0063205	0.00467773	0.0022065	0.016919	0.000880734	0.000694469
l	0.0175753	0.0656705	0.150821	0.0226782	0.603118	0.0096654	0.00531387	0.0375708	0.00532959	0.0674127	0.0148444
a	0.0155737	0.0194512	0.42393	0.0157096	0.426543	0.0112937	0.00220448	0.0440961	0.00149133	0.00895996	0.0307471
m	0.00549389	0.0431609	0.391206	0.120856	0.357835	0.037285	0.00379521	0.0111673	0.00157426	0.00811729	0.0195091
b	0.0151275	0.0391526	0.198478	0.359972	0.176038	0.127583	0.0261958	0.0055473	0.00366506	0.00160753	0.046633
i	0.0660124	0.0356291	0.0508236	0.250547	0.279388	0.159426	0.0750702	0.0148669	0.0129331	0.00571909	0.0495855
o	0.0186253	0.0086001	0.00241751	0.129166	0.0240843	0.495718	0.21395	0.0563412	0.0250418	0.00381076	0.0222459
k	0.00077971	0.00249629	0.000935188	0.00693524	0.171518	0.258303	0.142984	0.342912	0.0126828	0.0534977	0.00695701
i	0.000282522	0.000130981	0.000101214	0.00101849	0.47532	0.0272389	0.0189476	0.329074	0.00680881	0.132683	0.00839445
a	0.00015331	0.000114488	0.000223359	0.00530173	0.3923	0.167789	0.0720787	0.299417	0.00874412	0.0469572	0.00692137
s	0.000606988	0.000445253	0.000229195	0.0129258	0.00896059	0.381201	0.470624	0.0331581	0.0789371	0.00551205	0.00739963
á	0.000858475	0.000483027	0.00119263	0.00288192	0.0151327	0.119225	0.181304	0.151273	0.090793	0.0844196	0.352436
l	0.00374135	0.000731252	0.00118294	0.00521773	0.00185277	0.0502783	0.201886	0.308984	0.335434	0.064214	0.0264784
a	0.00184932	0.000997253	0.0017247	0.00104651	0.00138451	0.0186006	0.0849507	0.0924618	0.164484	0.0831571	0.549343
á	0.00304707	0.000927922	0.0013063	0.00694346	0.00275456	0.0495776	0.12991	0.203478	0.326602	0.155008	0.120444
d	0.00113696	0.0013673	0.00262193	0.00758883	0.00179129	0.0231456	0.068012	0.0375122	0.440644	0.208098	0.208082
í	0.000364278	0.000179319	0.000399759	0.000494445	0.0005327	0.0123535	0.0417568	0.0277998	0.132676	0.0592515	0.724192
n	0.000716845	0.000251234	0.000171299	0.0078484	0.000628618	0.0336112	0.0750344	0.0424256	0.474752	0.174003	0.190558
d	0.000279376	9.51043e-05	0.000341911	0.000276979	0.000101992	0.0112203	0.0871551	0.17131	0.220794	0.0731307	0.435295
a	0.000137808	3.17566e-05	0.000222365	0.000133631	0.000202786	0.00253502	0.0191122	0.298749	0.119776	0.187325	0.371775
</S>	2.21567e-05	6.84933e-06	9.71836e-05	7.04885e-05	0.000393321	0.00287243	0.00993346	0.0875608	0.0378307	0.278285	0.582928
