 	ma	mère	est	partie	là-bas	</S>
n	0.361128	0.633977	0.00381465	0.000442526	0.000584772	5.35413e-05
g	0.213553	0.783241	0.00199478	0.00050147	0.000122239	0.000587416
ó	0.0364818	0.960392	0.00163157	0.00109972	0.000309716	8.56534e-05
o	0.0297201	0.96882	0.000328482	0.000742399	0.000208519	0.000180697
y	0.888085	0.0255939	0.0668661	0.0135851	0.00293007	0.00293964
a	0.936794	0.0105432	0.0262045	0.0200117	0.00391539	0.00253103
n	0.973097	0.00186576	0.0100596	0.0121297	0.0018515	0.000996389
g	0.963579	0.019528	0.00641464	0.00620652	0.00209468	0.00217668
á	0.2226	0.204178	0.216224	0.213737	0.0209095	0.122351
á	0.0888876	0.00573394	0.569599	0.252998	0.0568647	0.0259164
d	0.00207957	0.000533375	0.152846	0.531006	0.229968	0.0835671
z	0.00162515	1.00743e-05	0.0966908	0.364432	0.0945936	0.442648
w	0.0826552	0.000333887	0.181493	0.612393	0.0549951	0.0681297
e	0.111067	8.55832e-05	0.17407	0.370081	0.155382	0.189314
p	0.0164174	0.000233411	0.131388	0.21395	0.289499	0.348513
é	0.00190024	0.000115445	0.0544081	0.235409	0.482599	0.225569
</S>	0.000622389	1.56141e-05	0.0337755	0.212335	0.256594	0.496657
