 	ces	ignames-là	sont	grosses	</S>
i	0.544265	0.434663	0.0176477	0.00170575	0.00171829
d	0.0197411	0.969864	0.00959717	0.000325186	0.00047233
z	0.0194109	0.977668	0.000871879	0.000506432	0.00154235
á	0.050348	0.92359	0.0121872	0.00847007	0.00540445
á	0.0762776	0.666995	0.0597012	0.0158364	0.181189
g	0.17512	0.311659	0.436693	0.0130082	0.0635198
h	0.191163	0.0718553	0.108829	0.175663	0.45249
á	0.24685	0.275471	0.051481	0.131097	0.295101
b	0.158747	0.193345	0.398924	0.101551	0.147433
í	0.453955	0.0904592	0.0527026	0.256881	0.146002
i	0.0862678	0.144118	0.117221	0.473479	0.178913
í	0.00894089	0.0160696	0.151045	0.347135	0.476809
d	0.0224497	0.0290065	0.220105	0.557116	0.171322
í	0.00440776	0.058785	0.0767249	0.584183	0.275899
i	0.0165524	0.0109131	0.110186	0.268892	0.593457
n	0.0442255	0.0469721	0.041392	0.491424	0.375986
έ	0.0201709	0.0369419	0.0317523	0.597703	0.313432
ε	0.00651399	0.0104723	0.11258	0.317386	0.553047
n	0.0639534	0.0703108	0.123287	0.567377	0.175072
έ	0.0274342	0.0412954	0.051172	0.298679	0.58142
</S>	0.00383628	0.00447462	0.0463865	0.203925	0.741377
