 	la	nourriture	en	question	est	déjà	pourrie	</S>
b	0.629494	0.31696	0.0479119	0.00341209	0.00110541	0.00056474	0.000316564	0.000235803
e	0.290537	0.566276	0.0591728	0.0159976	0.00407994	0.00413249	0.0565028	0.003301
a	0.0333565	0.782069	0.124676	0.0285127	0.00949034	0.00575178	0.0136009	0.00254289
b	0.346239	0.20308	0.28351	0.0450128	0.0318288	0.0174656	0.00644824	0.0664147
í	0.0248559	0.0695745	0.565626	0.133522	0.0917948	0.0116035	0.0142722	0.0887518
a	0.0259772	0.172352	0.358854	0.197619	0.0336973	0.0206145	0.00493872	0.185948
m	0.0041778	0.00339189	0.212945	0.211481	0.137486	0.306486	0.00311665	0.120916
έ	0.0302918	0.0154374	0.215059	0.481911	0.160345	0.0722942	0.00495447	0.0197068
n	0.00584388	0.00809876	0.141095	0.432498	0.231084	0.1275	0.00512086	0.0487588
έ	0.0593688	0.0195894	0.309715	0.44801	0.0850321	0.0187163	0.00455856	0.0550099
í	0.012896	0.010909	0.366394	0.356317	0.185338	0.0529453	0.00254485	0.0126559
m	0.00439358	0.00249145	0.0525611	0.194898	0.318362	0.411193	0.00338143	0.0127195
i	0.0158037	0.0102812	0.0546606	0.410306	0.128903	0.313994	0.0246856	0.0413658
s	0.00256421	0.000340459	0.0150142	0.0571102	0.142899	0.665114	0.046811	0.0701467
á	0.000541143	7.95872e-05	0.00351535	0.0425721	0.100984	0.683277	0.0163017	0.152729
á	0.00484194	0.00261795	0.0418272	0.360152	0.246256	0.139288	0.0249807	0.180036
o	0.00608254	0.00554257	0.0441713	0.219832	0.204833	0.244058	0.164608	0.110873
b	0.00553798	0.00165585	0.00333609	0.0106733	0.0627696	0.411008	0.350385	0.154635
ω	0.00594197	0.00749252	0.0159986	0.00447162	0.0898491	0.0883461	0.725781	0.0621187
ω	0.000232796	0.000154098	0.00216131	0.00146523	0.0268356	0.0164652	0.716319	0.236367
</S>	0.00836931	0.00286802	0.0254796	0.0335032	0.0511401	0.027834	0.225575	0.62523
