 	c'	est	l'	ancien	président	qui	nous	a	fait	écrire	des	tracts	</S>
o	0.210299	0.187105	0.0835212	0.0663145	0.313651	0.0695337	0.0142017	0.0248628	0.0145133	0.00426678	0.00796819	0.00335806	0.000405337
k	0.0266824	0.161619	0.0685576	0.0239706	0.281957	0.0150596	0.027029	0.0685242	0.0844517	0.136955	0.00846954	0.0847513	0.0119732
y	0.00612225	0.0400746	0.0441833	0.0507227	0.291638	0.0240269	0.0196573	0.0284255	0.0775941	0.282895	0.0116294	0.109735	0.0132965
έ	0.00320977	0.0304942	0.0352486	0.0565246	0.262474	0.0298143	0.032002	0.044205	0.0733583	0.412218	0.00821996	0.00823063	0.00400069
m	0.0322442	0.0599913	0.0655534	0.213084	0.256083	0.136708	0.0244795	0.0309638	0.031726	0.0362696	0.0215101	0.013226	0.0781617
b	0.0340975	0.0324108	0.0545508	0.205276	0.0668221	0.0476436	0.0142321	0.0595616	0.0523872	0.0448219	0.055513	0.00190474	0.330779
i	0.106243	0.0971893	0.0888402	0.137552	0.0559257	0.0824478	0.077479	0.0739011	0.0707875	0.0364972	0.0646445	0.00186065	0.106633
s	0.085426	0.0717595	0.108873	0.0864249	0.0261647	0.203653	0.102105	0.154041	0.0579685	0.0236502	0.0570716	0.000640167	0.0222223
i	0.0474087	0.0445892	0.128194	0.194876	0.0542061	0.128716	0.0446324	0.0704926	0.04243	0.0990247	0.0464813	0.00104119	0.0979083
b	0.0360953	0.0169745	0.0767645	0.271499	0.0359797	0.28293	0.103581	0.0909257	0.0321832	0.0136953	0.0252143	0.000241041	0.0139166
í	0.00150524	0.00568282	0.00803258	0.141581	0.00344657	0.0659118	0.64868	0.0574131	0.0511915	0.00916986	0.00571964	7.57178e-05	0.00158941
s	0.0045991	0.00865997	0.0158777	0.459542	0.00523413	0.113049	0.355926	0.0217217	0.00993307	0.00147274	0.00290769	3.02585e-05	0.0010473
í	0.00205789	0.00249344	0.0125734	0.336311	0.0124538	0.230109	0.148664	0.102889	0.0816671	0.0421799	0.0158426	6.30183e-05	0.0126956
k	0.000685754	0.00324264	0.0278541	0.0814268	0.0375279	0.175494	0.122747	0.256916	0.175014	0.0550388	0.0521411	0.000524376	0.0113872
á	0.00243948	0.0126922	0.0327378	0.0572425	0.00867695	0.0578207	0.214648	0.159745	0.257607	0.122513	0.0552376	0.000569634	0.0180708
s	0.00240835	0.00414424	0.026531	0.23001	0.0168015	0.156584	0.114289	0.176925	0.0994364	0.0256548	0.10744	0.00308312	0.0366924
i	0.00152804	0.00250077	0.0136565	0.081532	0.00444701	0.0912132	0.100651	0.113522	0.189761	0.293818	0.055125	0.00072335	0.0515229
y	0.00160268	0.00221416	0.0246072	0.0733062	0.0116136	0.129062	0.0361563	0.157696	0.140145	0.104944	0.287909	0.00249388	0.0282505
á	0.0152079	0.00867864	0.0358267	0.0978533	0.0117208	0.106808	0.0197664	0.117272	0.104463	0.330267	0.117163	0.0130507	0.0219224
m	0.00281172	0.00315014	0.0202585	0.216817	0.00979002	0.109281	0.018571	0.118253	0.107569	0.0981391	0.262101	0.0189735	0.0142857
b	0.00427241	0.00260045	0.00850938	0.0794671	0.00736149	0.0526247	0.0230013	0.134008	0.137499	0.184131	0.163138	0.0387955	0.164593
é	0.000152013	0.000485286	0.00735417	0.0289309	0.00779058	0.0116391	0.0156898	0.0361552	0.0871579	0.570337	0.0665018	0.090756	0.0770505
m	0.000929739	0.00701088	0.0350523	0.121172	0.00780082	0.0237613	0.0184903	0.092854	0.176235	0.221935	0.16896	0.0277446	0.0980532
b	0.0112253	0.0047586	0.00680761	0.0392128	0.00739669	0.0772186	0.033801	0.0794397	0.0817848	0.192492	0.238226	0.00658131	0.221055
é	0.00468599	0.00581091	0.0184407	0.0439305	0.0067413	0.02675	0.0307335	0.058133	0.0779631	0.446625	0.0519491	0.00833435	0.219902
á	0.000842609	0.00165397	0.014167	0.0160535	0.00749032	0.0426958	0.0083481	0.120996	0.0990799	0.0621321	0.376021	0.0211023	0.229417
d	0.0018454	0.0037737	0.0129829	0.00300335	0.00136624	0.00476167	0.00359596	0.0405705	0.0717375	0.0385295	0.227722	0.0344059	0.555705
z	0.000390401	0.00122073	0.00489087	0.00253912	0.000192298	0.00148489	0.00105028	0.0143605	0.0350755	0.0163375	0.0713224	0.0052784	0.845857
e	0.00230438	0.00287574	0.0186131	0.0391725	0.0025761	0.0108793	0.00118151	0.0559219	0.0797632	0.113058	0.14161	0.057645	0.4744
o	0.00130775	0.00273805	0.0335982	0.0609513	0.00482396	0.0354195	0.00986968	0.0497158	0.0989685	0.0701936	0.235071	0.0479358	0.349407
k	0.000314634	0.00330608	0.0221245	0.0144778	0.00306511	0.00219503	0.0032017	0.0111952	0.0389746	0.0646859	0.0271103	0.376497	0.432853
o	1.96148e-05	0.00015912	0.00159162	0.000753041	0.00344893	0.000334427	0.000364365	0.00121388	0.00686489	0.00612421	0.00205392	0.912077	0.064995
n	3.17376e-05	0.000165252	0.00122637	0.00460794	0.0164971	0.00120363	0.000534511	0.00332452	0.0115984	0.0298806	0.00462504	0.904272	0.022033
d	0.000181731	0.000377493	0.00141666	0.00115225	0.00348758	0.000347226	8.11879e-05	0.00137282	0.00329806	0.0110455	0.00252058	0.899472	0.0752465
z	0.0011019	0.00186244	0.00770999	0.0134335	0.0144836	0.00756984	0.00289255	0.0171343	0.0265095	0.0466188	0.0267295	0.651462	0.182492
i	0.000887504	0.0011318	0.00410023	0.0158187	0.0217814	0.00864067	0.0061793	0.0107953	0.0134309	0.0154231	0.0152244	0.83374	0.0528467
y	0.00256965	0.00615085	0.0459739	0.0308001	0.014873	0.0258819	0.00561745	0.039924	0.0376971	0.0481309	0.100037	0.0338896	0.608455
a	0.0119085	0.0622013	0.247227	0.187005	0.0144624	0.032099	0.00267032	0.0241355	0.0369946	0.0582334	0.0574	0.0319376	0.233725
k	0.00619246	0.0130797	0.0631519	0.361357	0.0191512	0.13883	0.0166196	0.0503903	0.0670268	0.0411351	0.0674281	0.030948	0.124691
a	0.00120216	0.00771081	0.0168511	0.134028	0.0321287	0.0539916	0.081616	0.0330354	0.0588745	0.0324742	0.041791	0.320736	0.18556
l	0.000353101	0.00431747	0.0114146	0.0435949	0.00637768	0.00629114	0.00433526	0.0110371	0.0183243	0.0203279	0.0243166	0.192036	0.657274
a	0.000665555	0.00349931	0.0266483	0.0440698	0.0287692	0.0136013	0.0062169	0.0119243	0.0309938	0.0651278	0.0433222	0.215778	0.509384
</S>	0.00242017	0.00488715	0.0450453	0.0587669	0.023979	0.0332449	0.00961693	0.0360289	0.0325648	0.0267436	0.116849	0.0152262	0.594627
