 	cette	feuille	de	morelle	est	fletri	</S>
l	0.21346	0.590424	0.143177	0.0434829	0.0077609	0.00112976	0.000565826
e	0.457939	0.38038	0.0997594	0.0411161	0.0109425	6.72383e-05	0.00979491
n	0.46199	0.202967	0.141761	0.1149	0.0141522	0.000149948	0.0640808
d	0.545447	0.112087	0.0809819	0.210225	0.0152548	0.000187715	0.0358166
w	0.458739	0.0492526	0.0551647	0.406998	0.00559445	5.73893e-05	0.0241942
e	0.516345	0.0155842	0.0332945	0.397207	0.00251972	0.000132781	0.0349177
l	0.130467	0.090248	0.310483	0.131739	0.0552938	0.000654546	0.281115
é	0.303664	0.0759509	0.319015	0.178474	0.0447536	0.000277222	0.0778642
d	0.061954	0.0546476	0.38203	0.0325251	0.403667	0.0208484	0.0443281
í	0.206545	0.0441797	0.346937	0.226893	0.0501142	0.000137708	0.125194
í	0.00827189	0.0156366	0.195579	0.0278337	0.549764	0.0215704	0.181345
m	0.0134057	0.0113489	0.0982354	0.0380201	0.613874	0.0797233	0.145392
i	0.045332	0.0249231	0.113769	0.0564024	0.298729	0.0453717	0.415473
b	0.0153799	0.0125911	0.0121408	0.0925054	0.10467	0.485066	0.277646
ώ	0.000520972	0.00608689	0.000621065	0.00228449	0.00182022	0.96167	0.0269967
b	0.00220455	0.00962674	0.013834	0.0235134	0.0346975	0.774389	0.141735
h	0.0198511	0.0298616	0.0661588	0.0652836	0.0286559	0.730714	0.0594753
ω	0.00614984	0.0103008	0.0220115	0.0401253	0.0195105	0.881585	0.0203169
ω	0.0327647	0.00578343	0.0292169	0.0194174	0.124006	0.14802	0.640792
</S>	0.0665965	0.0493341	0.0929554	0.0220502	0.32849	0.0360174	0.404556
