 	l'	enfant	a	capturé	un	silure	avec	son	hameçon	</S>
m	0.865601	0.129053	0.000804703	7.02466e-05	0.00145759	0.000910373	0.000908873	0.000899904	0.00016666	0.00012759
w	0.0110102	0.962029	0.0185606	0.000314723	0.00397964	0.00088651	0.000787278	0.00185532	3.60529e-05	0.000540453
á	0.00561415	0.994135	6.97554e-05	1.9556e-05	0.000116589	2.83589e-05	9.37553e-06	5.25962e-06	8.95862e-07	1.15522e-06
n	0.344146	0.647958	0.00158648	0.000100169	0.00114949	0.000106808	0.00056772	0.000721369	3.46162e-05	0.0036298
a	0.151892	0.74803	0.0382301	0.00192434	0.0204669	0.00174792	0.00459442	0.0096659	0.00123336	0.0222146
á	0.66329	0.0878877	0.177077	0.023492	0.011822	0.00129295	0.00553588	0.0196086	0.000402832	0.00959038
y	0.00820297	0.00265572	0.315671	0.653288	0.00547273	0.000788386	0.00192408	0.00451992	0.000289771	0.00718819
u	0.00486086	0.000294607	0.0175164	0.966076	0.00220994	0.00523546	0.000242614	0.000453121	0.000120669	0.00299074
b	0.0420209	0.000427197	0.0128859	0.885926	0.0536373	0.00123533	0.000813863	0.00153767	4.74226e-05	0.00146815
h	0.0432392	0.00270367	0.126262	0.592535	0.183106	0.0197862	0.0171229	0.0102489	0.001817	0.00317846
u	0.0157168	0.000206048	0.0422805	0.710748	0.173342	0.0114121	0.0231865	0.0135116	0.00085768	0.00873891
s	0.00584476	0.000403408	0.0494836	0.0299452	0.727224	0.0747217	0.068059	0.0309036	0.00572214	0.00769288
u	0.0169135	0.000324034	0.00349239	0.272649	0.501291	0.104851	0.0675034	0.0238557	0.00165404	0.00746601
n	0.0268463	0.000598449	0.0101143	0.0286149	0.325783	0.22139	0.302279	0.0576195	0.0154179	0.0113365
g	0.00913119	0.00305432	0.00364581	0.00301052	0.337845	0.454602	0.124284	0.0456838	0.0065396	0.0122041
ω	0.00200557	0.00191649	0.00188354	0.000874333	0.0387569	0.881396	0.0431145	0.00758127	0.0207091	0.00176239
l	0.00031821	0.000136722	0.00165612	0.0010676	0.0205711	0.862179	0.0506312	0.010599	0.0421724	0.0106685
ω	0.000569766	0.000345561	0.00447041	0.00342916	0.0486068	0.464598	0.272452	0.0323934	0.124756	0.0483793
m	0.00258377	6.16522e-05	0.00524364	0.00163396	0.0500163	0.0247426	0.47808	0.317719	0.084364	0.0355559
í	0.00076835	0.000257425	0.00179199	0.000294373	0.0344908	0.000295193	0.137437	0.651544	0.00384445	0.169277
l	0.0033051	0.000323168	0.00372728	0.00112408	0.030982	0.0053093	0.154167	0.201826	0.528831	0.0704057
ώ	0.000394532	3.32645e-05	0.00345839	0.00560621	0.00835671	0.00205055	0.0345518	0.0698618	0.830297	0.0453893
b	4.87289e-05	1.60321e-05	0.000432663	0.00166631	0.00541702	0.0155359	0.0126473	0.0203224	0.921342	0.0225719
h	0.000395867	1.97217e-05	0.000709113	0.00333511	0.0201405	0.0143505	0.0728698	0.122234	0.436465	0.329481
ω	0.000243873	1.51057e-05	0.000101268	0.000463024	0.0186565	0.0607756	0.0842882	0.0277279	0.675824	0.131904
</S>	0.000554206	1.31206e-05	0.000333015	0.000339482	0.00961898	0.00364873	0.0976974	0.210334	0.0782861	0.599175
