 	nous	allons	rentrer	à	la	maison	</S>
b	0.513345	0.373419	0.0438779	0.0176474	0.0489861	0.00255579	0.000169177
í	0.711618	0.134452	0.0655375	0.021675	0.0584289	0.00559509	0.00269416
s	0.966666	0.0188791	0.00498324	0.00190919	0.00267317	0.0028788	0.00201061
í	0.61389	0.157245	0.00351088	0.00728558	0.0621195	0.0788127	0.0771369
l	0.225115	0.457968	0.0618686	0.0400002	0.0331548	0.0343717	0.147522
é	0.0261572	0.214425	0.0257072	0.0753106	0.0235129	0.0197853	0.615102
e	0.035299	0.83976	0.0334219	0.0256098	0.0144781	0.0113609	0.0400706
k	0.00789077	0.457504	0.40101	0.0879423	0.00495122	0.00201246	0.0386891
a	0.0015319	0.0698644	0.835572	0.0798544	0.00196724	0.000204767	0.0110055
l	0.000743195	0.0595341	0.798214	0.116352	0.00624334	0.000954644	0.0179585
á	0.00653091	0.0569397	0.514251	0.272755	0.100051	0.0150375	0.0344342
á	0.0345005	0.0801789	0.105026	0.365622	0.333255	0.0479831	0.0334348
n	0.0138514	0.0199015	0.0342229	0.372442	0.369398	0.169897	0.0202867
d	0.0230388	0.0243883	0.00215664	0.0373846	0.237305	0.636203	0.0395239
é	0.00141407	0.00285081	0.00157188	0.0158201	0.0568064	0.914462	0.00707446
e	0.000898186	0.025778	0.0109889	0.0686285	0.218824	0.508356	0.166526
</S>	0.000802204	0.0109414	0.0294168	0.202978	0.219919	0.10119	0.434753
