 	cet	enfant	est	en	train	d'	apprendre	à	fabriquer	la	nasse	</S>
m	0.844906	0.140317	0.00226097	0.00103375	0.00777126	0.00126815	2.812e-05	0.000416831	0.00134253	0.00047081	0.000145066	3.98497e-05
w	0.198094	0.797943	0.00156512	0.00131009	0.000123635	0.000110092	1.15689e-05	0.000212902	0.000266262	0.000291464	1.19402e-05	5.9824e-05
á	0.00902455	0.990296	0.000102188	0.000113941	0.000338437	4.45913e-05	3.29077e-06	1.73765e-05	2.66966e-05	8.2437e-06	1.989e-05	4.49728e-06
n	0.38526	0.595235	0.00327323	0.00573986	0.00820539	0.00186169	6.53906e-06	3.57766e-05	3.89683e-05	2.74733e-05	3.31196e-06	0.000311919
a	0.316067	0.470876	0.061311	0.0470845	0.015873	0.0325742	0.0197639	0.00704439	0.00289129	0.00149129	0.000396235	0.0246271
y	0.752209	0.161298	0.0259231	0.0116841	0.0139214	0.0197473	0.00116948	0.0028245	0.00199068	0.00240123	0.000825048	0.00600566
é	0.197966	0.0987133	0.296133	0.0834685	0.00831757	0.133958	0.10057	0.0224723	0.00476131	0.0103665	0.0112601	0.0320137
a	0.0809031	0.0285158	0.446978	0.189555	0.025748	0.165371	0.0170233	0.00526648	0.00185234	0.00854954	0.00214566	0.028092
w	0.0129956	0.0192997	0.204562	0.166447	0.00795136	0.100099	0.332743	0.0714974	0.0258438	0.0152902	0.00350773	0.0397628
á	0.00771732	0.00650902	0.103485	0.0691907	0.0023354	0.0332087	0.4453	0.211467	0.0640752	0.0202836	0.00392754	0.0325008
b	0.0191266	0.00365412	0.225237	0.147929	0.0528418	0.17176	0.25013	0.0237436	0.0117095	0.0130877	0.00513976	0.0756403
á	0.0236745	0.00266922	0.0589478	0.225787	0.0501376	0.417121	0.0322042	0.0350237	0.0321189	0.0467622	0.0100106	0.0655427
l	0.0090498	0.00398253	0.117128	0.181057	0.0260089	0.412484	0.123485	0.0602187	0.0236646	0.0215702	0.00519696	0.0161544
á	0.00478725	0.00105552	0.057367	0.0522188	0.000743152	0.104857	0.512668	0.100774	0.0248174	0.0294547	0.00412782	0.107129
a	0.00923168	0.00217321	0.0348137	0.0283157	0.00208699	0.170716	0.250086	0.273417	0.0964619	0.0436156	0.0170997	0.071983
y	0.000493873	0.000875496	0.0036002	0.00120408	6.28506e-05	0.00848762	0.893441	0.0798174	0.00931689	0.00088006	0.000399936	0.00142032
é	0.00331633	0.000142667	0.00298064	0.00105101	9.83596e-07	0.00100459	0.888826	0.093745	0.00393842	0.00167674	0.000511286	0.0028064
á	0.0318694	0.00027235	0.0174104	0.0098486	5.04069e-05	0.021275	0.598611	0.218419	0.0160085	0.0154057	0.00489296	0.0659369
i	0.000775389	4.55374e-05	0.00535925	0.00767755	0.000220264	0.0145357	0.13385	0.485864	0.124777	0.168124	0.0146143	0.0441577
t	0.000299354	0.000337328	0.000717597	0.000770088	5.95438e-05	0.000640857	0.00875506	0.222676	0.560352	0.0746043	0.0902647	0.040523
á	0.00012276	0.000155848	0.00105299	0.000858731	0.000112835	0.000845101	0.00753978	0.107048	0.702341	0.0400502	0.115223	0.0246496
n	0.00117762	0.000347155	0.00824416	0.0123518	0.00177907	0.0136059	0.156119	0.215133	0.307624	0.0798065	0.0602874	0.143524
g	0.000395577	0.000142654	0.00226184	0.00258573	4.34152e-05	0.00291204	0.00787308	0.210458	0.591433	0.0701618	0.0383088	0.0734236
a	0.023593	0.00600392	0.014697	0.0498741	0.00758224	0.0158187	0.00497109	0.146606	0.308797	0.13658	0.185482	0.0999948
l	0.000199286	1.29529e-05	0.00284599	0.00359213	2.99728e-05	0.00344214	0.0014213	0.0643476	0.117297	0.499504	0.129137	0.17817
ώ	0.0017888	2.69884e-05	0.00482699	0.00450859	1.6477e-05	0.00130979	0.00735481	0.0633156	0.0927294	0.238467	0.145215	0.440441
k	0.000410231	9.82649e-06	0.000765914	0.00063133	6.29011e-05	0.00100383	0.00151799	0.0168458	0.0409603	0.135248	0.692657	0.109887
ω	2.61309e-05	3.59099e-06	0.000270099	0.000392433	3.6014e-05	7.93275e-05	0.000111453	0.00389258	0.0820559	0.0321852	0.83481	0.0461369
n	2.4145e-05	4.99149e-06	4.78364e-05	0.000269089	0.000255555	7.0702e-05	0.000137342	0.00581775	0.0799368	0.0263094	0.854356	0.0327699
y	3.06411e-05	2.56985e-05	0.000436126	0.000509128	1.05593e-05	0.0001816	0.000198471	0.0171996	0.285699	0.103362	0.479759	0.112588
i	0.0124949	0.00062052	0.0103937	0.00792943	0.000233718	0.00238825	0.00257786	0.0374483	0.158035	0.134045	0.388177	0.245658
</S>	0.000861845	2.4301e-05	0.00281966	0.00313968	4.11063e-05	0.00173003	0.000156745	0.0228808	0.107853	0.188958	0.126225	0.54531
