 	il	a	des	gestes	brusques	</S>
w	0.680271	0.189443	0.10583	0.0218403	0.00172481	0.000890664
a	0.787622	0.140816	0.0497606	0.0181123	0.00338026	0.000309203
a	0.0494107	0.456535	0.327364	0.134683	0.00493561	0.0270708
d	0.0376153	0.290766	0.333144	0.179024	0.0882342	0.0712164
í	0.0483139	0.319824	0.212532	0.136044	0.0738978	0.209388
o	0.00585813	0.030558	0.0865095	0.19211	0.0410638	0.6439
t	0.00181165	0.0301012	0.0515312	0.197544	0.587557	0.131455
s	0.000231282	0.00437697	0.00690972	0.0321969	0.920622	0.0356629
a	0.012921	0.0708243	0.127508	0.180157	0.519397	0.0891932
</S>	0.0025374	0.0158255	0.0468228	0.0693719	0.0584558	0.806987
