 	le	dépécage	d'	un	éléphant	était	un	grand	événement	à	mbonga	</S>
i	0.518171	0.39847	0.0510705	0.00579009	0.00667369	0.00248506	0.00194302	0.00642899	0.00143213	0.00713057	0.000356242	4.88317e-05
k	0.0778019	0.875515	0.0105509	0.0031233	0.00350064	0.00750835	0.00624577	0.00425417	0.00680665	0.000977906	0.00156781	0.00214727
y	0.026628	0.912008	0.0178219	0.00683549	0.0096901	0.00238	0.00703041	0.00652361	0.00589001	0.00113661	0.00211622	0.00193939
έ	0.0381103	0.929191	0.0143454	0.003661	0.00391202	0.000589354	0.00182555	0.00301187	0.00121283	0.00257511	0.000830316	0.000735235
s	0.0637038	0.782918	0.0633786	0.0116648	0.0110214	0.00148256	0.00648015	0.00821566	0.00578229	0.0141283	0.00166594	0.0295583
e	0.140984	0.61649	0.0639231	0.0184086	0.0218413	0.0139205	0.0190265	0.0130801	0.0202807	0.0224129	0.00126751	0.0483642
l	0.137676	0.0393524	0.53528	0.141892	0.038925	0.0234638	0.0114359	0.0083631	0.0161988	0.0170425	0.00153345	0.0288379
á	0.165709	0.0192014	0.172059	0.149992	0.142916	0.0663601	0.0309507	0.0151126	0.0255735	0.0387577	0.0021086	0.171259
n	0.268542	0.0194148	0.192501	0.163442	0.192919	0.0329058	0.0121922	0.00977969	0.00900817	0.0396061	0.0142806	0.0454084
d	0.0182296	0.00543369	0.0745586	0.186336	0.622574	0.0538676	0.00675044	0.00492573	0.00377504	0.0133743	0.00328401	0.00689135
z	0.00160197	0.00226252	0.0179678	0.171645	0.735277	0.0463531	0.00531591	0.00253255	0.00176832	0.0026715	0.00486401	0.00774064
ω	0.00699453	0.0188232	0.0316056	0.161774	0.526461	0.122412	0.0176237	0.0136306	0.00635397	0.0052267	0.0609077	0.0281879
i	0.0123727	0.120593	0.0645727	0.0657372	0.468079	0.0121438	0.0493018	0.0818698	0.0178786	0.0380312	0.0331475	0.0362725
á	0.0320655	0.00842563	0.2855	0.270126	0.156404	0.130281	0.0480226	0.0247357	0.0146775	0.0166556	0.000780561	0.0123258
d	0.0123848	0.00591458	0.0319346	0.0894689	0.0349664	0.32814	0.370454	0.0611035	0.0318537	0.00842298	0.00207419	0.023282
z	0.00282254	0.000350318	0.00848366	0.0676723	0.0185976	0.43823	0.228172	0.0352301	0.0664988	0.00783363	0.00102481	0.125085
á	0.00321832	0.000403935	0.0122258	0.103684	0.0423675	0.636505	0.127876	0.0324616	0.0225183	0.00398254	0.00500687	0.00974938
o	0.00182833	0.000431058	0.028818	0.0763097	0.0498209	0.111073	0.265382	0.128317	0.140378	0.143202	0.00175747	0.0526825
k	0.00195573	0.00422077	0.00190734	0.00836491	0.0107707	0.0448048	0.477391	0.24486	0.18155	0.00422357	0.0130162	0.00693493
u	0.000179006	0.00354705	0.000963725	0.00257388	0.00346869	0.00448871	0.348065	0.290048	0.313119	0.00395612	0.00922345	0.0203679
m	0.0211281	0.0146971	0.0061068	0.015249	0.0230767	0.0125621	0.281797	0.447902	0.150409	0.0104402	0.00394237	0.01269
a	0.0271543	0.0040843	0.0302049	0.0744629	0.0984471	0.0308817	0.134756	0.259685	0.0905708	0.209613	0.0127982	0.0273418
m	0.000496539	0.000247262	0.00237387	0.00561625	0.00446661	0.0170555	0.0949991	0.231428	0.353516	0.21802	0.00517592	0.0666053
b	0.00289651	0.000738528	0.00869292	0.00409498	0.00185223	0.00469511	0.0318437	0.0973058	0.107746	0.153173	0.240646	0.346315
o	0.00180857	0.000690895	0.00264267	0.00838289	0.0117418	0.00285644	0.0635784	0.268981	0.13848	0.14368	0.23949	0.117667
l	0.00119245	0.00162424	0.00397343	0.00456383	0.00603957	0.00464677	0.0451713	0.184213	0.224989	0.081211	0.318125	0.12425
o	0.00124546	0.00468395	0.00534717	0.00925032	0.0124651	0.00950328	0.126814	0.207046	0.27887	0.0811346	0.0821643	0.181475
s	0.00075009	0.000375161	0.00133987	0.00164816	0.00123264	0.00124871	0.0131295	0.08185	0.246194	0.220416	0.155139	0.276678
á	0.00311988	0.00665318	0.00889565	0.0245765	0.00507635	0.00910227	0.0994038	0.093357	0.251361	0.22047	0.129307	0.148678
m	0.00454106	0.00236465	0.00554711	0.00897799	0.00288551	0.00699416	0.00663031	0.01398	0.0354135	0.542956	0.272738	0.096972
b	0.000113741	3.94414e-05	0.00146667	0.000927138	9.63344e-05	0.000415274	0.00142933	0.00506231	0.0141599	0.0275984	0.879522	0.0691692
o	0.000596973	0.000115349	0.000455221	0.0006791	0.000596974	0.000252353	0.0036611	0.0161408	0.0170702	0.00826106	0.903332	0.0488387
n	0.000555234	0.000297242	0.00037992	0.00088229	0.000136302	0.000708177	0.00831101	0.0264924	0.0240512	0.0026005	0.826793	0.108793
g	0.00375977	0.00518509	0.00431839	0.00471838	0.00820413	0.00253827	0.0192342	0.142021	0.0735983	0.052432	0.539111	0.14488
a	0.00106609	0.00236625	0.00299551	0.00430891	0.0382283	0.00220121	0.0202802	0.103238	0.0550001	0.0682555	0.591894	0.110166
</S>	0.00335262	0.00224456	0.00864731	0.00637356	0.00408908	0.0031481	0.0141062	0.0298976	0.0708392	0.298627	0.0495964	0.509078
