 	il	y	a	de	vieilles	pirogues	sur	le	débarcadère	d'	akoo-	akoo	</S>
o	0.21784	0.350529	0.190609	0.140844	0.0446144	0.00587144	0.0153952	0.00408896	0.0228348	0.00543968	0.00104143	0.000542467	0.000350184
t	0.0294388	0.0753123	0.0697424	0.0695606	0.655559	0.0509614	0.00422777	0.00422706	0.0059628	0.00188559	0.00520639	0.0236096	0.00430617
s	0.00157777	0.0315694	0.00643603	0.0160452	0.872245	0.0372712	0.00142659	0.00510888	0.0198722	0.00054247	0.000937562	0.00653368	0.000434351
ε	0.0037679	0.036535	0.0256974	0.0439202	0.590769	0.276402	0.00881286	0.00591113	0.00580518	0.000682864	0.00031123	0.000915386	0.00047006
m	0.0338573	0.0751948	0.152938	0.36882	0.267742	0.0406564	0.0193687	0.00912767	0.00346657	0.00314242	0.0060296	0.00235539	0.0173004
b	0.104646	0.0499713	0.0950695	0.223511	0.0462463	0.074747	0.112933	0.093383	0.00994315	0.0290007	0.0152615	0.00437763	0.14091
i	0.0796949	0.0739418	0.0886406	0.13701	0.0205585	0.214872	0.111245	0.116408	0.0203241	0.0319277	0.0190942	0.00345684	0.0828263
s	0.0794855	0.0535716	0.158784	0.107154	0.00629579	0.0364247	0.416386	0.0901894	0.0158308	0.0156782	0.00458749	0.000712018	0.0149007
i	0.141293	0.0651651	0.253928	0.252236	0.01293	0.0747907	0.0979293	0.0455931	0.00570386	0.0174316	0.00312571	0.00282914	0.0270452
y	0.151283	0.0236947	0.311263	0.230377	0.000606432	0.0144174	0.163088	0.0576011	0.0206296	0.0139535	0.00226702	0.000585321	0.0102337
á	0.103759	0.0514448	0.31318	0.284368	0.0286449	0.0164043	0.0843068	0.0534803	0.00847735	0.0135173	0.00183291	0.00202148	0.0385631
a	0.0574575	0.0207511	0.0960359	0.102978	0.00816867	0.0198159	0.200343	0.230677	0.224279	0.0290314	0.00157043	0.00344549	0.00544742
k	0.00252095	0.00572476	0.0131612	0.0158192	0.00168468	0.0209527	0.105267	0.333604	0.379107	0.063104	0.0367576	0.0117141	0.0105824
o	0.000371927	0.00233869	0.00208743	0.00512685	0.000277139	0.00414909	0.022096	0.249299	0.609882	0.0403962	0.0452757	0.0106132	0.00808611
o	0.00031154	0.00317712	0.00567638	0.0143222	0.00256762	0.0461457	0.0352414	0.110125	0.713728	0.0334396	0.024784	0.00566125	0.00481983
a	0.00219324	0.00401436	0.0119483	0.0119749	0.000330508	0.00220593	0.221067	0.213658	0.0247096	0.408921	0.0707648	0.00415623	0.0240557
k	0.0019096	0.00668995	0.0214573	0.013239	0.00105939	0.00839559	0.104186	0.0946613	0.039576	0.293288	0.297432	0.0294505	0.0886553
o	0.000192885	0.00227178	0.00171728	0.00584361	0.00023554	0.00246025	0.00930826	0.0808625	0.171821	0.0935002	0.407046	0.15498	0.0697598
o	0.000111732	0.000999408	0.00179514	0.00516131	0.000502487	0.00351096	0.00792123	0.039685	0.305546	0.0565582	0.376578	0.16497	0.0366602
é	0.00116404	0.00138575	0.00408514	0.00539038	0.000177728	0.00042821	0.0135378	0.0153787	0.00240264	0.214897	0.39236	0.0796121	0.269181
d	0.00342156	0.0184795	0.0420924	0.03631	0.0023429	0.00826726	0.0547199	0.0233188	0.00595482	0.157575	0.288257	0.179364	0.179898
i	0.00169079	0.00828785	0.0216281	0.0205395	0.000422604	0.00161484	0.0313448	0.0179869	0.00117034	0.0833448	0.325347	0.191264	0.295358
l	0.000313279	0.000982318	0.00351794	0.00981377	0.000355316	0.000292984	0.00733104	0.00737217	0.00115043	0.0657265	0.15732	0.400616	0.345208
i	0.00100988	0.000813774	0.00241265	0.00260518	0.000295991	0.00145276	0.00646197	0.00813229	0.000178461	0.0539508	0.171627	0.271755	0.479304
p	0.000154121	0.000589985	0.00122174	0.00255911	0.000364444	0.00143886	0.00112088	0.00104596	0.00058089	0.0217828	0.103968	0.699274	0.165899
a	0.000128625	0.00179943	0.00112657	0.00284815	0.000646725	0.000671617	0.00172195	0.00618694	0.0214285	0.0158515	0.0811595	0.829921	0.0365099
l	7.04767e-05	0.000457531	0.000314595	0.000926592	0.00102177	0.000579036	0.000561855	0.00459017	0.00781565	0.0234997	0.101103	0.777327	0.0817323
a	0.000188059	0.000764525	0.000563861	0.002324	0.0010536	0.0026604	0.00193606	0.011158	0.00906194	0.0241089	0.0877766	0.729624	0.12878
</S>	0.000481022	0.00242864	0.00418059	0.0102801	0.000913064	0.0036682	0.0124134	0.0224071	0.00132001	0.056092	0.144672	0.227247	0.513897
