 	l'	enfant	efface	ce	qu'	il	a	écrit	</S>
m	0.670303	0.269636	0.00345322	0.0145204	0.0337567	0.00593971	0.00118072	0.00108622	0.00012446
w	0.0196642	0.976626	0.00140832	0.000825884	0.000442027	0.000350425	0.000266175	1.74365e-05	0.000399027
á	0.000632846	0.998907	0.00010702	0.000244424	7.84399e-05	1.98892e-05	1.76105e-06	6.22629e-06	2.22616e-06
n	0.120493	0.873162	0.000389444	0.00144017	0.00205046	0.000561123	8.53519e-05	8.13997e-05	0.00173771
a	0.130629	0.346805	0.0128473	0.0350069	0.0917762	0.0983358	0.0131109	0.00163067	0.269859
l	0.706771	0.178623	0.0235706	0.0362288	0.0220679	0.00682133	0.0107218	0.00388267	0.0113124
á	0.169068	0.0179865	0.12352	0.0813315	0.0507631	0.0718752	0.118095	0.0178107	0.34955
a	0.480326	0.058527	0.206206	0.10048	0.0486364	0.037261	0.02201	0.00522739	0.0413261
d	0.0120112	0.0216561	0.907702	0.0155548	0.00162201	0.00147204	0.00741536	0.0259016	0.00666465
í	0.0119055	0.00271336	0.945332	0.023474	0.00042377	0.000149998	0.0043673	0.00648977	0.00514464
m	0.0543954	0.0063868	0.741721	0.0700276	0.00429101	0.00245208	0.0185718	0.00905858	0.0930955
í	0.0436653	0.0389587	0.204212	0.530544	0.12304	0.0295449	0.0126886	0.000428251	0.0169181
s	0.0143341	0.0143779	0.0674128	0.309979	0.358308	0.183063	0.0267249	0.00752645	0.0182737
á	0.0117925	0.00340475	0.108706	0.574243	0.256546	0.0207875	0.00562959	0.000515574	0.0183749
a	0.00884723	0.00184777	0.0084296	0.140438	0.569792	0.257119	0.00846641	0.00132827	0.00373125
p	0.00281844	0.00465233	0.127295	0.184718	0.151997	0.24196	0.187298	0.0782087	0.0210523
i	0.00394199	0.00157045	0.186309	0.244343	0.0939856	0.117482	0.0919182	0.194122	0.0663279
r	0.00275262	0.000479891	0.073715	0.142825	0.121299	0.173163	0.108192	0.131002	0.24657
i	0.00309078	0.000814274	0.053472	0.196657	0.272057	0.14962	0.0193792	0.0831972	0.221712
m	0.00633216	0.000927872	0.0264462	0.1281	0.217122	0.312042	0.240861	0.0276427	0.0405265
á	0.0245758	0.0391904	0.0162502	0.170804	0.171636	0.127894	0.0622097	0.0246449	0.362795
á	0.00343947	0.00290436	0.0188345	0.188494	0.22027	0.318588	0.112645	0.0866734	0.0481512
k	0.00337098	0.000759246	0.0191466	0.016701	0.0102044	0.0281141	0.375624	0.40799	0.138089
y	2.92399e-05	0.00011166	0.0188239	0.0173434	0.00158314	0.00276411	0.0351396	0.894409	0.029796
έ	0.000298944	8.84319e-05	0.0228131	0.0352309	0.0114161	0.00981495	0.0308212	0.83644	0.0530766
m	0.00121791	0.000221799	0.0232171	0.113646	0.188181	0.132562	0.105097	0.279759	0.156099
b	0.00344257	0.0022249	0.00522461	0.105249	0.400355	0.159786	0.0236768	0.0403309	0.25971
í	0.0183997	0.00106476	0.00332575	0.108976	0.500606	0.116901	0.0195939	0.0712012	0.159932
w	0.00778902	0.00105606	0.00109261	0.0338956	0.273102	0.328497	0.0382156	0.0438867	0.272466
a	0.00873145	0.000491899	0.00488761	0.0571241	0.215726	0.214669	0.0673735	0.162473	0.268523
</S>	0.00471748	0.000396141	0.00163422	0.017939	0.100407	0.154234	0.0595153	0.0433049	0.617852
