 	il	se	tut	avant	sa	colère	</S>
w	0.873901	0.122321	0.000530281	0.00017077	0.00283217	0.000223944	2.10652e-05
a	0.824693	0.151575	0.000338184	0.000526018	0.0213901	0.00145314	2.50157e-05
a	0.0661815	0.715507	0.188912	0.00263268	0.0161612	0.00169299	0.00891246
s	0.0198263	0.399081	0.468552	0.0707406	0.0221507	0.00511	0.0145391
ú	0.000805122	0.0337826	0.947357	0.00983324	0.00165332	0.000210753	0.00635802
ú	0.0303325	0.0332171	0.885201	0.024734	0.0129151	0.0012538	0.0123469
p	0.010974	0.105408	0.555188	0.149053	0.0785946	0.0199765	0.080806
í	0.0737054	0.204517	0.243165	0.143245	0.104427	0.123765	0.107175
a	0.0416945	0.244236	0.251492	0.24365	0.0668009	0.0397375	0.11239
m	0.0334405	0.0415237	0.0322028	0.379253	0.398771	0.0599398	0.0548699
i	0.00591188	0.00650242	0.001363	0.0507327	0.244877	0.0578221	0.63279
í	0.00149562	0.00427386	0.00500845	0.200353	0.395792	0.306444	0.0866324
k	0.00075285	0.00919933	0.0496362	0.202751	0.335625	0.283672	0.118363
y	8.98697e-05	0.000448766	0.0015286	0.111922	0.136459	0.708715	0.0408369
έ	8.65071e-05	0.000344033	0.00566702	0.0811517	0.10975	0.74433	0.0586709
r	0.000132692	0.00109204	0.0226383	0.0815289	0.251735	0.444772	0.198102
ε	0.000169462	0.000463444	0.00394076	0.0120264	0.258501	0.55622	0.168678
y	0.00306528	0.00671316	0.00602954	0.0194417	0.283383	0.161763	0.519604
é	0.0211791	0.0280894	0.0506023	0.00600047	0.351148	0.242265	0.300716
é	0.00414704	0.00290441	0.00572176	0.0014918	0.279565	0.278477	0.427693
d	0.00282224	0.0167096	0.0547029	0.0991847	0.251248	0.361494	0.213838
z	0.00065347	0.00587493	0.13922	0.0693245	0.139854	0.0926735	0.552399
é	0.0115421	0.00939984	0.0238919	0.00825126	0.145325	0.0975024	0.704087
l	0.000215519	0.000453359	0.0171437	0.014598	0.143856	0.139484	0.684249
a	0.000595362	0.00191015	0.0101332	0.012364	0.065141	0.191933	0.717923
w	0.000945984	0.0016263	0.00117304	0.00652955	0.0523522	0.56791	0.369463
a	0.0101911	0.00457628	0.00338981	0.0212303	0.159992	0.680839	0.119781
</S>	0.000301301	0.000761224	0.00136038	0.016074	0.0681101	0.466591	0.446802
