 	on	a	annoncé	la	nouvelle	de	sa	mort	dans	le	village	</S>
á	0.715112	0.186088	0.0841411	0.00638438	0.0029284	0.00248043	0.0007764	0.000388421	0.000292832	0.00121402	9.26255e-05	0.000101343
s	0.00460026	0.121892	0.858208	0.0113573	0.00217006	0.000379085	0.000291711	0.000275012	0.000518429	0.000228355	2.30824e-05	5.61966e-05
ε	0.00362895	0.0805529	0.852719	0.0377102	0.00880295	0.00325605	0.00334428	0.00275903	0.00380093	0.000840085	1.03776e-05	0.00257554
r	0.0035387	0.0559326	0.666481	0.135456	0.0288753	0.0157663	0.01495	0.0110675	0.0209506	0.00580659	0.000132705	0.0410428
i	0.0577185	0.0562148	0.263038	0.34982	0.155613	0.0270592	0.0273253	0.00963603	0.012328	0.0191158	0.000198401	0.0219328
t	0.0393563	0.036432	0.0340807	0.661377	0.121313	0.0373712	0.0159458	0.00724956	0.00874864	0.00814867	0.00118382	0.0287932
s	0.0149619	0.0232559	0.0425637	0.147187	0.650341	0.0541504	0.0267451	0.0139471	0.0046931	0.00405086	0.000928545	0.0171757
a	0.00466673	0.00691397	0.0943203	0.171022	0.629162	0.0494632	0.0210629	0.00948388	0.00475222	0.00219631	0.000290723	0.00666492
n	0.00555373	0.00248121	0.00397126	0.0625324	0.639698	0.0620085	0.0222961	0.0186887	0.0205503	0.00521467	0.000227607	0.156778
g	0.00465128	0.0029486	0.00711081	0.150794	0.707387	0.0225745	0.0143993	0.0109778	0.00915599	0.00468412	0.000326877	0.0649901
e	0.00145318	0.00106917	0.00164934	0.0594521	0.892064	0.0122742	0.00417513	0.00266163	0.00194163	0.00104872	7.103e-05	0.0221399
y	0.0060811	0.0172672	0.0225032	0.316376	0.0952708	0.388461	0.0558151	0.0236961	0.0156351	0.00916033	0.000303449	0.0494303
á	0.0286369	0.0230092	0.0137522	0.237896	0.307521	0.221804	0.106556	0.0287373	0.0102186	0.0102595	0.00364032	0.00796997
l	0.0385179	0.0370263	0.0243856	0.105361	0.224145	0.213069	0.222528	0.0705224	0.0199999	0.0210223	0.0179542	0.00546918
e	0.00811519	0.0274587	0.0434414	0.123168	0.0867934	0.161936	0.22495	0.117523	0.0734388	0.0283366	0.000898451	0.10394
k	0.00174153	0.00276533	0.00390852	0.0769682	0.123482	0.30016	0.273823	0.117621	0.0506384	0.0203538	0.00553055	0.0230081
ú	0.000567053	0.00538504	0.0114772	0.0358446	0.18755	0.299116	0.211795	0.209473	0.0261559	0.00279174	0.00327574	0.00656815
l	0.000245015	0.000398886	0.00105333	0.0261046	0.0985142	0.321842	0.220204	0.206251	0.0647451	0.0104755	0.0200324	0.0301337
a	0.00213271	0.000681294	0.00230949	0.0304031	0.0824651	0.200869	0.251233	0.184365	0.0748536	0.0383042	0.0211658	0.111217
w	0.000866644	0.00216194	0.00226057	0.016303	0.0013828	0.095156	0.21009	0.174974	0.244713	0.17672	0.00266756	0.0727048
a	0.0013543	0.00243083	0.00433647	0.0251513	0.0185517	0.132343	0.268489	0.224482	0.0854746	0.114393	0.013348	0.109645
s	0.000449881	0.000411791	0.000885294	0.00569653	0.00224303	0.0382501	0.122704	0.183115	0.263233	0.181354	0.0101958	0.19146
á	0.000238505	0.0018135	0.00672554	0.0177464	0.00635237	0.0213014	0.157842	0.234463	0.394475	0.0914595	0.00214723	0.0654347
p	0.00251957	0.00260039	0.0034698	0.00998729	0.00775612	0.00862858	0.0417565	0.0522323	0.0691471	0.101672	0.679575	0.0206556
o	0.000256673	0.000768696	0.00170546	0.00195197	0.00675101	0.0100715	0.0500845	0.121151	0.0783744	0.0317546	0.681503	0.0156271
o	0.000169596	8.08778e-05	0.000350044	0.000917006	0.00105527	0.0077925	0.027522	0.0467532	0.0881592	0.0407008	0.66838	0.11812
</S>	0.00136415	0.00188947	0.00185121	0.00701231	0.000780887	0.0141632	0.0267379	0.0360863	0.144034	0.271135	0.0165406	0.478405
