 	le	chien	a	mordu	cet	enfant	</S>
m	0.697279	0.275134	0.0165732	0.00441446	0.00461179	0.00183002	0.000158295
v	0.0143302	0.960483	0.0153442	0.00130971	0.00142047	0.00466824	0.00244407
á	0.00230902	0.981803	0.000707122	0.00103121	0.000592635	0.0135495	7.29404e-06
n	0.0730816	0.85708	0.000704959	0.000332799	0.000550577	0.0648691	0.00338105
d	0.283271	0.518478	0.0755285	0.0207038	0.00597656	0.0063283	0.0897143
é	0.104919	0.621282	0.125566	0.0276586	0.00408215	0.00507427	0.111419
á	0.078076	0.077574	0.710681	0.065673	0.00880657	0.0004471	0.0587419
b	0.0881219	0.0642117	0.449033	0.273021	0.0686635	0.00141486	0.0555342
a	0.0121649	0.0176653	0.179926	0.7092	0.036083	0.000758566	0.0442017
r	0.0421798	0.0152741	0.11641	0.681819	0.0210096	0.00107812	0.122229
i	0.131883	0.0754706	0.181442	0.466278	0.0994754	0.00345049	0.0420008
m	0.021438	0.00902418	0.188023	0.123563	0.526246	0.100141	0.0315651
w	0.00115953	0.00176013	0.0041548	0.00319284	0.0422153	0.944938	0.00257937
á	0.000271943	0.00714674	0.0020384	0.00594166	0.0116479	0.971221	0.00173199
n	0.0130605	0.00395136	0.000725336	0.000884855	0.0129417	0.966844	0.00159242
a	0.00597637	0.099958	0.0189782	0.0236285	0.0866366	0.738672	0.0261506
w	0.0137647	0.00639298	0.111356	0.173848	0.386872	0.043231	0.264535
ó	0.00850687	0.0094437	0.0695597	0.359454	0.263094	0.0859934	0.203949
m	0.0035871	0.000969525	0.0312283	0.0677718	0.1673	0.0411516	0.687991
i	0.00148324	0.0019177	0.0105371	0.0121265	0.703302	0.178111	0.0925225
n	0.00221512	0.00397803	0.0173259	0.0530343	0.496584	0.125895	0.300967
a	0.0088578	0.101867	0.0278072	0.0201003	0.232626	0.288259	0.320482
</S>	0.00117598	0.00107641	0.012944	0.00619431	0.0507454	0.00733533	0.920529
