 	l'	arbre	fait	sortir	de	jeunes	feuilles	</S>
i	0.438866	0.519179	0.0249345	0.000584913	0.00717606	0.00715831	0.00155648	0.000545088
b	0.111318	0.740001	0.0455276	0.0469586	0.00837156	0.00282926	0.0428694	0.002124
v	0.0326368	0.913238	0.025613	0.0115471	0.00156627	0.00231465	0.00923193	0.00385214
ú	0.0311596	0.92338	0.0256687	0.00273755	0.00155142	0.0107494	0.00326686	0.00148651
a	0.26908	0.514433	0.11937	0.0363132	0.00929249	0.0310917	0.0101787	0.0102419
í	0.14708	0.0752313	0.63655	0.0552909	0.016195	0.00578352	0.00454741	0.0593218
m	0.0177228	0.0200529	0.485928	0.319418	0.0676644	0.0189706	0.0228179	0.0474257
i	0.0437122	0.10759	0.265655	0.299823	0.123666	0.0790221	0.0065986	0.0739337
p	0.00122164	0.00428824	0.0487834	0.90867	0.0232249	0.00352267	0.00351579	0.00677295
f	0.000320095	0.000574917	0.0222141	0.94713	0.016071	0.00156748	0.00378143	0.00834063
e	0.000302036	0.00112563	0.0113571	0.929455	0.0247977	0.00421315	0.00320657	0.0255426
e	0.00116905	0.00265415	0.0264416	0.431357	0.400051	0.104573	0.0142996	0.0194538
s	0.0032391	0.0036596	0.0131985	0.0279785	0.654743	0.260752	0.0216826	0.014746
á	0.00706237	0.00440639	0.0126233	0.0528475	0.25452	0.368666	0.108757	0.191118
i	0.0104811	0.00409836	0.0129016	0.00868989	0.235496	0.437103	0.267419	0.0238114
n	0.00385922	0.00691876	0.00509743	0.0262353	0.108341	0.168833	0.62583	0.0548854
y	0.0174575	0.00709661	0.00836201	0.00229398	0.0931497	0.510437	0.0811965	0.280007
é	0.0108779	0.00326442	0.00241006	0.00314977	0.0962273	0.683798	0.105784	0.0944889
r	0.000408445	0.00228113	0.0126607	0.0167998	0.272155	0.166906	0.303501	0.225287
í	0.000802341	0.00121787	0.00371103	0.0283352	0.121606	0.132711	0.1786	0.533016
</S>	0.00569352	0.00394038	0.007556	0.0060129	0.152611	0.160567	0.134971	0.528648
