 	celles-ci	sont	des	feuilles	de	manguier	celles-là	sont	du	safoutier	</S>
y	0.100758	0.68114	0.123734	0.0476413	0.027227	0.00742037	0.00299179	0.00577277	0.00244436	0.000535568	0.000334546
é	0.778915	0.151583	0.0382548	0.00843507	0.0067982	0.00462464	0.0068227	0.00157254	0.00140964	0.000564727	0.00101946
k	0.545234	0.196309	0.140239	0.0324719	0.0457141	0.00750237	0.0158182	0.00173306	0.00294247	0.00488885	0.00714642
á	0.0120581	0.0286579	0.277187	0.570777	0.0207268	0.000829032	0.0206777	0.0102481	0.00376515	0.0145029	0.0405706
s	0.00618348	0.154966	0.299003	0.412825	0.0146951	0.0017726	0.00658391	0.0172309	0.00470826	0.0106706	0.0713611
i	0.248195	0.0910658	0.178115	0.286958	0.0801791	0.000157487	0.0214066	0.0381526	0.0237712	0.00352039	0.0284793
y	0.0594697	0.166476	0.325673	0.155844	0.195532	0.0184195	0.0280105	0.0135858	0.0182137	0.00497721	0.0137978
ó	0.178733	0.0657001	0.189463	0.169078	0.206715	0.00699503	0.0554072	0.0283654	0.0260184	0.0016116	0.0719129
m	0.0652948	0.0523504	0.0772493	0.1622	0.431822	0.0993641	0.0790735	0.00747382	0.00891472	0.00329632	0.0129608
b	0.00100674	0.0140651	0.00717265	0.0114973	0.0672215	0.836139	0.0450008	0.0126465	0.000857724	0.000255769	0.00413658
á	0.000481669	0.00088767	0.00207454	0.0146905	0.0494685	0.927298	0.0032078	0.000784407	0.000192112	0.000348037	0.000567083
n	0.00118201	0.0019232	0.00284537	0.0115991	0.0587791	0.886541	0.00647857	0.00659945	0.0007962	0.000272989	0.0229826
g	0.0667414	0.041631	0.0718873	0.0878703	0.188217	0.442234	0.0455061	0.011174	0.00817628	0.000722044	0.0358405
é	0.0857118	0.0647158	0.147868	0.132909	0.274345	0.183444	0.0759404	0.0093545	0.00739378	0.000389094	0.0179289
y	0.00633216	0.0291121	0.124553	0.0954071	0.124201	0.0440798	0.400828	0.0785619	0.0661087	0.0141363	0.0166807
í	0.0292725	0.0213354	0.044047	0.0477303	0.591301	0.00623354	0.152978	0.0284883	0.0478485	0.0202285	0.0105367
i	0.0042046	0.0106511	0.0154721	0.0385187	0.410083	0.0130188	0.245263	0.0231621	0.0612839	0.17289	0.0054531
y	0.000404503	0.0025906	0.00712854	0.0445494	0.0536488	0.021864	0.100029	0.111033	0.0454065	0.599531	0.0138146
ó	0.00205857	0.000288785	0.00290199	0.0122556	0.0447936	0.0166375	0.0999988	0.0174779	0.0206715	0.778791	0.00412522
s	0.00108682	0.000228738	0.00270147	0.0180318	0.0290138	0.0182923	0.0889607	0.0376072	0.036232	0.751284	0.0165616
á	0.00381321	0.00156129	0.0356409	0.260941	0.122361	0.00344539	0.108082	0.122815	0.142777	0.135464	0.0630982
á	0.000198546	0.000620032	0.00493328	0.00919587	0.0219625	0.00246285	0.0653628	0.265566	0.251335	0.25184	0.126522
</S>	0.000570301	0.00475673	0.0111613	0.020108	0.0477528	0.00276591	0.0816915	0.116533	0.33029	0.209649	0.174721
