 	la	colle	du	man	ioc	qui	est	trop	cuit	lui	est	restée	aux	mains	</S>
a	0.536839	0.159394	0.0523489	0.0624976	0.0557439	0.0422434	0.054338	0.00335593	0.00501617	0.00567748	0.00610306	0.0064671	0.00899704	0.000596385	0.000382297
n	0.0532876	0.861513	0.0581516	0.0048739	0.00170257	0.00120557	0.000819135	0.00105775	0.00171088	0.0012567	0.00186631	0.00977863	0.0008616	0.00104628	0.000868494
a	0.0750583	0.700658	0.188883	0.00541517	0.00160247	0.00788299	0.00144542	0.00138555	0.00297268	0.00159894	0.00209799	0.000700708	0.00246672	0.000773671	0.00705766
r	0.178696	0.568298	0.1734	0.00163509	0.00812608	0.0121956	0.00747541	0.00481944	0.00317129	0.00152518	0.00230895	0.0022119	0.0126343	0.00144379	0.0220593
i	0.154371	0.514738	0.126969	0.00505819	0.0102816	0.0227476	0.00469177	0.00628109	0.00349277	0.00389612	0.00489459	0.00107128	0.00672801	0.00153193	0.133247
m	0.132273	0.0468642	0.493916	0.114262	0.0461795	0.0122937	0.0241303	0.032623	0.0209388	0.0174657	0.015411	0.00569653	0.0141055	0.00211252	0.0217285
é	0.0960905	0.0268004	0.134389	0.189709	0.202044	0.160563	0.0899477	0.0342748	0.00938328	0.0110882	0.0064473	0.000514897	0.0188244	0.00494627	0.0149773
k	0.131093	0.0454192	0.203415	0.210827	0.0484137	0.0423652	0.0522203	0.0833574	0.0477326	0.0311212	0.0226079	0.0159104	0.0154418	0.0129853	0.0370901
ώ	0.0197189	0.00555367	0.150525	0.452046	0.0401109	0.0493634	0.043675	0.076366	0.0474744	0.0233356	0.0138469	0.0335492	0.00317422	0.0184779	0.022783
ώ	0.00445226	0.00150885	0.115944	0.365387	0.0661521	0.0691241	0.111652	0.0648147	0.0383255	0.0253359	0.017922	0.0391631	0.015467	0.034025	0.0307273
á	0.0101824	0.00150316	0.0284011	0.0815002	0.130374	0.170644	0.190413	0.122916	0.0878113	0.067026	0.0476137	0.0248208	0.0287769	0.00167746	0.00633988
b	0.00268425	0.00541186	0.00565158	0.00264163	0.00113265	0.00240391	0.00486582	0.0555905	0.163364	0.179668	0.194906	0.35172	0.00938102	0.00388911	0.01669
v	0.00118797	0.0014752	0.00867188	0.00715814	0.00279564	0.00419064	0.00686216	0.0368839	0.0943054	0.0940737	0.127884	0.556904	0.0182525	0.0169888	0.0223658
u	0.00130044	0.000854668	0.00517561	0.00782751	0.00400195	0.0083615	0.0127412	0.0437341	0.11345	0.126083	0.155517	0.454825	0.0248651	0.0192952	0.021968
u	0.00417911	0.00132466	0.0120936	0.0119341	0.00602453	0.0155699	0.0123044	0.0288607	0.0515356	0.125518	0.322529	0.275879	0.0543335	0.0246203	0.053294
w	0.00426283	0.000757598	0.0186406	0.0326876	0.0296946	0.0955921	0.0514992	0.0615533	0.0808788	0.155576	0.136243	0.0798757	0.150949	0.0238256	0.0779647
a	0.00308643	0.000367242	0.0134004	0.0388692	0.0164423	0.0819871	0.0633825	0.112989	0.11828	0.161049	0.100563	0.0169295	0.140753	0.0871058	0.0447957
m	0.000606265	0.000134801	0.00257007	0.00565703	0.00852042	0.0185594	0.0345366	0.0533907	0.0606505	0.122761	0.101736	0.0295879	0.270969	0.161634	0.128686
á	0.00291636	0.00143003	0.00843337	0.016439	0.0495866	0.0490312	0.0436606	0.0204468	0.014621	0.0608998	0.0670061	0.0233417	0.294777	0.155759	0.191651
b	0.00503005	0.000872539	0.00320506	0.00423823	0.00643684	0.0164654	0.0196165	0.024168	0.0306018	0.0473557	0.0482463	0.00660231	0.314241	0.417948	0.0549728
ώ	0.00233443	0.000623552	0.00259252	0.00571096	0.00250501	0.00352594	0.00298318	0.00217934	0.00501611	0.0131273	0.0218725	0.0140123	0.0411403	0.872099	0.0102772
ω	0.000232733	2.38541e-05	0.000678328	0.00284487	0.000991804	0.00304867	0.00445327	0.00267249	0.00381941	0.00978394	0.0131191	0.060488	0.042424	0.783925	0.0714942
</S>	0.00143513	0.000163463	0.00271918	0.00470059	0.0057902	0.00456197	0.0040502	0.00328582	0.00693008	0.0316835	0.0433973	0.0218207	0.2499	0.110093	0.509469
