 	sa	paternité	est	vaine	car	il	ne	remplit	plus	ses	obligations	envers	les	enfants	</S>
o	0.524951	0.277856	0.024505	0.0199378	0.0791899	0.0369894	0.0103068	0.00142012	0.00725515	0.00538395	0.00210476	0.00227915	0.00738237	0.000316226	0.000122007
t	0.196761	0.0637197	0.132795	0.129976	0.0213359	0.0335112	0.0947426	0.162704	0.031996	0.0218126	0.00917826	0.0676466	0.0168763	0.0057007	0.011244
á	0.0148327	0.00432187	0.118713	0.266052	0.0437152	0.0263138	0.186213	0.221468	0.0430905	0.0128402	0.00520376	0.02973	0.0105783	0.01424	0.00268759
á	0.0103245	0.0149022	0.107618	0.326596	0.0801111	0.0583097	0.154033	0.0690938	0.0244021	0.0168342	0.0175069	0.0559559	0.0105238	0.0244821	0.0293078
b	0.441337	0.248391	0.0589217	0.0225996	0.0326139	0.0445888	0.0237459	0.00485535	0.0139483	0.0233041	0.0215477	0.00995348	0.00339068	0.00369825	0.0471038
a	0.0559288	0.733118	0.0403361	0.00798259	0.0411732	0.0151632	0.00683875	0.0040121	0.00614	0.00797066	0.00500059	0.00577067	0.00195647	0.0624812	0.00612811
w	0.106501	0.615216	0.0266869	0.0138447	0.0468425	0.0267032	0.00359859	0.00422169	0.00815044	0.00994813	0.00702845	0.00180671	0.0034388	0.114145	0.0118672
a	0.289928	0.298937	0.0112346	0.00665875	0.045768	0.0711791	0.00802355	0.0130299	0.0297074	0.0430146	0.00464597	0.00371694	0.0490381	0.0955619	0.029556
b	0.16748	0.259094	0.20478	0.0454393	0.0545424	0.067319	0.0346678	0.0229211	0.0247605	0.0288055	0.00941795	0.0129209	0.0270013	0.0127983	0.0280519
v	0.080818	0.395665	0.217345	0.0822323	0.120708	0.0476387	0.0119799	0.00254974	0.00763436	0.00551051	0.00249039	0.00225854	0.000743452	0.0208867	0.00153913
ú	0.0372705	0.594211	0.153344	0.0412258	0.084967	0.0194124	0.00927092	0.00491431	0.0057803	0.00707727	0.00138452	0.00214868	0.00612119	0.0294212	0.0034513
u	0.135259	0.081746	0.36952	0.356553	0.012363	0.00948819	0.0144951	0.00701693	0.00262718	0.00296437	0.000627488	0.00327685	0.000905109	0.000596169	0.00256141
o	0.0993532	0.0536532	0.365749	0.213971	0.106392	0.0426552	0.0247667	0.0068004	0.00974514	0.0118987	0.0176209	0.0136498	0.0034704	0.00262954	0.0276453
d	0.0302016	0.0173315	0.369416	0.341745	0.118206	0.0440269	0.0435949	0.00783906	0.00365479	0.00281291	0.0076674	0.00773844	0.000532217	0.00235672	0.00287701
í	0.0368374	0.00632889	0.258809	0.571642	0.0120889	0.0227927	0.0455751	0.01049	0.00283475	0.00195623	0.00104502	0.00392352	0.000422787	0.000306233	0.0249473
n	0.0574993	0.0224385	0.132918	0.33472	0.173859	0.0931373	0.0826043	0.00919503	0.0102522	0.01362	0.0120844	0.0260937	0.00398914	0.000208557	0.0273808
g	0.018537	0.0216696	0.150082	0.416853	0.0573591	0.159748	0.0380987	0.0758068	0.00806698	0.00570729	0.00114041	0.00351481	0.00889924	0.00678104	0.0277367
u	0.0349655	0.0406132	0.126567	0.210568	0.0722187	0.211852	0.0314517	0.170425	0.0124452	0.00481222	0.00070922	0.00287113	0.0137782	0.0327753	0.0339464
a	0.0125452	0.00213554	0.0254627	0.591335	0.12024	0.126917	0.0662029	0.015693	0.0108568	0.0097207	0.00096832	0.00363757	0.00653119	0.000528343	0.00722517
t	0.00441761	0.00367498	0.0533202	0.14046	0.23792	0.28647	0.20921	0.0140261	0.00747191	0.0113307	0.0134347	0.00796243	0.00198101	0.000820168	0.00750028
s	0.00359805	0.0040349	0.0446275	0.176259	0.252126	0.10277	0.141442	0.0182684	0.078082	0.0289997	0.075234	0.0368469	0.00683474	0.005409	0.0254675
í	0.000740493	0.00153308	0.0170136	0.164883	0.386339	0.0984114	0.0828941	0.0281996	0.0523295	0.03263	0.0454747	0.0326719	0.0204418	0.00771265	0.0287261
