 	celui-ci	est	mon	panier	celui-là	est	à	toi	</S>
m	0.249292	0.509948	0.126871	0.0725599	0.0285613	0.00580296	0.00614158	0.00027388	0.000548948
ú	0.0167535	0.0592063	0.154643	0.228814	0.227661	0.0408481	0.151374	0.0197062	0.100993
m	0.0270176	0.0940021	0.0384807	0.779804	0.034436	0.0126433	0.00116836	0.00040426	0.0120435
ú	0.0295547	0.0976935	0.0351439	0.551029	0.213816	0.0259792	0.00186917	0.000395254	0.0445193
a	0.0809359	0.147729	0.277193	0.333858	0.0689821	0.0230743	0.00365433	0.00259703	0.0619769
m	0.0070839	0.100697	0.43761	0.147107	0.105663	0.0356073	0.0214402	0.0211153	0.123677
á	0.00790727	0.0380002	0.105046	0.339334	0.279039	0.0838094	0.0228344	0.00750549	0.116525
n	0.0151322	0.0574394	0.457118	0.229504	0.15189	0.0107708	0.0106286	0.0355369	0.0319801
g	0.000158393	0.00500268	0.513292	0.0534736	0.22129	0.00547339	0.0206755	0.16426	0.0163739
á	0.000523127	0.00842028	0.516743	0.142795	0.147035	0.00349261	0.00716534	0.136419	0.0374061
m	0.00567908	0.0107292	0.158612	0.139372	0.372923	0.108704	0.166403	0.0251865	0.012392
ú	0.00707399	0.00919082	0.0273643	0.212406	0.442347	0.135637	0.0669313	0.00622312	0.092827
u	0.00146386	0.010759	0.0599647	0.252068	0.238102	0.225399	0.045682	0.0067261	0.159836
m	0.0037443	0.00708712	0.0496344	0.149866	0.0514555	0.282109	0.190946	0.138735	0.126423
á	0.00151333	0.0121783	0.0381145	0.104521	0.182668	0.351934	0.121946	0.0339495	0.153175
n	0.00560084	0.0110266	0.0529827	0.0604124	0.0766886	0.161376	0.133256	0.367331	0.131326
ω	1.53137e-05	0.000377067	0.0272749	0.00335717	0.0311712	0.0151022	0.0850348	0.646526	0.191141
</S>	0.000590516	0.00629795	0.079449	0.0442611	0.0154311	0.0899269	0.0859024	0.0862279	0.591913
