 	on	jette	les	balayures	derrière	la	case	</S>
b	0.971503	0.0216641	0.00260202	0.000604837	0.000854738	0.00271352	4.34319e-05	1.39722e-05
á	0.787167	0.17859	0.0191203	0.00385798	0.000856955	0.00941483	0.000578523	0.000414414
a	0.615301	0.340863	0.0188812	0.00312406	0.00109683	0.0105328	0.00371736	0.00648416
b	0.621738	0.279588	0.0219573	0.00801522	0.00169423	0.0110988	0.00351714	0.0523908
v	0.119116	0.825754	0.0339008	0.00244295	0.000716849	0.00519903	0.0022526	0.0106175
á	0.262574	0.712981	0.0189766	0.00159881	0.000238057	0.00152349	0.000245384	0.0018619
á	0.082646	0.30669	0.049361	0.0187127	0.00404747	0.0188314	0.00249154	0.51722
m	0.336749	0.322295	0.207181	0.0620468	0.00925841	0.0162816	0.0114263	0.0347611
y	0.0389561	0.345324	0.443594	0.150866	0.00178222	0.00556906	0.000668232	0.0132407
e	0.105702	0.226082	0.262051	0.285128	0.0155822	0.0175543	0.00985731	0.0780436
r	0.0975045	0.164086	0.310913	0.31784	0.00342981	0.00555807	0.000851238	0.099816
é	0.291886	0.159795	0.20877	0.113821	0.0221905	0.0355295	0.0159243	0.152083
m	0.110849	0.0570814	0.490075	0.182208	0.0185617	0.0442451	0.00255309	0.0944274
í	0.0108863	0.0277096	0.342506	0.429324	0.0119777	0.0929692	0.00254638	0.0820813
í	0.0278763	0.0224629	0.351253	0.366954	0.140892	0.0203917	0.0154779	0.0546928
w	0.0127634	0.0137557	0.220588	0.477309	0.142522	0.0449631	0.0123138	0.0757856
ώ	0.00220053	0.0159863	0.224267	0.391003	0.169926	0.0808115	0.00977953	0.106026
m	0.00193209	0.0052435	0.113501	0.60135	0.200448	0.0268658	0.00408272	0.0465769
b	0.00186902	0.00620044	0.0926774	0.46424	0.0622318	0.214936	0.0278629	0.129983
í	0.00696235	0.0363236	0.289222	0.349193	0.0343842	0.140836	0.0116349	0.131444
b	0.0214115	0.0211787	0.166115	0.157318	0.169755	0.334149	0.031712	0.0983607
á	0.0956146	0.0527481	0.324068	0.0973917	0.142925	0.16038	0.0192325	0.10764
a	0.16055	0.0472535	0.344884	0.0395659	0.0950704	0.16543	0.0435708	0.103675
m	0.00369301	0.00460116	0.0378686	0.104947	0.153151	0.356061	0.0723218	0.267356
ó	0.00313745	0.00368113	0.0656813	0.0822953	0.0347032	0.458291	0.0227608	0.329449
n	0.00703056	0.0115911	0.111844	0.133474	0.0998735	0.338447	0.0638029	0.233937
g	0.0199483	0.00555602	0.0188852	0.0153442	0.516674	0.0902307	0.30572	0.0276418
ω	0.000649398	0.00015135	0.000435124	0.00109286	0.684983	0.0132812	0.290515	0.0088926
n	0.00015252	7.94679e-05	0.00133419	0.0023965	0.849555	0.0148621	0.116367	0.015253
g	0.000598046	0.000930637	0.00445422	0.0508928	0.328406	0.148298	0.0985371	0.367883
ω	0.00110824	0.00075803	0.00148479	0.0221944	0.739575	0.0677424	0.0892328	0.0779039
y	0.000834445	0.00122613	0.00882972	0.0133534	0.0590664	0.207186	0.0881494	0.621355
á	0.00775679	0.00156287	0.028202	0.034243	0.149599	0.522272	0.0851689	0.171196
n	0.0357345	0.00904939	0.0915401	0.0052894	0.0271087	0.503224	0.307895	0.0201581
d	0.00112852	6.66135e-05	0.000810199	0.000210469	0.0505172	0.019673	0.924938	0.00265577
é	0.000822362	0.000177801	0.000366482	0.000940154	0.0471361	0.00915843	0.925781	0.0156177
e	0.000176451	0.000330887	0.0030861	0.00402572	0.239543	0.123724	0.218434	0.410679
</S>	0.00127344	0.00171112	0.0145504	0.0159009	0.0373267	0.280208	0.106332	0.542697
