 	il	a	perdu	une	aiguille	</S>
w	0.786871	0.165376	0.0320091	0.0135271	0.00160167	0.000614757
a	0.874075	0.0695879	0.00902151	0.0452356	0.00109829	0.000981293
á	0.165415	0.726791	0.063501	0.0334503	0.00284002	0.00800264
m	0.0343698	0.400456	0.458338	0.057345	0.00187045	0.0476204
i	0.0131523	0.313471	0.429503	0.146203	0.00677561	0.0908952
l	0.00686416	0.0763841	0.796077	0.0876247	0.0058693	0.0271803
é	0.00397767	0.0600167	0.79237	0.0964115	0.00764022	0.0395837
m	0.0035916	0.189116	0.613053	0.174075	0.0044699	0.0156935
b	0.0185129	0.0591697	0.210522	0.50753	0.00923606	0.19503
í	0.00513114	0.0133573	0.108124	0.0976915	0.0265068	0.749189
s	0.0498106	0.0308702	0.0719848	0.668193	0.110343	0.0687983
á	0.026535	0.0150834	0.0298453	0.346735	0.15069	0.431112
t	0.111709	0.0282689	0.014783	0.19324	0.537035	0.114964
o	0.00542169	0.00473642	0.0132956	0.043331	0.890858	0.0423573
n	0.000369326	0.00420566	0.0249707	0.0262405	0.840715	0.103499
g	0.00468025	0.0185497	0.0710969	0.0814264	0.571188	0.253058
a	0.00589689	0.00127233	0.00210719	0.00741583	0.725003	0.258305
</S>	0.00855002	0.0157871	0.0215739	0.09716	0.0285367	0.828392
