 	pendant	la	saison	sèche	l'	oranger	perd	ses	feuilles	</S>
o	0.42228	0.344977	0.152501	0.0317272	0.0294104	0.00385767	0.00410797	0.0098416	0.000762197	0.000534818
t	0.118923	0.34259	0.118055	0.0742731	0.0296153	0.134731	0.0373298	0.0346947	0.0973146	0.0124734
s	0.0231534	0.150895	0.0652794	0.180797	0.015031	0.501802	0.00424907	0.00583946	0.0494017	0.00355211
w	0.0562405	0.31119	0.164463	0.262086	0.0212424	0.139659	0.0195724	0.0100554	0.00978866	0.00570197
é	0.153496	0.190637	0.187106	0.193969	0.0699096	0.0906334	0.0292649	0.0265213	0.00424975	0.0542137
t	0.0838205	0.0565163	0.201385	0.349487	0.138263	0.087481	0.0145405	0.00433231	0.00154433	0.0626305
s	0.0498093	0.0151473	0.0518917	0.0552097	0.0272062	0.654348	0.0117456	0.0205057	0.0113622	0.102774
w	0.0054503	0.0081216	0.0317612	0.0985687	0.015729	0.817357	0.00886108	0.00465969	0.00122828	0.00826329
e	0.028989	0.0333727	0.086447	0.186519	0.0264361	0.54747	0.0299961	0.0133156	0.00522451	0.0422303
l	0.0156195	0.00637533	0.0398178	0.148437	0.377615	0.222945	0.0856151	0.0214828	0.00310743	0.0789847
é	0.0457495	0.0294182	0.0283352	0.032409	0.240006	0.306311	0.132586	0.0415074	0.00672227	0.136955
m	0.0288518	0.0154328	0.051128	0.0618112	0.619775	0.0637727	0.0705201	0.0612375	0.0066682	0.0208024
ó	0.0623526	0.0308515	0.0344707	0.0188982	0.506035	0.0729681	0.0875418	0.0723761	0.013281	0.101225
o	0.029634	0.0346065	0.0514098	0.0365734	0.652061	0.021065	0.0743445	0.0430159	0.0349274	0.022362
k	0.00625374	0.0142755	0.00693403	0.0327429	0.105338	0.104715	0.568449	0.0604515	0.0858193	0.0150206
ó	0.000941719	0.00512785	0.0135969	0.153064	0.0430041	0.123712	0.372409	0.058851	0.13889	0.0904031
m	0.000419711	0.00112046	0.0115435	0.165506	0.0165702	0.495128	0.154097	0.0197411	0.0933451	0.0425288
í	0.0208232	0.0141525	0.0125072	0.0228792	0.26424	0.0211158	0.339844	0.0443439	0.02358	0.236514
s	0.0103311	0.00471099	0.0142134	0.0174507	0.176811	0.00713689	0.220865	0.354756	0.0935359	0.100189
á	0.00565466	0.00372611	0.00178103	0.00564439	0.0323373	0.0151607	0.186826	0.363506	0.210195	0.175169
k	0.00465917	0.00235741	0.0025591	0.0025509	0.0393216	0.00645298	0.0678488	0.23743	0.585823	0.0509965
á	0.000652224	0.000786802	0.00061804	0.00138359	0.00240312	0.0133153	0.0887648	0.0358791	0.819977	0.0362197
s	0.000646375	0.000566926	0.000665913	0.00452746	0.00316181	0.0116002	0.0410179	0.154627	0.688006	0.0951796
i	0.00180562	0.00211967	0.00152609	0.00622424	0.00406483	0.0211554	0.067284	0.245847	0.478084	0.171889
l	0.00103005	0.00101006	0.00313311	0.00448362	0.0114662	0.00169556	0.0771807	0.258672	0.12576	0.515569
e	0.00439229	0.0041734	0.00298241	0.00794347	0.0146213	0.00287055	0.047314	0.354996	0.189341	0.371366
b	0.00393912	0.00441224	0.0119355	0.0137645	0.0726773	0.00493883	0.0552095	0.329043	0.168456	0.335624
h	0.00156169	0.00419803	0.00786716	0.0155876	0.0202394	0.00137179	0.232196	0.492135	0.179376	0.0454678
ó	0.000789206	0.00143384	0.00188576	0.00784328	0.00236218	0.00706785	0.446343	0.108366	0.0835879	0.340321
y	0.000108568	0.000211111	0.0011717	0.00457954	0.00347681	0.00686649	0.0983213	0.0892201	0.166315	0.62973
á	0.00883712	0.00949793	0.0162651	0.0238097	0.0292876	0.0479511	0.0248963	0.0979763	0.253159	0.48832
</S>	0.0102289	0.00367191	0.0105658	0.012242	0.0376578	0.00786985	0.0423614	0.204715	0.12441	0.546278
