 	il	y	a	l'	inondation	à	mossaka	</S>
o	0.13949	0.330973	0.234547	0.184528	0.0880155	0.0154483	0.00114172	0.00585609
l	0.0221671	0.0908478	0.077815	0.112915	0.248088	0.0165174	0.356826	0.0748237
ω	0.00252831	0.0775154	0.0718834	0.151464	0.422261	0.0154379	0.058375	0.200535
b	0.00620438	0.0469046	0.090046	0.308617	0.307984	0.0841394	0.124298	0.0318063
h	0.13717	0.116966	0.125766	0.237517	0.287332	0.0153319	0.00179568	0.0781213
ω	0.223214	0.154158	0.095731	0.166751	0.146752	0.0296866	0.0172095	0.166498
ó	0.113985	0.1431	0.270687	0.238256	0.0824403	0.123274	0.00345341	0.024805
m	0.0138256	0.019635	0.263379	0.196732	0.0530875	0.359827	0.0353383	0.0581749
i	0.0196346	0.006713	0.143074	0.282293	0.0142288	0.285975	0.0104851	0.237597
k	0.0027333	0.00232083	0.0406154	0.122048	0.0752131	0.367147	0.187742	0.202181
ó	0.00077206	0.00600787	0.0175362	0.0725619	0.410514	0.0525477	0.381753	0.0583067
á	0.000600336	0.00787831	0.0180341	0.0414224	0.541334	0.0509769	0.2813	0.0584544
o	0.0509068	0.0242564	0.0860659	0.110214	0.0207618	0.415843	0.0867979	0.205155
s	0.000374116	0.0040726	0.0179577	0.0409109	0.0199573	0.36537	0.407872	0.143485
a	0.000503837	0.0068693	0.0194547	0.0531172	0.00518211	0.336854	0.403081	0.174938
a	0.000630681	0.00282811	0.0149529	0.0622703	0.00217886	0.306275	0.0874756	0.523389
</S>	0.00279748	0.0108253	0.0403616	0.033994	0.00260595	0.219232	0.0222153	0.667968
