 	il	est	dans	l'	atelier	de	menuiserie	</S>
w	0.7216	0.0834104	0.0577339	0.119317	0.00870109	0.00713932	0.00191603	0.000182298
a	0.671368	0.0748344	0.031579	0.206569	0.00630855	0.00739555	0.00176769	0.000178705
a	0.365764	0.363735	0.110729	0.112028	0.0188464	0.0145208	0.00227399	0.0121029
d	0.124949	0.509343	0.18842	0.0284107	0.0194871	0.0403145	0.0152531	0.0738236
i	0.0179958	0.507779	0.336848	0.0296161	0.0222645	0.00407974	0.000271685	0.0811454
s	0.0061137	0.137508	0.690629	0.0714095	0.0251833	0.011703	0.00250795	0.0549455
á	0.0127647	0.101729	0.485368	0.278135	0.060634	0.00720033	0.000911276	0.053258
k	0.0792422	0.0577305	0.171995	0.455169	0.196505	0.00669068	0.00677712	0.0258909
á	0.0155525	0.0604229	0.0911307	0.171919	0.642597	0.00199739	0.00350971	0.0128713
n	0.0185755	0.0736168	0.187499	0.131074	0.529868	0.00728164	0.00331768	0.0487677
d	0.0653614	0.077135	0.206234	0.218819	0.36165	0.0134731	0.000852637	0.0564744
z	0.0357411	0.0172924	0.0592797	0.173684	0.561736	0.0162043	0.00131184	0.13475
á	0.00782998	0.00645009	0.00652467	0.0790994	0.810207	0.00713893	0.000864093	0.0818861
l	0.0430919	0.0598871	0.209902	0.122582	0.348028	0.0981544	0.00266035	0.115694
á	0.0118132	0.0180843	0.189836	0.292603	0.154919	0.0966505	0.0174811	0.218614
ω	0.0390302	0.0204166	0.158459	0.39415	0.113167	0.159352	0.0504979	0.064927
s	0.00263988	0.0332453	0.0405016	0.0237499	0.12609	0.0530305	0.710671	0.0100715
á	0.00191765	0.109121	0.338083	0.0387998	0.0402748	0.0760212	0.335374	0.0604098
l	0.00148328	0.0063159	0.043283	0.0226783	0.0770455	0.0578332	0.541483	0.249878
i	0.000687599	0.00559411	0.0545403	0.0680458	0.0874096	0.189974	0.306586	0.287163
a	0.00136951	0.00366773	0.0145597	0.0192231	0.00834332	0.596977	0.0995735	0.256286
b	0.0108193	0.0417536	0.165032	0.0265099	0.0135796	0.168048	0.487181	0.0870768
á	0.0131003	0.043393	0.172349	0.0710638	0.0182808	0.145996	0.297126	0.238691
y	0.00449176	0.0101848	0.0672323	0.0267029	0.0148849	0.100031	0.321588	0.454884
á	0.000966434	0.00500588	0.022393	0.0209563	0.0147228	0.0481436	0.726623	0.161189
</S>	0.00427344	0.0050127	0.031722	0.0269654	0.00896963	0.118072	0.235698	0.569287
