 	j'	entasse	l'	herbe	que	nous	avons	coupée	</S>
n	0.856978	0.0322912	0.0481951	0.0442746	0.00932431	0.00576579	0.00233666	0.000699006	0.000135441
g	0.998558	0.000108571	0.00040727	4.93508e-05	5.55245e-05	0.000776143	4.05487e-05	2.44976e-06	1.91227e-06
á	0.993123	0.00418626	0.001635	0.000320633	0.000180185	0.000346098	0.00012293	7.30195e-05	1.28827e-05
l	0.277824	0.144243	0.150215	0.0807423	0.0453283	0.0499898	0.0140941	0.00360717	0.233956
í	0.678083	0.118207	0.0441562	0.00666987	0.0106036	0.0184505	0.0383484	0.00247881	0.0830025
i	0.113884	0.210779	0.381814	0.0686597	0.0533431	0.00725509	0.028985	0.00363334	0.131646
k	0.00269532	0.934608	0.0419398	0.00450356	0.000901544	0.000116779	0.00254744	0.00450658	0.00818057
ú	9.93828e-05	0.972864	0.0202919	0.00144191	0.000287237	7.98003e-06	0.000335454	0.00310834	0.00156336
á	0.00298058	0.600907	0.283499	0.0839588	0.00231633	9.53019e-05	0.000601942	0.00458874	0.0210516
p	0.000931031	0.00918693	0.260575	0.508545	0.187513	0.0130999	0.00703054	0.00532898	0.00778977
f	0.00194762	0.0168592	0.307004	0.568677	0.0713023	0.00173816	0.00198247	0.00432005	0.0261696
ú	0.000297178	0.0242612	0.43964	0.476547	0.0523218	0.000433078	0.00123557	0.00170735	0.00355689
l	0.0017922	0.00554937	0.276972	0.636237	0.0504902	0.0018303	0.000588666	0.00745108	0.0190894
ú	0.000924627	0.0085832	0.280939	0.345422	0.178474	0.0119442	0.0282602	0.0246181	0.120835
y	0.000171459	0.00310122	0.0969593	0.152066	0.633327	0.00941498	0.0419538	0.00982325	0.0531831
é	0.000888465	0.00428423	0.0565254	0.270795	0.534408	0.0175584	0.0702621	0.00527264	0.0400054
é	0.0079933	0.000288652	0.0110166	0.12543	0.613123	0.160148	0.0662708	0.0049937	0.0107354
w	0.00437709	0.015043	0.0118917	0.00170467	0.0197672	0.0275831	0.700585	0.199311	0.0197376
o	0.000533124	0.00676946	0.0169296	0.00298478	0.0260678	0.0852341	0.53119	0.263854	0.0664373
í	8.83487e-05	0.00583762	0.028146	0.00993992	0.0761519	0.0185766	0.295224	0.344026	0.222009
b	0.000975322	0.00348074	0.0108656	0.0125132	0.0412299	0.0298697	0.412493	0.204256	0.284316
í	0.0101763	0.00494966	0.0203244	0.00272775	0.023038	0.508241	0.261336	0.0742295	0.0949771
s	0.0122059	0.000371453	0.00293254	0.00512423	0.024546	0.834705	0.0352667	0.0270991	0.0577486
í	0.0011212	0.00106494	0.0108417	0.0105351	0.028552	0.429697	0.179255	0.106956	0.231977
</S>	0.00540467	0.000763337	0.00612016	0.0125709	0.0476601	0.169487	0.165419	0.171811	0.420764
