 	quel	est	son	métier	</S>
e	0.841003	0.110689	0.031267	0.0137354	0.00330638
s	0.0223769	0.711966	0.0598826	0.188981	0.016794
á	0.0086579	0.569957	0.106139	0.0651936	0.250052
á	0.0262125	0.258721	0.122788	0.214475	0.377804
y	0.35081	0.146093	0.241002	0.110127	0.151968
á	0.0410563	0.154502	0.428027	0.0755342	0.300881
w	0.23738	0.0541909	0.271402	0.360464	0.0765636
a	0.309766	0.13109	0.344694	0.125648	0.0888015
é	0.0440943	0.0569674	0.362851	0.303893	0.232195
d	0.00812431	0.0905984	0.513103	0.271195	0.116979
í	0.00145977	0.0475173	0.207219	0.218724	0.52508
n	0.0107799	0.0421966	0.189557	0.218243	0.539224
d	0.0175045	0.00647031	0.183634	0.2979	0.494492
é	0.0126486	0.00425738	0.0904768	0.164246	0.728372
</S>	0.00202875	0.0131153	0.113226	0.182504	0.689126
