 	il	souffre	toujours	des	pal	pitations	</S>
w	0.781428	0.156802	0.0375045	0.0213412	0.0022891	0.000307724	0.000327608
a	0.720082	0.193042	0.0194447	0.0650585	0.00102371	0.000989276	0.000359727
o	0.159675	0.676894	0.0910541	0.0504701	0.00890183	0.00502137	0.00798343
t	0.132027	0.455664	0.335931	0.0326314	0.030211	0.00417226	0.00936253
é	0.0304975	0.316767	0.334417	0.0824283	0.152767	0.00630127	0.0768219
m	0.0581062	0.406417	0.342203	0.0935215	0.0431639	0.00637844	0.0502102
a	0.0362413	0.119542	0.472823	0.258805	0.0747861	0.00524354	0.0325589
ó	0.0972619	0.0962081	0.400719	0.290915	0.0559288	0.00774827	0.0512187
d	0.0210922	0.0389478	0.385741	0.369889	0.161725	0.010325	0.01228
i	0.0018643	0.00275018	0.0909731	0.119889	0.123394	0.0648927	0.596237
í	0.0027919	0.00444431	0.107583	0.149302	0.451255	0.203392	0.0812333
m	0.00128141	0.00375098	0.0442146	0.0933515	0.498865	0.286105	0.0724316
ó	0.00117363	0.00244653	0.0105384	0.0438682	0.434998	0.303025	0.20395
o	0.00654162	0.0181616	0.0163836	0.116584	0.307315	0.513156	0.0218582
f	0.00015366	0.00191919	0.00959585	0.0221472	0.429377	0.499898	0.0369089
u	0.00046082	0.0148492	0.0236795	0.0281891	0.533105	0.333766	0.0659504
r	8.70852e-05	0.00171108	0.0123509	0.0155167	0.264029	0.36833	0.337975
a	0.00180759	0.00952333	0.0231609	0.0711566	0.455531	0.140934	0.297887
</S>	0.00302583	0.00494115	0.0110146	0.0328117	0.0446458	0.146934	0.756627
