 	la	rigidité	de	l'	oranger	est	plus	que	celle	du	safoutier	</S>
b	0.423671	0.362996	0.149365	0.0298116	0.00591507	0.00993328	0.00419354	0.00546981	0.00377106	0.0047231	2.84034e-05	0.00012273
v	0.131522	0.479849	0.281146	0.0795953	0.00474519	0.0039372	0.00208264	0.00771231	0.00261481	0.00621703	2.66794e-05	0.000551998
ú	0.0393998	0.739101	0.06047	0.0485668	0.097425	0.00102627	0.00473034	0.00516996	0.00229785	0.000935186	0.000356376	0.000521654
s	0.0328881	0.688188	0.109711	0.0583926	0.0844029	0.0055626	0.00529923	0.00533751	0.00523451	0.00329631	0.000369214	0.00131742
u	0.325855	0.425708	0.135131	0.0665043	0.027318	0.00463792	0.00287244	0.00331314	0.00462254	0.00152496	0.000259261	0.00225343
b	0.202208	0.0959605	0.479506	0.104659	0.0220147	0.0279108	0.00681138	0.00932481	0.00879291	0.00852582	0.00225996	0.0320263
ó	0.175267	0.0520581	0.144006	0.111148	0.0782435	0.0944806	0.0442889	0.0664196	0.0481288	0.0849819	0.000929437	0.100048
t	0.118293	0.0797317	0.268399	0.224696	0.140852	0.0629365	0.0150295	0.0168865	0.01284	0.0135057	0.00404918	0.0427816
s	0.0861226	0.0566329	0.0725721	0.0765747	0.613288	0.0218369	0.0362546	0.0105981	0.00820576	0.00651586	0.00342268	0.00797542
w	0.00970536	0.240473	0.0388771	0.0572969	0.624244	0.00727673	0.00877598	0.0054854	0.00374657	0.00224501	0.000330383	0.00154381
é	0.0234318	0.0900337	0.0205959	0.0457561	0.747941	0.00764812	0.0123159	0.0110559	0.0147162	0.00330686	0.000718319	0.0224803
t	0.00213191	0.0101431	0.0163028	0.0309459	0.892336	0.0075908	0.00284194	0.00151208	0.00332114	0.000865643	0.00108936	0.0309196
s	0.00526324	0.00786041	0.00932803	0.0244244	0.919453	0.0073221	0.00705678	0.00334773	0.00346795	0.000924108	0.000452771	0.0110991
w	0.0132682	0.0352947	0.0445111	0.0849152	0.75725	0.0200768	0.00882297	0.00567859	0.0124241	0.00208874	0.00084964	0.01482
e	0.0771551	0.0882406	0.10154	0.208045	0.437107	0.0221899	0.0136099	0.0103094	0.0262174	0.0051753	0.000870007	0.00954012
l	0.0470026	0.0279595	0.0611174	0.231932	0.266974	0.0583894	0.032405	0.00936296	0.0140063	0.00358139	0.00902666	0.238243
é	0.0139866	0.0211272	0.0343222	0.322175	0.19079	0.149367	0.0576118	0.0381083	0.0487639	0.0128182	0.00237412	0.108556
ó	0.00241288	0.00256311	0.0257323	0.106651	0.0103352	0.488586	0.17063	0.0629407	0.0473355	0.029486	0.0100603	0.0432669
p	0.0109042	0.0118322	0.0158527	0.0263165	0.00507984	0.184237	0.458954	0.123335	0.0599538	0.0532004	0.0233145	0.0270202
é	0.000890331	0.00957793	0.0052763	0.0115464	0.00984522	0.04178	0.551963	0.135373	0.0776197	0.0837828	0.0319181	0.0404271
n	0.00126531	0.00660293	0.00574106	0.0182337	0.0192387	0.0485501	0.381882	0.110921	0.0772954	0.0674169	0.140469	0.122384
d	0.00314354	0.0119159	0.0110213	0.0497939	0.0162951	0.101753	0.246217	0.155642	0.150625	0.0935066	0.0585798	0.101508
í	0.00391902	0.0160334	0.0105921	0.0461796	0.0281999	0.11484	0.200167	0.126295	0.213126	0.0933752	0.0520256	0.0952476
b	0.00178432	0.000598885	0.00402899	0.0104523	0.000289641	0.0840465	0.0658378	0.220672	0.316435	0.265027	0.0138227	0.017005
ó	0.00754052	0.07985	0.0337085	0.0434158	0.00514766	0.0470026	0.0975133	0.207005	0.282355	0.13439	0.0236764	0.0383949
s	0.000925416	0.00306163	0.00374308	0.0130424	0.00207375	0.0518806	0.134289	0.196049	0.176856	0.129742	0.109995	0.178343
á	0.00174296	0.00734023	0.00337261	0.00748245	0.00535978	0.0380281	0.138032	0.198185	0.256635	0.185223	0.0462275	0.112372
á	0.00464048	0.00351508	0.0046845	0.00754899	0.000780975	0.0218846	0.0372002	0.0830683	0.127449	0.276523	0.320608	0.112097
</S>	0.00549492	0.00633154	0.00750894	0.00633	0.00147552	0.0250273	0.0296703	0.0591174	0.0816414	0.217165	0.360986	0.199252
