 	mes	parents	paternels	se	sont	accordés	avec	ma	famille	maternelle	</S>
l	0.298068	0.362655	0.16342	0.114569	0.0177621	0.0175576	0.00837626	0.0102122	0.00725718	5.16414e-05	7.0751e-05
e	0.0963832	0.428521	0.330603	0.0538345	0.0184434	0.028891	0.0158357	0.0134876	0.00969298	0.00306343	0.00124492
n	0.042928	0.169598	0.660167	0.03622	0.0133851	0.0179833	0.0183986	0.00603901	0.00431716	0.0258348	0.00512904
g	0.734468	0.0935213	0.101811	0.0197652	0.00234615	0.00421404	0.00312534	0.0273807	0.000722874	0.00319843	0.00944659
a	0.482527	0.239909	0.223662	0.0274401	0.00153724	0.00339066	0.00274177	0.0110705	0.000632424	0.0027445	0.00434402
n	0.109626	0.0552791	0.289613	0.265081	0.0903711	0.0590879	0.0425206	0.0201593	0.013719	0.00426525	0.0502781
d	0.471537	0.054023	0.176209	0.0748367	0.0289083	0.0324884	0.0167434	0.0675683	0.00546605	0.00475342	0.0674667
z	0.206761	0.0137608	0.557953	0.083348	0.0138127	0.0123955	0.0142368	0.0526161	0.00198386	0.0113455	0.031786
á	0.14664	0.0166406	0.614147	0.0568537	0.0144929	0.0184925	0.0205947	0.0657616	0.00272388	0.00941145	0.0342418
l	0.0426692	0.0198334	0.296453	0.313063	0.0994582	0.0638013	0.0421903	0.0100285	0.00675428	0.00452886	0.101221
á	0.30099	0.0268263	0.232471	0.212028	0.0680375	0.0442216	0.0327154	0.0550645	0.00775648	0.00593171	0.0139583
n	0.149391	0.00726093	0.0418135	0.324319	0.308583	0.0854324	0.0420664	0.0148565	0.0156448	0.00178785	0.0088447
g	0.410487	0.0110462	0.0311968	0.129087	0.0711131	0.0488769	0.0312708	0.215335	0.00647108	0.0103394	0.0347761
á	0.321978	0.0212045	0.037249	0.136625	0.0542361	0.111293	0.0475569	0.224534	0.00619175	0.025785	0.0133473
í	0.00814188	0.0011607	0.0110615	0.143169	0.473629	0.165035	0.136498	0.0300428	0.0226108	0.00255233	0.00609843
m	0.00618305	0.00124618	0.00371619	0.024201	0.196816	0.378553	0.281166	0.0564917	0.0391968	0.00596867	0.00646058
i	0.00245173	0.000609729	0.00156784	0.0219083	0.283604	0.28469	0.217411	0.0710099	0.0696537	0.0296677	0.0174265
b	0.00503447	0.00248751	0.00381964	0.0167745	0.0978801	0.444299	0.252323	0.0536858	0.080038	0.0298034	0.013854
é	0.0017958	0.00931366	0.00245582	0.0142134	0.139141	0.423815	0.264471	0.0145013	0.0523283	0.0337572	0.0442071
n	0.00178694	0.00174572	0.00544826	0.0203016	0.108379	0.32102	0.289687	0.0165317	0.0615531	0.0250945	0.148453
y	0.012943	0.00370395	0.00945944	0.0302375	0.116504	0.38182	0.243145	0.117415	0.0298934	0.00633786	0.04854
á	0.00120172	0.00228992	0.00484017	0.0303625	0.0798901	0.297293	0.275642	0.0851558	0.0418221	0.0180583	0.163444
l	0.00294902	0.000667616	0.00197681	0.00696654	0.0502269	0.132738	0.169793	0.45271	0.16117	0.0136175	0.00718473
a	0.00652079	0.00138847	0.00224091	0.00510824	0.0209547	0.104318	0.173276	0.305216	0.178467	0.0671877	0.135323
o	0.00956518	0.00233225	0.00571364	0.0104299	0.0243686	0.0412035	0.121558	0.324487	0.212891	0.225571	0.0218804
m	0.000515495	0.000865117	0.000646779	0.00142525	0.00324726	0.0134632	0.019153	0.0345106	0.198476	0.696892	0.0308057
b	0.000135561	0.00195151	0.00104459	0.00423162	0.00791526	0.0106793	0.0143314	0.0105602	0.0532112	0.84392	0.0520198
ó	3.23275e-05	0.000360653	0.000242291	0.00135578	0.00455666	0.0242469	0.0248145	0.0105197	0.052815	0.716317	0.164739
n	0.000177031	0.000298204	0.000561244	0.00219283	0.0149131	0.0237259	0.0323667	0.0147597	0.0272789	0.496999	0.386728
o	0.00178323	0.00649897	0.00846422	0.00940514	0.00894555	0.0441348	0.0319024	0.0771675	0.0700409	0.586878	0.15478
</S>	0.0251984	0.0108065	0.0147194	0.0144049	0.0140098	0.0406641	0.0301675	0.0824227	0.131992	0.205593	0.430021
