 	les	femmes	le	quittent	parce	qu'	il	est	fainéant	</S>
a	0.907765	0.072643	0.0058356	0.00379764	0.00186031	0.00156009	0.000247705	6.46373e-05	0.00618159	4.39105e-05
y	0.0327905	0.950389	0.00707508	0.000652643	0.000192091	0.000179213	0.000252818	0.000143499	0.00808523	0.000240194
ú	0.525191	0.460759	0.011275	0.000726269	0.000728967	0.000436418	0.000321531	0.000209821	0.000116235	0.000235595
r	0.787053	0.205365	0.00319722	6.71643e-05	0.000135172	0.0002944	0.000140038	0.00127988	0.000171166	0.00229671
u	0.938132	0.0372365	0.0118894	0.000325176	0.00253263	0.00256462	0.00169947	0.00110513	0.00023308	0.00428189
b	0.222763	0.0177421	0.571425	0.0202064	0.0275548	0.0374668	0.0337729	0.0223074	0.00187545	0.0448856
á	0.162661	0.00211606	0.496352	0.0733464	0.0460498	0.0712203	0.0668014	0.0289933	0.0191707	0.0332891
a	0.0655542	0.00230503	0.595288	0.199522	0.0375362	0.0285743	0.029008	0.0110175	0.00402612	0.0271689
t	0.0226997	0.00345848	0.42704	0.364376	0.0249388	0.0296307	0.019292	0.0639075	0.00492657	0.0397311
ó	0.0114106	0.000573686	0.230114	0.584745	0.0658077	0.0323474	0.0234465	0.0145903	0.0067812	0.0301838
n	0.0501309	0.00115542	0.369533	0.434076	0.0266212	0.034544	0.0360881	0.0219064	0.00856307	0.0173821
á	0.101587	0.00144958	0.217485	0.469089	0.09615	0.0399116	0.0251224	0.00726352	0.00183702	0.0401052
w	0.0445395	0.000280545	0.0615872	0.150733	0.458822	0.202565	0.0671012	0.0065935	0.00327556	0.00450232
a	0.0188462	0.000340541	0.0319485	0.254418	0.402123	0.148675	0.124259	0.00241141	0.00315637	0.013822
t	0.00345225	6.64424e-05	0.0418068	0.117807	0.430286	0.264456	0.120359	0.0086187	0.00229628	0.0108505
s	0.0333945	0.000357911	0.0255596	0.0561205	0.242471	0.379644	0.220473	0.00709871	0.00374631	0.0311346
í	0.000609312	6.23701e-06	0.0141619	0.232306	0.125396	0.405751	0.182501	0.00678173	0.0051281	0.027358
n	0.00200637	0.000239067	0.0190282	0.76086	0.0631355	0.0461327	0.0542053	0.00215047	0.0163497	0.0358927
a	0.0240284	0.000655459	0.0200284	0.260087	0.126717	0.103377	0.168198	0.00699292	0.00587403	0.284041
w	0.00310062	5.21632e-05	0.0160701	0.0184592	0.0853767	0.322635	0.446288	0.0870862	0.00471067	0.016221
a	0.0268367	0.000400264	0.0552559	0.0405328	0.180294	0.230234	0.36368	0.0378448	0.00625574	0.058665
a	0.00575515	4.38034e-05	0.00957687	0.00316997	0.0477935	0.175124	0.483416	0.14175	0.0172907	0.11608
d	0.00132769	0.000112945	0.0180561	0.00277705	0.0091895	0.0345179	0.0914162	0.659286	0.0153545	0.167962
í	0.00248139	0.00115056	0.00300555	0.000932205	0.0140281	0.0231978	0.0680137	0.492289	0.013596	0.381306
e	0.0075012	2.58255e-05	0.00193974	0.000202646	0.00477208	0.0384378	0.0472012	0.350902	0.107221	0.441797
b	0.00160693	0.00201482	0.00192237	0.00163539	0.00251257	0.00387666	0.0111878	0.160028	0.725751	0.0894637
ώ	0.000235279	4.44777e-05	0.00216171	0.00124403	0.00158086	0.00106579	0.0026057	0.0199524	0.956782	0.0143282
l	0.000102939	1.41521e-06	0.000135844	0.000217244	0.000408472	0.00202418	0.00479175	0.00261485	0.947297	0.042406
ώ	0.000289207	1.69865e-05	0.00328989	0.00338766	0.0112052	0.0416224	0.0815809	0.0424419	0.60452	0.211646
ώ	0.00240662	1.54368e-05	0.000791119	7.76011e-05	0.00169298	0.00870846	0.00875333	0.0789104	0.478064	0.42058
</S>	0.016475	0.000146323	0.00553302	0.000491067	0.00792706	0.0421925	0.0184483	0.376407	0.210296	0.322084
