 	orateur	tu	as	bien	parlé	</S>
o	0.950152	0.0340866	0.0102165	0.00463744	0.00039964	0.000507708
b	0.470978	0.0275139	0.0406471	0.0478668	0.233443	0.179552
h	0.157666	0.0114428	0.00990237	0.127473	0.630517	0.0629994
ώ	0.0684339	0.0105991	0.0129135	0.268065	0.501747	0.138242
i	0.0325898	0.0635291	0.0804445	0.37416	0.223379	0.225898
n	0.0193167	0.124708	0.281956	0.281893	0.196265	0.0958614
ω	0.030643	0.580382	0.259635	0.0612902	0.0289885	0.0390619
i	0.00840904	0.0532135	0.175712	0.400833	0.177212	0.184621
s	0.0058886	0.00847591	0.0236228	0.309661	0.403253	0.249099
w	0.00368683	0.00710825	0.016477	0.20584	0.446809	0.320079
a	0.00152211	0.009309	0.0182078	0.111329	0.31428	0.545352
</S>	0.00143918	0.00384866	0.00412913	0.0604445	0.208442	0.721697
