 	monzo	se	bat	à	couper	l'	arbre	obhimbi	</S>
m	0.840641	0.136859	0.0128637	0.00526538	0.00107701	0.000679175	0.000727651	0.0017415	0.000146545
ω	0.924537	0.0592486	0.0091234	0.00305162	0.000366121	0.00138101	0.000660443	0.000580653	0.00105073
n	0.278773	0.599853	0.0411059	0.00912771	0.00385973	0.00920311	0.00610868	0.0305668	0.0214015
d	0.808811	0.136415	0.019127	0.0117351	0.00458254	0.00638791	0.000468861	0.00105677	0.011416
z	0.972318	0.0191148	0.00371282	0.000931661	0.000957436	0.000922152	5.1406e-05	5.79225e-05	0.00193381
ω	0.891161	0.0383283	0.0213754	0.00386098	0.00640286	0.00843816	0.000594131	0.00055392	0.0292854
b	0.0720874	0.444576	0.138396	0.0484102	0.0242455	0.0324707	0.00823887	0.0108625	0.220713
ó	0.0198862	0.271532	0.313667	0.0887055	0.0197461	0.0637916	0.0187658	0.0296396	0.174266
l	0.0383241	0.182647	0.381532	0.204739	0.00507188	0.0565804	0.0271052	0.0144932	0.0895068
á	0.0134801	0.109864	0.208411	0.143974	0.0250163	0.0994997	0.0492606	0.0196006	0.330894
a	0.176035	0.20806	0.17648	0.320368	0.0183759	0.0265088	0.020603	0.00912522	0.0444441
d	0.00349199	0.0240888	0.687917	0.11897	0.151096	0.00449039	0.00290088	0.00234055	0.00470463
z	0.00177446	0.0103937	0.823059	0.0572963	0.0828651	0.00683044	0.00178204	0.00300312	0.0129957
a	0.0307001	0.0304146	0.594407	0.131562	0.179111	0.0185648	0.00218767	0.00579475	0.00725846
n	0.00284838	0.0212023	0.471569	0.275195	0.147195	0.0298501	0.0104265	0.00837529	0.0333379
g	0.00168156	0.00892233	0.410244	0.206441	0.241042	0.0639446	0.0262938	0.00601582	0.0354141
á	0.000354067	0.0145052	0.531083	0.197152	0.124656	0.0692228	0.00620927	0.00558697	0.0512305
l	0.0004892	0.00451096	0.08068	0.617666	0.106864	0.147301	0.0216596	0.0101555	0.0106731
o	0.000298244	0.00635683	0.0323423	0.296911	0.147014	0.213376	0.0336901	0.0209584	0.249053
k	0.00159248	0.00182414	0.0166902	0.0520282	0.588278	0.265107	0.00580782	0.0270984	0.0415738
w	8.64455e-05	0.000379342	0.0021671	0.00162017	0.963279	0.018963	0.00138978	0.0099652	0.0021495
ε	0.000107436	0.000735392	0.0100605	0.00708925	0.893246	0.0540952	0.00419973	0.0171359	0.0133306
r	0.000178166	0.00102557	0.028575	0.0358596	0.424366	0.292097	0.0365422	0.0879064	0.0934497
έ	0.000101117	0.000427505	0.00353473	0.00972572	0.891235	0.0491922	0.00811018	0.00341879	0.0342552
o	7.52084e-05	0.00108199	0.00545992	0.0492202	0.011339	0.414469	0.307617	0.0597896	0.150948
b	0.000193387	0.00187152	0.00449196	0.0106299	0.0529324	0.0909617	0.337474	0.440107	0.061338
h	0.000351923	0.00488172	0.00687371	0.00949529	0.018772	0.0218744	0.157083	0.771031	0.0096362
í	0.000327054	0.000374121	0.00422098	0.00232898	0.0102633	0.0181596	0.0496565	0.895377	0.0192921
m	6.30674e-05	9.47357e-05	0.00207044	0.00417423	0.023408	0.0952586	0.145886	0.571196	0.157849
b	5.23497e-05	0.000312286	0.00119295	0.00249085	0.000670184	0.0469598	0.134475	0.684884	0.128962
í	0.00020458	0.000661888	0.00765517	0.00271941	0.0014719	0.0303525	0.0404317	0.789723	0.126779
</S>	0.000128836	0.000417762	0.00347632	0.0046614	0.00551529	0.0578983	0.116468	0.493916	0.317518
