 	est-ce	toi	qui	nous	bloque	le	passage	</S>
o	0.308595	0.369812	0.0692684	0.0164484	0.209291	0.0225295	0.00361024	0.000446096
k	0.00808012	0.00676484	0.011585	0.00582888	0.84765	0.0308589	0.0572224	0.0320103
a	0.0246819	0.00642886	0.0106314	0.0190521	0.463892	0.245227	0.218518	0.011568
n	0.00719409	0.00425964	0.0256355	0.0594016	0.780637	0.107389	0.0100597	0.00542356
g	0.283634	0.0473036	0.0767576	0.035319	0.410816	0.0734273	0.0246523	0.0480894
i	0.479052	0.125141	0.143985	0.021908	0.118645	0.0157764	0.0151245	0.0803676
b	0.0523602	0.158811	0.25718	0.186884	0.151879	0.0968156	0.0455204	0.0505507
í	0.0150185	0.0646687	0.132713	0.287263	0.08894	0.150531	0.0968793	0.163986
s	0.00101746	0.041248	0.0157146	0.853546	0.0376145	0.0235967	0.00445616	0.022807
í	0.0300756	0.042928	0.0501304	0.289655	0.308837	0.192766	0.0220523	0.0635557
k	0.00256803	0.0300815	0.0472534	0.245088	0.0627418	0.382695	0.0231962	0.206375
ó	0.00104217	0.00803696	0.00186496	0.061976	0.0250003	0.189776	0.683111	0.029193
ó	0.00016384	0.00317769	0.0136907	0.152873	0.0550245	0.591222	0.115617	0.0682308
l	0.00152981	0.00195475	0.0145293	0.0103534	0.00649203	0.0781749	0.0318405	0.855125
í	0.00214527	0.00479141	0.0153762	0.0124469	0.00760692	0.0630978	0.0175094	0.877026
n	0.00467104	0.0241762	0.034009	0.0956764	0.0269648	0.382751	0.00880481	0.422947
ω	0.00419704	0.0311133	0.0371448	0.131915	0.0260686	0.0404209	0.000967256	0.728173
</S>	0.000154019	0.00264653	0.0109496	0.0251365	0.00360008	0.037866	0.00531014	0.914337
