 	celui	qui	attaque	cet	enfant	mystiquement	c'	est	son	ami	</S>
o	0.833361	0.100732	0.00772849	0.0277162	0.0216091	0.000245612	0.00346212	0.000405327	0.00401464	0.000675465	5.01879e-05
m	0.0370263	0.0451106	0.646883	0.0720432	0.0818684	0.0392202	0.00855843	0.00950817	0.0059672	0.049186	0.00462874
e	0.0267095	0.154016	0.682861	0.0800375	0.0498062	0.00132097	0.00240058	0.000465097	0.000181687	0.0015321	0.000669388
i	0.0251847	0.0535131	0.716662	0.0623845	0.0271179	0.0028326	0.0072929	0.00648338	0.00149739	0.0113414	0.0856903
m	0.00380146	0.0309915	0.629417	0.0693099	0.159756	0.00828407	0.00507956	0.00637672	0.00068675	0.0273163	0.0589807
w	0.000639094	0.00073535	0.00301872	0.029166	0.941216	0.00485331	0.00862997	0.00124264	0.000608339	0.00029752	0.00959271
á	0.000696427	0.000294168	0.000506237	0.0113374	0.952879	0.00880976	0.0149971	0.00244936	0.00179332	0.00219341	0.00404375
n	0.0172248	0.00842189	0.00353217	0.0409069	0.845	0.0306415	0.0320756	0.00320017	0.0020223	0.00327807	0.0136969
a	0.00516676	0.00448384	0.0029976	0.0766388	0.678184	0.18544	0.0169268	0.00303159	0.00352821	0.000395366	0.0232072
w	0.121464	0.0786262	0.0211087	0.387851	0.023759	0.228362	0.0865133	0.0135187	0.0238293	0.0020733	0.0128947
ó	0.0223145	0.0250883	0.00876153	0.120346	0.00934958	0.114351	0.448484	0.0945028	0.0912866	0.00525796	0.0602579
é	0.0152784	0.0141655	0.027435	0.0910082	0.00935352	0.0855044	0.496073	0.0827183	0.0332594	0.00835029	0.136854
d	0.00507909	0.0129715	0.0325648	0.0178612	0.000969261	0.166603	0.409551	0.251456	0.014739	0.0121294	0.0760757
i	0.003867	0.00267331	0.0144118	0.014706	0.00513623	0.089857	0.256994	0.270954	0.0176482	0.00164595	0.322107
n	0.00240413	0.00129037	0.00762137	0.0325549	0.00983177	0.219789	0.313302	0.267408	0.0343545	0.0181372	0.0933071
d	0.000569798	0.000773335	0.000262849	0.0125736	0.0146149	0.291207	0.280259	0.0822612	0.22271	0.00400989	0.0907583
ú	0.000464035	0.000678073	0.000451092	0.0104992	0.00344927	0.337281	0.240273	0.11029	0.143152	0.0098574	0.143606
ú	0.000670196	0.00204481	0.00206248	0.0333491	0.00491774	0.312215	0.296427	0.121215	0.131457	0.00486777	0.0907738
y	0.000344648	0.000523869	0.000976757	0.00913676	0.000301029	0.0360587	0.26182	0.379963	0.14392	0.0108911	0.156064
a	0.00736984	0.00541753	0.00186587	0.00865835	0.000214282	0.0193176	0.201167	0.29735	0.269846	0.0157102	0.173084
w	0.00117816	0.00236196	0.00116446	0.00351907	0.000104898	0.00275566	0.0678497	0.216282	0.545677	0.0658579	0.0932494
a	0.00216755	0.00246568	0.00206646	0.00360178	0.000685424	0.0198711	0.123861	0.436456	0.257616	0.0800708	0.0711378
</S>	0.0001099	0.000229675	0.000194963	0.00090261	0.000127711	0.00210374	0.0558137	0.228159	0.318029	0.02909	0.36524
