 	la	marmite	qui	est	au	feu	a	séché	</S>
n	0.291568	0.48479	0.138816	0.0324006	0.0279266	0.0132428	0.0088421	0.000670193	0.0017444
z	0.131818	0.854729	0.00496031	0.00300406	0.00311927	0.00208664	0.000211947	1.87342e-05	5.20663e-05
ú	0.007694	0.976359	0.000732441	0.00747482	0.00552557	0.00126681	0.000466775	0.000231132	0.000249944
n	0.0256081	0.942442	0.00741354	0.0100888	0.0125103	0.0011771	0.000214649	0.000269338	0.000275981
g	0.326285	0.513577	0.0444983	0.015507	0.0217917	0.00304355	0.00369327	0.00196177	0.0696427
u	0.201689	0.659621	0.0297041	0.0267188	0.0445463	0.00487337	0.0029053	0.00344957	0.0264923
y	0.104892	0.0383441	0.491786	0.108792	0.120519	0.00769024	0.0946689	0.00711425	0.0261941
é	0.371193	0.0263395	0.13509	0.137823	0.21749	0.0303635	0.0498266	0.00461082	0.0272639
é	0.158788	0.0108939	0.160386	0.129404	0.269101	0.0828746	0.12966	0.0135093	0.0453832
d	0.0186967	0.00183782	0.0349732	0.160825	0.156335	0.0195193	0.508255	0.0711483	0.028409
i	0.00553751	0.000234592	0.0123925	0.45808	0.112391	0.0176673	0.151249	0.0422285	0.20022
ó	0.0210918	0.00082227	0.034402	0.271221	0.184228	0.0589886	0.198853	0.0932654	0.137128
m	0.00240188	0.00120936	0.00698471	0.0531869	0.144892	0.146205	0.255824	0.352403	0.0368937
í	0.00167868	4.79294e-05	0.00922437	0.0403326	0.0377702	0.411819	0.117419	0.147165	0.234543
á	0.00590199	8.57702e-05	0.0352334	0.0756981	0.0717865	0.165567	0.207125	0.268453	0.17015
é	0.00264793	0.000426337	0.00888552	0.018931	0.0459583	0.081916	0.395255	0.276661	0.169319
m	0.00277605	0.000642146	0.00435649	0.0196572	0.0312663	0.0242926	0.219133	0.628344	0.0695321
i	0.00514188	0.000344888	0.0129355	0.0212074	0.0271848	0.162786	0.251881	0.33647	0.182048
k	0.000831314	0.000311733	0.000602374	0.00396937	0.00593947	0.00281237	0.0406962	0.870885	0.0739524
á	2.8599e-05	0.000133535	0.000209104	0.00241796	0.00207363	0.000164353	0.00262385	0.946866	0.0454825
r	0.000859883	0.00149047	0.00225672	0.0170648	0.0494688	0.00224542	0.041458	0.738408	0.146748
a	0.00868542	0.0214525	0.0130537	0.0339217	0.0972414	0.0192795	0.0503095	0.517206	0.23885
</S>	0.00354925	0.000905196	0.0174789	0.0152678	0.133076	0.0476437	0.115709	0.207312	0.459058
