 	il	avait	tellement	faim	il	a	avala	tout	d'	un	coup	</S>
n	0.888729	0.0516136	0.00591786	0.0244514	0.0121302	0.00480178	0.00207631	0.00210277	0.00316712	0.00484568	0.000124521	3.93929e-05
z	0.851008	0.127461	0.00436151	0.00451169	0.00390375	0.00472649	0.000376986	0.000633594	0.0010834	0.00142697	0.000477714	2.84819e-05
á	0.521389	0.274709	0.0259171	0.0809306	0.0306307	0.0186749	0.00514749	0.0124078	0.00939337	0.00439166	0.0118353	0.00457367
á	0.455601	0.354693	0.0269263	0.0134854	0.0211562	0.0267275	0.00393883	0.00390807	0.00643502	0.0128305	0.0257995	0.0484985
á	0.202098	0.501218	0.0256015	0.00909963	0.0398097	0.0473834	0.0297898	0.0220746	0.0235988	0.0152708	0.0067371	0.0773189
d	0.06609	0.601248	0.155954	0.00871768	0.0107178	0.0126752	0.0284468	0.0179256	0.0251303	0.0118446	0.0203465	0.040904
z	0.0278341	0.497793	0.256607	0.022515	0.014618	0.0177618	0.0100655	0.00801847	0.0149423	0.0066228	0.0243268	0.0988951
a	0.250881	0.523532	0.0727108	0.0520621	0.0184266	0.0292489	0.00483613	0.00342496	0.00638729	0.00435727	0.00638361	0.0277494
é	0.0177091	0.082723	0.287462	0.0630855	0.0345783	0.0252346	0.0444041	0.044387	0.0755323	0.0614631	0.0291833	0.234238
m	0.00677287	0.132674	0.519993	0.156363	0.0336525	0.0181675	0.0273804	0.0199117	0.0234111	0.0158887	0.0156864	0.030099
i	0.000932367	0.0591254	0.711674	0.0770651	0.0374323	0.0508639	0.029259	0.00532678	0.00706084	0.00449245	0.00176449	0.0150031
s	0.000316044	0.0450268	0.797451	0.090829	0.00752987	0.00491399	0.0157647	0.00390435	0.00399738	0.00158045	0.00658742	0.022099
á	0.00243936	0.110791	0.542534	0.140981	0.0297963	0.0303744	0.00911019	0.00492153	0.00820781	0.00381165	0.0191139	0.0979195
á	0.00650557	0.0285515	0.0830109	0.468437	0.143259	0.0828208	0.0170601	0.0148899	0.0218483	0.0323118	0.0215541	0.0797513
o	0.0182588	0.0454387	0.0892507	0.276699	0.28249	0.120307	0.0400928	0.0247245	0.0276169	0.0320407	0.013844	0.0292372
p	0.00102221	0.0237285	0.390946	0.288758	0.0961986	0.0447908	0.0758656	0.0107933	0.00464146	0.00247202	0.0538167	0.00696672
é	0.000308591	0.0110398	0.103289	0.430818	0.0972361	0.0385342	0.103258	0.0378387	0.0195752	0.00909233	0.0894207	0.059589
n	0.000391632	0.00362113	0.0392273	0.465009	0.149265	0.0450562	0.103154	0.0561997	0.0401602	0.022659	0.0279666	0.0472898
d	0.00147853	0.00487082	0.0225947	0.473452	0.104423	0.0363391	0.050956	0.0630547	0.0451021	0.0149047	0.0443858	0.138438
a	0.00708404	0.0251295	0.0425037	0.335624	0.135585	0.0454571	0.0130732	0.0252699	0.0260262	0.0148888	0.0591727	0.270186
w	0.000989871	0.00368175	0.0066306	0.116165	0.297342	0.22583	0.124356	0.0880456	0.0568595	0.0391162	0.00961446	0.0313695
a	0.00524811	0.00561258	0.0131581	0.141214	0.266399	0.10128	0.0812466	0.179348	0.0678302	0.0637787	0.0176222	0.0572621
a	0.00105162	0.00201096	0.0036338	0.0294956	0.253016	0.246464	0.155452	0.130239	0.0607718	0.0587958	0.0111341	0.047935
b	0.00151604	0.021689	0.0177169	0.00792078	0.0587411	0.12142	0.315807	0.188821	0.104339	0.0829495	0.0341262	0.0449543
á	0.000397108	0.00397134	0.0219536	0.00530989	0.0268437	0.031826	0.230427	0.29193	0.166147	0.125685	0.056621	0.0388888
r	0.00054642	0.00095185	0.00344274	0.0109069	0.0393416	0.0473299	0.134116	0.245164	0.137741	0.0980948	0.0744348	0.20793
i	0.00137144	0.00284604	0.00329065	0.0305805	0.138284	0.19271	0.0594903	0.124512	0.10672	0.0647775	0.076026	0.199391
o	0.000197832	0.00103423	0.00114161	0.00538225	0.0747585	0.132537	0.159713	0.178136	0.188683	0.215155	0.0145976	0.0286638
m	0.000279586	0.0145499	0.026249	0.00674423	0.0072326	0.0215042	0.0995187	0.108259	0.0935488	0.119784	0.46937	0.0329603
i	0.0011716	0.017632	0.0587671	0.00746923	0.0289437	0.137664	0.0440922	0.0334617	0.0626333	0.157543	0.257976	0.192647
á	1.70572e-05	0.00179266	0.0152408	0.00250957	0.00568728	0.0302202	0.0931619	0.0829035	0.211559	0.30462	0.121695	0.130594
b	0.00113953	0.00257856	0.00306569	0.00803864	0.0240592	0.0460872	0.066788	0.148372	0.175253	0.190876	0.145864	0.187877
y	0.00220628	0.00305593	0.0264588	0.00464398	0.0366131	0.0478564	0.0563927	0.153981	0.134307	0.260003	0.18706	0.0874225
ó	0.000477864	0.000365275	0.00549233	0.00431643	0.00457844	0.00620016	0.0393475	0.173112	0.11729	0.0908952	0.423832	0.134094
</S>	5.2119e-05	0.000102915	0.00237372	0.00496272	0.0114635	0.017812	0.0488103	0.140523	0.127279	0.114357	0.432892	0.0993719
