 	elle	fait	une	boule	de	manioc	</S>
w	0.893086	0.0790006	0.0256703	0.000649465	0.000859007	0.000557539	0.000177491
a	0.952817	0.0208598	0.0247832	0.000196517	0.00121433	5.57827e-05	7.36962e-05
á	0.166416	0.641285	0.185616	0.00318504	0.0020124	0.000443502	0.00104135
m	0.048007	0.646143	0.242754	0.0372574	0.0088942	0.00143431	0.01551
i	0.0308314	0.341341	0.370924	0.171696	0.030799	0.00224357	0.0521652
k	0.00854932	0.183426	0.382774	0.407403	0.00550025	0.00130088	0.0110471
y	0.00172043	0.113903	0.271095	0.571756	0.00629044	0.00462589	0.0306093
á	0.00509046	0.440519	0.372076	0.147635	0.0100105	0.0118358	0.0128321
o	0.230029	0.153473	0.332289	0.0612876	0.0321604	0.0292114	0.16155
b	0.00253073	0.0210798	0.0918106	0.794706	0.0423411	0.0398712	0.00766042
ó	0.00255528	0.0072357	0.0280708	0.925521	0.00607099	0.0165407	0.0140054
o	6.80544e-05	0.00206458	0.008979	0.921397	0.00379391	0.0517475	0.0119496
m	0.00068821	0.011136	0.0487141	0.126474	0.533048	0.122031	0.157909
á	0.0123347	0.004638	0.0209626	0.05621	0.376899	0.0257713	0.503184
e	0.0198868	0.0215233	0.0643114	0.043502	0.304586	0.519436	0.0267541
k	0.000757018	0.005545	0.0151991	0.0596004	0.149811	0.735671	0.0334162
ώ	0.00014855	0.00183066	0.00542331	0.0105178	0.0262942	0.948822	0.00696314
ώ	4.04549e-05	0.000118318	0.000834643	0.00452822	0.0318755	0.936747	0.0258555
</S>	0.000552038	0.00137915	0.00540848	0.00348677	0.435875	0.246381	0.306918
