 	j'	ai	été	présent	à	son	mariage	</S>
n	0.810124	0.0797765	0.0506397	0.00873066	0.0328922	0.0168418	0.000672476	0.000322478
g	0.961401	0.0322364	0.00432993	0.000200437	0.00053872	0.00114938	0.000131271	1.2353e-05
á	0.861317	0.117368	0.0160394	0.000632341	0.000997756	0.00116045	0.00239844	8.60056e-05
í	0.0956711	0.456673	0.197457	0.0341119	0.0206172	0.0239226	0.0226258	0.148922
k	0.00590271	0.213727	0.687273	0.0756029	0.0044292	0.00170858	0.00205901	0.00929797
y	0.000343022	0.0236274	0.533826	0.403906	0.016538	0.00371661	0.00271382	0.0153298
έ	0.00779796	0.0723659	0.468383	0.445087	0.00328582	0.00162673	0.000427367	0.00102586
l	0.0267778	0.0693287	0.175802	0.662659	0.0184854	0.0114038	0.00411342	0.0314294
i	0.012994	0.0948133	0.31315	0.461524	0.0518757	0.0440853	0.0110942	0.0104631
i	0.101777	0.16783	0.0941151	0.0904929	0.245926	0.209137	0.0291556	0.0615669
m	0.00204744	0.0507583	0.0659874	0.152542	0.490279	0.153577	0.0448358	0.039973
í	0.000900084	0.014475	0.00495128	0.0272829	0.221418	0.0815111	0.514428	0.135033
t	0.000810583	0.0190811	0.012886	0.0181004	0.51174	0.0948444	0.295365	0.0471731
ώ	6.63033e-05	0.00220539	0.0288766	0.223823	0.399765	0.16765	0.142388	0.0352253
ω	6.79599e-05	0.00138261	0.011311	0.114738	0.515331	0.186123	0.0856004	0.0854459
l	5.67805e-05	0.00324008	0.00343091	0.0117578	0.300463	0.460706	0.103362	0.116983
á	0.00144271	0.0141704	0.0267541	0.0277005	0.216372	0.206411	0.17951	0.327639
w	0.02704	0.0220149	0.0122384	0.00405217	0.0735597	0.641942	0.1724	0.0467536
a	0.0192808	0.00978494	0.0138397	0.00474552	0.135879	0.508786	0.277323	0.0303607
</S>	0.00138847	0.00113334	0.00144448	0.00162603	0.102899	0.446264	0.300528	0.144716
