 	l'	enfant	a	des	traces	de	rasages	sur	sa	tête	</S>
m	0.888577	0.0984967	0.00151558	0.0023748	0.00284322	0.00293481	0.000248559	0.00127293	0.000829384	0.000817647	8.96427e-05
w	0.0154652	0.978391	0.00439503	0.000923445	0.000219536	0.000285431	0.000105978	2.51652e-05	7.01565e-05	1.61672e-06	0.000117447
á	0.0779485	0.915546	0.00216151	0.00222575	0.00120124	0.000340391	0.000368998	2.37335e-05	3.9957e-05	8.08853e-05	6.25934e-05
n	0.21221	0.784812	0.000650301	0.000402868	0.000169754	0.000385955	7.58805e-05	8.82111e-05	0.000232958	1.14206e-05	0.000960615
a	0.125249	0.707996	0.0437585	0.0147107	0.00453012	0.00777456	0.00960034	0.000389527	0.00108613	4.25757e-05	0.0848624
a	0.603916	0.0991921	0.129351	0.0386652	0.0126205	0.018452	0.00898335	0.0247838	0.0281046	0.0026325	0.0332989
d	0.0414463	0.0369537	0.686502	0.151914	0.0362219	0.0124689	0.00611975	0.00894899	0.00741533	0.00523841	0.00677045
í	0.0443535	0.0365835	0.56921	0.163697	0.025449	0.0163219	0.0387861	0.0103323	0.00825505	0.000135964	0.0868754
l	0.0173745	0.0128375	0.312359	0.208456	0.0487462	0.0656056	0.0708379	0.072119	0.0405624	0.00211986	0.148982
o	0.00589108	0.00420847	0.231727	0.349092	0.0744526	0.0859969	0.014998	0.0126602	0.0140794	0.000195366	0.206698
k	0.102897	0.0279971	0.135312	0.327731	0.31163	0.0397659	0.0250464	0.00305298	0.00315851	0.00276601	0.0206427
y	0.00058342	9.45648e-05	0.023512	0.15717	0.752758	0.0209399	0.00927387	0.00330581	0.00248213	0.0122824	0.0175979
e	0.00252874	0.000359122	0.0255386	0.1318	0.735687	0.0363926	0.0262656	0.00595926	0.00544512	0.00465573	0.0253682
n	0.00232534	0.000476016	0.044277	0.119679	0.4592	0.093789	0.0551191	0.0422884	0.0134679	0.0144114	0.154968
g	0.00591839	0.00234858	0.0357388	0.159131	0.501283	0.14944	0.030459	0.0184706	0.00987701	0.00283788	0.0844953
e	0.021653	0.00561121	0.0436846	0.125838	0.351046	0.298144	0.0190074	0.00534315	0.00608855	0.00157229	0.122013
l	0.00541459	0.000506846	0.0154748	0.0575697	0.152016	0.603961	0.0612781	0.0400546	0.0185112	0.00337182	0.0418423
i	0.00360324	0.000152027	0.0166459	0.0773817	0.212263	0.345858	0.106044	0.0464214	0.038579	0.0011572	0.151895
s	0.00429886	0.000220285	0.00383674	0.0146599	0.0467983	0.337251	0.410297	0.0921392	0.0430936	0.00523993	0.0421651
á	0.00601635	0.000209196	0.00400271	0.0117328	0.0366808	0.0947041	0.661348	0.0599173	0.0408067	0.0035061	0.0810764
s	0.0199465	0.000239756	0.000794311	0.00254253	0.00673227	0.0331723	0.780048	0.0772399	0.0480878	0.0132778	0.0179186
u	0.00326137	0.000692618	0.00118247	0.00296514	0.00590349	0.0373618	0.860782	0.0327991	0.0236091	0.0100785	0.0213644
é	0.000249866	2.3623e-05	4.53198e-05	0.000413267	0.00334009	0.0185094	0.874491	0.0405018	0.0237847	0.00169387	0.0369475
</S>	0.000545301	2.26003e-05	0.00247763	0.00596657	0.0102258	0.0420957	0.0799892	0.405026	0.216882	0.0350064	0.201763
