 	tu	manges	tellement	vite	que	je	ne	veux	pas	manger	dans	une	même	assiette	que	toi	</S>
n	0.830329	0.068564	0.027496	0.0304987	0.0210394	0.00818075	0.00638581	0.000485811	0.00131704	9.76848e-05	0.00022581	0.000907016	0.000461223	0.00195057	0.00179348	0.000225761	4.18385e-05
ω	0.788323	0.0903409	0.00597534	0.0134258	0.00463695	0.0741319	0.00264294	6.48615e-05	0.000173217	6.89453e-05	8.92212e-05	0.00015079	5.2463e-05	0.017476	0.000376918	0.00204703	2.4055e-05
o	0.24506	0.503909	0.0312417	0.0899105	0.027863	0.0534148	0.010113	0.00277765	0.00313464	0.00315864	0.00287785	0.00359004	0.00112508	0.00374192	0.00237776	0.0119306	0.00377375
d	0.0129911	0.3448	0.104177	0.047488	0.0429106	0.01298	0.0349794	0.082615	0.064444	0.0788728	0.0438799	0.0206206	0.017401	0.000673926	0.00547032	0.0046852	0.081011
í	0.00945326	0.276527	0.331958	0.0348258	0.0172455	0.00476644	0.00976191	0.0362102	0.016125	0.137944	0.0178806	0.00779393	0.00196802	0.000667283	0.000556693	0.00338768	0.0929283
l	0.038415	0.238467	0.12155	0.0526389	0.0328153	0.0110963	0.0329644	0.0484012	0.0244139	0.0758029	0.0687732	0.0174743	0.016423	0.00245435	0.00497341	0.00279473	0.210542
i	0.0650105	0.119064	0.0982202	0.0458736	0.0548213	0.0650919	0.0818302	0.0311189	0.0467954	0.0507586	0.0434527	0.0214854	0.0329452	0.0179413	0.0181457	0.0182617	0.189184
m	0.0198301	0.239082	0.191521	0.0652771	0.0483507	0.046445	0.0288639	0.0130068	0.0198901	0.0213559	0.0340388	0.0179349	0.0188568	0.00728981	0.0236896	0.0400304	0.164536
b	0.00740226	0.389591	0.404154	0.0647443	0.0150812	0.00366698	0.00820434	0.00506085	0.00869223	0.0175722	0.0105265	0.00498091	0.00274364	0.000114045	0.000603767	0.00768891	0.0491729
a	0.00224246	0.127478	0.565049	0.177252	0.036349	0.00267549	0.00935349	0.00329785	0.00485448	0.00431537	0.0104937	0.0100923	0.00350331	0.000248014	0.00146426	0.0219146	0.0194168
m	0.0192529	0.148142	0.599336	0.0650908	0.0300095	0.00289337	0.0188889	0.00223203	0.0116537	0.00621095	0.0132983	0.00577934	0.00523345	0.000392743	0.00270541	0.0104278	0.0584528
b	0.0280143	0.18918	0.421473	0.144735	0.115212	0.00846247	0.0200385	0.00242481	0.00903307	0.0043613	0.00784963	0.0047847	0.00550685	0.000685052	0.00246863	0.00494173	0.0308283
á	0.0319766	0.138869	0.396655	0.155393	0.0906167	0.0101807	0.0229777	0.00234435	0.0119633	0.00710926	0.0171935	0.00962071	0.0100025	0.0019775	0.00526078	0.0391934	0.0486654
a	0.0163323	0.110015	0.18241	0.28327	0.172195	0.0346424	0.0401371	0.00797271	0.0209485	0.00569042	0.0115427	0.00898791	0.0157665	0.00295125	0.0115835	0.00247294	0.0730814
d	0.00801724	0.0600439	0.153737	0.231927	0.19683	0.0741462	0.0633372	0.0353945	0.0215551	0.0208635	0.023001	0.00721292	0.00912688	0.0174439	0.0268386	0.0107668	0.0397587
i	0.000454476	0.0173988	0.146262	0.199432	0.122716	0.0197647	0.0628875	0.0857354	0.0201214	0.0534087	0.0424592	0.00990515	0.0197033	0.0201762	0.0114576	0.00244166	0.165675
a	0.000892167	0.0243041	0.168296	0.342197	0.230279	0.0231725	0.0516201	0.0517527	0.0198243	0.0166057	0.018406	0.00916869	0.00810556	0.00261397	0.00487833	0.00137024	0.0265133
b	0.0024364	0.0354701	0.0596061	0.155095	0.301323	0.105509	0.0924859	0.0941108	0.0241543	0.0249294	0.0248665	0.00782098	0.00518286	0.00694472	0.0145376	0.00984243	0.0356847
v	0.00377149	0.0176502	0.116282	0.0745914	0.271107	0.0393248	0.224287	0.0788134	0.0315855	0.0145799	0.0247566	0.024869	0.0226056	0.00695193	0.00678712	0.0164411	0.0255952
ú	0.0033247	0.00542405	0.0639535	0.0482944	0.293316	0.0749391	0.239578	0.0416628	0.0307669	0.00880794	0.0254412	0.0235304	0.0563536	0.0109016	0.0173324	0.0215155	0.0348574
u	0.00918167	0.00314981	0.0374201	0.258686	0.383629	0.0684631	0.0687872	0.0456294	0.0204381	0.0140691	0.0117999	0.0170934	0.00878496	0.000627872	0.00276879	0.00350326	0.0459679
