 	son	oncle	est	mort	il	y	a	deux	ans	</S>
n	0.914833	0.0432391	0.00909072	0.00439778	0.00793626	0.0131108	0.00518303	0.000936729	0.00113867	0.000133463
g	0.17593	0.822258	0.00106431	0.000150523	0.000189796	8.66873e-05	0.000193736	0.000115184	5.38427e-06	6.18934e-06
ó	0.266602	0.719891	0.00563062	0.00152655	0.0022376	0.000992494	0.00246686	0.000242099	0.000303146	0.000107686
l	0.0183498	0.962549	0.00799672	0.00271368	0.00130684	0.00132476	0.00239081	0.000336448	0.0025641	0.000468125
ó	0.106036	0.760907	0.0260861	0.0194573	0.0177109	0.0101723	0.0148734	0.0204666	0.00924272	0.0150472
m	0.0713561	0.764722	0.0862537	0.0269177	0.0127556	0.00547212	0.00744887	0.0143965	0.00556641	0.00511068
i	0.60995	0.0978186	0.159355	0.0543235	0.0262345	0.0215143	0.0191804	0.00377731	0.0015113	0.00633536
y	0.193098	0.0195893	0.405904	0.208181	0.0584243	0.0407531	0.0139634	0.00808609	0.00595053	0.0460508
a	0.452947	0.0982984	0.198103	0.143839	0.038895	0.023458	0.0209637	0.00716999	0.00211256	0.0142132
w	0.778276	0.0110056	0.0831237	0.0558445	0.0334476	0.0148764	0.0093688	0.00213811	0.000272805	0.0116465
a	0.334732	0.0251107	0.0986578	0.197737	0.146722	0.0784115	0.035921	0.00685947	0.00980689	0.066042
a	0.0438599	0.00334211	0.210354	0.278034	0.220948	0.157872	0.0477682	0.0141483	0.00423214	0.0194417
m	0.00243407	0.00121812	0.341595	0.319189	0.116435	0.0401237	0.0305759	0.0309132	0.0114563	0.10606
í	0.00090202	0.000128652	0.324724	0.271803	0.0942966	0.0390845	0.0860762	0.102077	0.00981492	0.0710921
í	0.00309339	0.000368474	0.310388	0.194313	0.127441	0.112584	0.100385	0.0516775	0.0133507	0.0863982
w	0.00352431	0.00138265	0.167584	0.161613	0.149441	0.153303	0.150574	0.0943067	0.0218088	0.0964637
á	0.00259641	0.000469657	0.0711292	0.298485	0.131788	0.193575	0.121991	0.0488823	0.0709983	0.0600849
a	0.00882452	0.0016294	0.054777	0.302191	0.248176	0.13568	0.0849397	0.0472924	0.0196051	0.0968846
é	0.00102826	0.000135826	0.0368546	0.0584125	0.167385	0.284355	0.279733	0.12375	0.0201275	0.0282197
b	0.000941704	0.000229405	0.0472159	0.0410166	0.0353169	0.0775206	0.183793	0.428285	0.12594	0.05974
h	0.000410432	8.33752e-05	0.0175363	0.0310684	0.0379951	0.0554347	0.0567302	0.204541	0.509628	0.086573
i	0.000647994	1.15529e-05	0.0358543	0.115801	0.102217	0.0596623	0.0439472	0.111318	0.237245	0.293295
l	0.000454619	1.33896e-05	0.00721869	0.0264904	0.0316211	0.0535996	0.0813886	0.241339	0.304881	0.252994
a	0.001413	3.8626e-05	0.0073108	0.0374086	0.0563212	0.0816766	0.098622	0.0572727	0.309881	0.350055
i	0.00140537	0.000499918	0.00705924	0.00954988	0.0316709	0.0779648	0.127062	0.192659	0.309601	0.242528
b	0.000486661	0.000466212	0.0176077	0.0103913	0.00818564	0.0101555	0.018144	0.196988	0.574595	0.16298
v	1.97933e-05	5.53385e-05	0.00567302	0.00621541	0.00929889	0.00966348	0.0121335	0.149039	0.776682	0.0312197
ú	5.49841e-05	4.95053e-06	0.000839168	0.0026956	0.00412634	0.00536385	0.00896528	0.0319646	0.913192	0.0327932
í	0.00303769	0.000176917	0.00117268	0.0058714	0.0165661	0.0487126	0.0798413	0.103022	0.281856	0.459743
b	0.000344002	8.11406e-06	0.00825146	0.00977588	0.022887	0.0244305	0.0687054	0.107984	0.116308	0.641305
a	0.00156327	5.53679e-05	0.0075272	0.0172718	0.0978484	0.0588507	0.0419891	0.426655	0.239247	0.108992
á	0.000457229	0.000229135	0.00235966	0.00696054	0.0164782	0.0190087	0.0300246	0.137	0.31525	0.472232
</S>	0.00167847	4.72695e-05	0.021994	0.0194315	0.0293569	0.0201367	0.0421493	0.200496	0.0500301	0.61468
